bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	intersections
NSP14_Nt	REAC	REAC:R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	8.02867134137211e-19	113	77	19	10588	0.2467532467532468	0.168141592920354	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'RPN2', 'DDOST', 'TRAM1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3', 'SEC61A1']
NSP14_Nt	REAC	REAC:R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	1.492599646919379e-16	102	77	17	10588	0.2207792207792208	0.1666666666666667	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'EIF2S3', 'EIF2S1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3']
NSP14_Nt	GO:BP	GO:0006613	cotranslational protein targeting to membrane	3.033246724276841e-16	98	91	16	15979	0.1758241758241758	0.163265306122449	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'TRAM1', 'RPL3', 'RPL13', 'RPL26', 'RPS3', 'SEC61A1']
NSP14_Nt	REAC	REAC:R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	7.919254921913568e-16	112	77	17	10588	0.2207792207792208	0.1517857142857143	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'EIF2S3', 'EIF2S1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3']
NSP14_Nt	REAC	REAC:R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	9.271307873224398e-16	113	77	17	10588	0.2207792207792208	0.1504424778761062	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'EIF2S3', 'EIF2S1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3']
NSP14_Nt	REAC	REAC:R-HSA-72613	Eukaryotic Translation Initiation	2.680078424299732e-15	120	77	17	10588	0.2207792207792208	0.1416666666666667	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'EIF2S3', 'EIF2S1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3']
NSP14_Nt	REAC	REAC:R-HSA-72737	Cap-dependent Translation Initiation	2.680078424299732e-15	120	77	17	10588	0.2207792207792208	0.1416666666666667	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'EIF2S3', 'EIF2S1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3']
NSP14_Nt	GO:CC	GO:0022626	cytosolic ribosome	3.382579315606858e-15	106	91	15	16963	0.1648351648351648	0.1415094339622641	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3']
NSP14_Nt	GO:BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	3.773980648879178e-15	91	91	15	15979	0.1648351648351648	0.1648351648351648	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'RPL3', 'RPL13', 'RPL26', 'RPS3', 'SEC61A1']
NSP14_Nt	REAC	REAC:R-HSA-72766	Translation	2.141948517622191e-14	292	77	22	10588	0.2857142857142857	0.07534246575342465	['RPL9', 'RPL7', 'RPL18A', 'RPL21', 'RPL30', 'RPL27A', 'RPS6', 'RPS9', 'RPS24', 'RPS27', 'RPN2', 'DARS1', 'EIF2S3', 'EIF2S1', 'DDOST', 'TRAM1', 'RPL3', 'RPL13', 'RPL26', 'RPL36AL', 'RPS3', 'SEC61A1']
