bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	intersections
ORF6_Ct	GO:CC	GO:0012505	endomembrane system	1.007826358638323e-46	3785	262	169	16963	0.6450381679389313	0.04464993394980185	['EMD', 'PAFAH1B1', 'CYP51A1', 'IGF2R', 'POR', 'RPL27A', 'RPS6', 'LCLAT1', 'SREBF1', 'CISD2', 'NUP58', 'RAE1', 'GOPC', 'ARF1', 'AP2M1', 'PLD3', 'SEC24B', 'SCYL1', 'FNDC3A', 'TMEM214', 'GPR89A', 'COPA', 'PLIN2', 'TFRC', 'SLC39A14', 'TEX264', 'SUN1', 'RPN2', 'RIC1', 'GRAMD1A', 'SEC13', 'ARFGAP3', 'COG2', 'GLG1', 'DHCR7', 'NDC1', 'SLC33A1', 'COG4', 'TOR1AIP2', 'GBF1', 'RAB11A', 'SERPINH1', 'DAB2', 'SOAT1', 'GPAT3', 'TOR1AIP1', 'LRP6', 'FURIN', 'PSMC3', 'PTPN1', 'RPN1', 'BLZF1', 'USO1', 'MCM3AP', 'STBD1', 'TRIP11', 'FADS2', 'GOLGA2', 'SREBF2', 'RAB7A', 'DHRS3', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'SCD', 'GOLGA5', 'LMAN1', 'UBXN8', 'ZMPSTE24', 'BET1', 'SEC23A', 'YKT6', 'CKAP4', 'RER1', 'SEC23IP', 'CHP1', 'NUP42', 'FKBP8', 'UBXN4', 'FAF2', 'TM9SF4', 'SEC24D', 'TRAPPC8', 'RAB21', 'USP33', 'ANKLE2', 'YIPF3', 'LDLRAP1', 'TMEM33', 'PI4K2B', 'EMC7', 'TMEM159', 'YIF1A', 'DNAJC1', 'ACBD3', 'DDRGK1', 'SLC35E1', 'NAA25', 'COG3', 'HOOK3', 'PIGU', 'NUP35', 'TECR', 'RABL3', 'STT3B', 'AUP1', 'RPL13', 'RPS3', 'GOSR1', 'YIPF5', 'CES1', 'ANO6', 'CDC42', 'RHBDD2', 'SEC31A', 'BET1L', 'POM121C', 'CYP4F11', 'VRK2', 'SLC30A6', 'PICALM', 'RAB2A', 'ARCN1', 'ATP2A2', 'PSMD1', 'STX5', 'VAPA', 'STOM', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'ACSL3', 'CLTC', 'SRC', 'COPG2', 'LEMD3', 'PDXDC1', 'CLEC16A', 'GORASP2', 'AAAS', 'SCFD1', 'WWOX', 'SMPD4', 'ZDHHC13', 'SEC24A', 'SLC30A5', 'MBOAT7', 'HM13', 'NUP155', 'CANT1', 'IFT20', 'TMED2', 'STT3A', 'ABCC4', 'SCAMP3', 'ATP1A1', 'AMFR', 'REEP5', 'DAG1', 'TMX1', 'EPHX1', 'SAR1A', 'TMEM201', 'UBR4']
ORF6_Ct	GO:CC	GO:0031090	organelle membrane	1.504436217707009e-45	2685	262	143	16963	0.5458015267175572	0.05325884543761639	['EMD', 'CYP51A1', 'IGF2R', 'POR', 'LCLAT1', 'SREBF1', 'CISD2', 'GOPC', 'ARF1', 'AP2M1', 'PLD3', 'ACBD5', 'SEC24B', 'SLC12A2', 'SCYL1', 'GPR89A', 'COPA', 'TFRC', 'SLC39A14', 'TEX264', 'SUN1', 'RPN2', 'RIC1', 'GRAMD1A', 'SEC13', 'COG2', 'GLG1', 'DHCR7', 'NDC1', 'SLC33A1', 'COG4', 'GBF1', 'RAB11A', 'DAB2', 'SOAT1', 'GPAT3', 'TOR1AIP1', 'LRP6', 'FURIN', 'PEX13', 'PTPN1', 'RPN1', 'BLZF1', 'USO1', 'MCM3AP', 'STBD1', 'TRIP11', 'FADS2', 'GOLGA2', 'SREBF2', 'RAB7A', 'DHRS3', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'SCD', 'GOLGA5', 'LMAN1', 'UBXN8', 'ZMPSTE24', 'BET1', 'SEC23A', 'YKT6', 'CKAP4', 'RER1', 'CHP1', 'NNT', 'FAF2', 'SEC24D', 'RAB21', 'ANKLE2', 'LDLRAP1', 'TMEM33', 'ARL8B', 'EMC7', 'TMEM159', 'YIF1A', 'ACBD3', 'DDRGK1', 'COG3', 'PIGU', 'NUP35', 'TECR', 'STT3B', 'AUP1', 'RPS3', 'GOSR1', 'ANO6', 'CDC42', 'RHBDD2', 'SEC31A', 'BET1L', 'CYP4F11', 'VRK2', 'SLC12A4', 'SLC30A6', 'PICALM', 'RAB2A', 'SLC25A10', 'ARCN1', 'ATP2A2', 'ABCD3', 'STX5', 'VAPA', 'STOM', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'ACSL3', 'CLTC', 'SRC', 'COPG2', 'LEMD3', 'CLEC16A', 'GORASP2', 'AAAS', 'SMPD4', 'ZDHHC13', 'DENND1A', 'SEC24A', 'SLC30A5', 'MBOAT7', 'HM13', 'NUP155', 'IFT20', 'TMED2', 'STT3A', 'ABCC4', 'CPT1A', 'SCAMP3', 'ATP1A1', 'AMFR', 'TMX1', 'EPHX1', 'SAR1A', 'TMEM201', 'HADHA', 'UBR4']
ORF6_Ct	GO:BP	GO:0046907	intracellular transport	8.690961843357154e-37	1608	252	105	15979	0.4166666666666667	0.06529850746268656	['EMD', 'PAFAH1B1', 'RPL9', 'RPL7', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'SREBF1', 'NUP58', 'RAE1', 'RPS24', 'GOPC', 'ARF1', 'SEC24B', 'COPA', 'RIC1', 'SEC13', 'ARFGAP3', 'COG2', 'NDC1', 'COG4', 'GBF1', 'RAB11A', 'DAB2', 'DYNC1I2', 'ARF4', 'LRP6', 'PEX13', 'PTPN1', 'USO1', 'MCM3AP', 'STBD1', 'TRIP11', 'GOLGA2', 'SREBF2', 'RAB7A', 'COPB2', 'SEC22B', 'SEC24C', 'LMAN1', 'BET1', 'SEC23A', 'YKT6', 'SNRPD1', 'SEC23IP', 'CHP1', 'NUP42', 'CCDC22', 'FAF2', 'TM9SF4', 'SEC24D', 'TRAPPC8', 'RAB21', 'LDLRAP1', 'YIF1A', 'COG3', 'HOOK3', 'NUP35', 'RUNDC1', 'RABL3', 'AUP1', 'RPL13', 'RPS3', 'GOSR1', 'CES1', 'CDC42', 'SEC31A', 'BET1L', 'POM121C', 'PICALM', 'RAB2A', 'ARCN1', 'ATP2A2', 'STX5', 'VAPA', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'DDX39B', 'CLTC', 'SRC', 'COPG2', 'CLEC16A', 'AAAS', 'SCFD1', 'DENND1A', 'SEC24A', 'HM13', 'NUP155', 'IFT20', 'TMED2', 'RPL12', 'CPT1A', 'SAR1A', 'TMEM201']
ORF6_Ct	GO:BP	GO:0051641	cellular localization	2.592287340698633e-33	3077	252	138	15979	0.5476190476190477	0.04484887877803055	['EMD', 'PAFAH1B1', 'RPL9', 'IGF2R', 'RPL7', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'SREBF1', 'BUB3', 'NUP58', 'RAE1', 'RPS24', 'GOPC', 'MYADM', 'ARF1', 'AP2M1', 'SEC24B', 'COPA', 'TFRC', 'SLC39A14', 'TEX264', 'SUN1', 'RIC1', 'RCC2', 'SEC13', 'ARFGAP3', 'COG2', 'MKS1', 'NDC1', 'COG4', 'TOR1AIP2', 'GBF1', 'RAB11A', 'DAB2', 'TOR1AIP1', 'DYNC1I2', 'ARF4', 'LRP6', 'PEX13', 'PSMC3', 'PTPN1', 'BLZF1', 'USO1', 'MCM3AP', 'STBD1', 'TRIP11', 'GOLGA2', 'SREBF2', 'RAB7A', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'LMAN1', 'BET1', 'SEC23A', 'YKT6', 'CKAP4', 'SNRPD1', 'RER1', 'SEC23IP', 'CHP1', 'NUP42', 'CCDC22', 'FAF2', 'TM9SF4', 'SEC24D', 'TRAPPC8', 'RAB21', 'LDLRAP1', 'ARL8B', 'TM9SF3', 'YIF1A', 'DDRGK1', 'COG3', 'HOOK3', 'PIGU', 'NUP35', 'RUNDC1', 'RABL3', 'AUP1', 'RPL13', 'RPS3', 'NUMB', 'GOSR1', 'CES1', 'ANO6', 'CDC42', 'SEC31A', 'BET1L', 'POM121C', 'PICALM', 'RAB2A', 'ARCN1', 'ATP2A2', 'ITGB1', 'PSMD1', 'STX5', 'VAPA', 'STOM', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'EPHA2', 'ACSL3', 'DDX39B', 'CLTC', 'SRC', 'COPG2', 'CLEC16A', 'GORASP2', 'AAAS', 'SCFD1', 'DENND1A', 'SEC24A', 'HM13', 'NUP155', 'CANT1', 'IFT20', 'TMED2', 'ABCC4', 'RPL12', 'CPT1A', 'ATP1A1', 'SAR1A', 'TMEM201', 'UBR4']
ORF6_Ct	GO:CC	GO:0016020	membrane	1.65647594479002e-32	7549	262	213	16963	0.8129770992366412	0.02821565770300702	['EMD', 'RPL9', 'CYP51A1', 'IGF2R', 'POR', 'RPL7', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'LCLAT1', 'SREBF1', 'CISD2', 'RPS24', 'GOPC', 'MYADM', 'ARF1', 'AP2M1', 'PLD3', 'ACBD5', 'SEC24B', 'SLC12A2', 'SCYL1', 'FNDC3A', 'GPR89A', 'COPA', 'PLIN2', 'TFRC', 'SLC39A14', 'TEX264', 'SUN1', 'RPN2', 'RIC1', 'GRAMD1A', 'RCC2', 'SEC13', 'ARFGAP3', 'COG2', 'GLG1', 'DHCR7', 'SPINT2', 'NDC1', 'VANGL1', 'SLC33A1', 'COG4', 'GBF1', 'SLC4A2', 'RAB11A', 'SERPINH1', 'DAB2', 'SOAT1', 'GPAT3', 'ABCG2', 'TOR1AIP1', 'CLPTM1', 'DARS1', 'ARF4', 'ITGB5', 'LRP6', 'FURIN', 'PEX13', 'PSMC3', 'PTPN1', 'RPN1', 'FSCN1', 'BLZF1', 'USO1', 'ADAM9', 'MCM3AP', 'STBD1', 'HIP1R', 'EIF2S1', 'TRIP11', 'FADS2', 'GOLGA2', 'KIF11', 'SREBF2', 'RAB7A', 'DHRS3', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'ABCC1', 'SCD', 'GOLGA5', 'LMAN1', 'UBXN8', 'ZMPSTE24', 'BET1', 'AGFG2', 'SEC23A', 'YKT6', 'MCM5', 'CKAP4', 'RER1', 'CHP1', 'FKBP8', 'NNT', 'FAF2', 'TM9SF4', 'SEC24D', 'RAB21', 'ANKLE2', 'TMEM131', 'LDLRAP1', 'TMEM33', 'ARL8B', 'PRR11', 'PI4K2B', 'LGR4', 'TM9SF3', 'EMC7', 'PCDH9', 'TMEM159', 'YIF1A', 'DNAJC1', 'ACBD3', 'DDRGK1', 'COG3', 'TMEM245', 'HOOK3', 'PIGU', 'NUP35', 'TECR', 'RNF149', 'STT3B', 'AUP1', 'ABCC2', 'RPL13', 'RPS3', 'ATP2B1', 'NUMB', 'GOSR1', 'ANO6', 'ADGRG6', 'CDC42', 'RHBDD2', 'SEC31A', 'BET1L', 'CYP4F11', 'VRK2', 'SLC12A4', 'SLC30A6', 'PICALM', 'RAB2A', 'SLC25A10', 'ARCN1', 'ATP2A2', 'ITGB1', 'PSMD1', 'ABCD3', 'STX5', 'VAPA', 'ABCC3', 'OSMR', 'STOM', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'CAD', 'EPHA2', 'ACSL3', 'DDX21', 'CLTC', 'FAT1', 'SRC', 'SLC1A5', 'COPG2', 'CEMIP2', 'LEMD3', 'CLEC16A', 'GORASP2', 'AAAS', 'SCFD1', 'WWOX', 'SMPD4', 'ZDHHC13', 'DENND1A', 'SEC24A', 'SLC30A5', 'MBOAT7', 'HM13', 'NUP155', 'CANT1', 'IFT20', 'TMED2', 'STT3A', 'ABCC4', 'RPL12', 'CPT1A', 'SLC7A11', 'SCAMP3', 'S1PR3', 'ATP1A1', 'AMFR', 'DAG1', 'TMX1', 'PCDHB13', 'EPHX1', 'SAR1A', 'TMEM201', 'HADHA', 'UBR4']
ORF6_Ct	GO:BP	GO:0048193	Golgi vesicle transport	1.474759768476969e-30	364	252	51	15979	0.2023809523809524	0.1401098901098901	['GOPC', 'SEC24B', 'SCYL1', 'COPA', 'SEC13', 'ARFGAP3', 'COG2', 'COG4', 'GBF1', 'DYNC1I2', 'ARF4', 'BLZF1', 'USO1', 'GOLGA2', 'KIF11', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'GOLGA5', 'LMAN1', 'BET1', 'SEC23A', 'YKT6', 'RER1', 'SEC23IP', 'CCDC22', 'SEC24D', 'TRAPPC8', 'YIF1A', 'COG3', 'GOSR1', 'SEC31A', 'BET1L', 'RAB2A', 'ARCN1', 'STX5', 'VAPA', 'RAB1A', 'RAB8A', 'RAB14', 'RAB1B', 'RAB8B', 'GOSR2', 'ACSL3', 'COPG2', 'SCFD1', 'SEC24A', 'TMED2', 'SCAMP3', 'SAR1A']
ORF6_Ct	GO:CC	GO:0098588	bounding membrane of organelle	5.807351028918753e-30	1583	262	94	16963	0.3587786259541985	0.05938092229943146	['EMD', 'IGF2R', 'SREBF1', 'CISD2', 'GOPC', 'ARF1', 'AP2M1', 'PLD3', 'ACBD5', 'SEC24B', 'SCYL1', 'GPR89A', 'COPA', 'TFRC', 'SLC39A14', 'TEX264', 'RIC1', 'SEC13', 'COG2', 'GLG1', 'DHCR7', 'SLC33A1', 'COG4', 'GBF1', 'RAB11A', 'DAB2', 'LRP6', 'FURIN', 'PEX13', 'BLZF1', 'USO1', 'STBD1', 'TRIP11', 'GOLGA2', 'SREBF2', 'RAB7A', 'DHRS3', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'GOLGA5', 'LMAN1', 'BET1', 'SEC23A', 'YKT6', 'CKAP4', 'RER1', 'CHP1', 'SEC24D', 'RAB21', 'LDLRAP1', 'ARL8B', 'YIF1A', 'ACBD3', 'COG3', 'GOSR1', 'ANO6', 'CDC42', 'SEC31A', 'BET1L', 'SLC12A4', 'SLC30A6', 'PICALM', 'RAB2A', 'ARCN1', 'ATP2A2', 'ABCD3', 'STX5', 'VAPA', 'STOM', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'CLTC', 'COPG2', 'CLEC16A', 'GORASP2', 'SMPD4', 'ZDHHC13', 'DENND1A', 'SEC24A', 'SLC30A5', 'IFT20', 'TMED2', 'ABCC4', 'CPT1A', 'SCAMP3', 'SAR1A', 'UBR4']
ORF6_Ct	GO:BP	GO:0051649	establishment of localization in cell	1.452872835909374e-29	2485	252	119	15979	0.4722222222222222	0.04788732394366197	['EMD', 'PAFAH1B1', 'RPL9', 'IGF2R', 'RPL7', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'SREBF1', 'NUP58', 'RAE1', 'RPS24', 'GOPC', 'ARF1', 'SEC24B', 'COPA', 'SLC39A14', 'TEX264', 'RIC1', 'SEC13', 'ARFGAP3', 'COG2', 'NDC1', 'COG4', 'GBF1', 'RAB11A', 'DAB2', 'DYNC1I2', 'ARF4', 'LRP6', 'PEX13', 'PSMC3', 'PTPN1', 'USO1', 'MCM3AP', 'STBD1', 'TRIP11', 'GOLGA2', 'SREBF2', 'RAB7A', 'COPB2', 'SCAMP1', 'SEC22B', 'SEC24C', 'LMAN1', 'BET1', 'SEC23A', 'YKT6', 'CKAP4', 'SNRPD1', 'SEC23IP', 'CHP1', 'NUP42', 'CCDC22', 'FAF2', 'TM9SF4', 'SEC24D', 'TRAPPC8', 'RAB21', 'LDLRAP1', 'YIF1A', 'COG3', 'HOOK3', 'NUP35', 'RUNDC1', 'RABL3', 'AUP1', 'RPL13', 'RPS3', 'GOSR1', 'CES1', 'ANO6', 'CDC42', 'SEC31A', 'BET1L', 'POM121C', 'PICALM', 'RAB2A', 'ARCN1', 'ATP2A2', 'ITGB1', 'PSMD1', 'STX5', 'VAPA', 'STOM', 'RAB1A', 'RAB8A', 'RAB14', 'RAB35', 'RAB1B', 'RAB8B', 'GOSR2', 'DDX39B', 'CLTC', 'SRC', 'COPG2', 'CLEC16A', 'AAAS', 'SCFD1', 'DENND1A', 'SEC24A', 'HM13', 'NUP155', 'CANT1', 'IFT20', 'TMED2', 'ABCC4', 'RPL12', 'CPT1A', 'ATP1A1', 'SAR1A', 'TMEM201', 'UBR4']
ORF6_Ct	GO:BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	6.421234950504761e-28	204	252	39	15979	0.1547619047619048	0.1911764705882353	['GOPC', 'SEC24B', 'COPA', 'SEC13', 'ARFGAP3', 'COG2', 'COG4', 'GBF1', 'DYNC1I2', 'ARF4', 'USO1', 'GOLGA2', 'COPB2', 'SEC22B', 'SEC24C', 'LMAN1', 'BET1', 'SEC23A', 'YKT6', 'SEC23IP', 'SEC24D', 'TRAPPC8', 'YIF1A', 'COG3', 'GOSR1', 'SEC31A', 'BET1L', 'RAB2A', 'ARCN1', 'STX5', 'VAPA', 'RAB1A', 'RAB1B', 'GOSR2', 'COPG2', 'SCFD1', 'SEC24A', 'TMED2', 'SAR1A']
ORF6_Ct	GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1.147884667972815e-27	803	262	66	16963	0.2519083969465649	0.0821917808219178	['EMD', 'CYP51A1', 'POR', 'LCLAT1', 'SREBF1', 'CISD2', 'PLD3', 'SEC24B', 'COPA', 'TEX264', 'RPN2', 'GRAMD1A', 'SEC13', 'DHCR7', 'SLC33A1', 'SOAT1', 'GPAT3', 'PTPN1', 'RPN1', 'FADS2', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'SEC24C', 'SCD', 'LMAN1', 'UBXN8', 'ZMPSTE24', 'SEC23A', 'FAF2', 'SEC24D', 'ANKLE2', 'TMEM33', 'EMC7', 'TMEM159', 'YIF1A', 'DDRGK1', 'PIGU', 'TECR', 'STT3B', 'AUP1', 'CDC42', 'RHBDD2', 'SEC31A', 'CYP4F11', 'VRK2', 'ARCN1', 'ATP2A2', 'STX5', 'VAPA', 'RAB14', 'RAB1B', 'GOSR2', 'ACSL3', 'COPG2', 'GORASP2', 'SMPD4', 'SEC24A', 'MBOAT7', 'HM13', 'TMED2', 'STT3A', 'AMFR', 'TMX1', 'EPHX1']
