bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	intersections
ORF9B_Ct	GO:CC	GO:0005739	mitochondrion	3.146920173827301e-46	1318	147	79	16963	0.5374149659863946	0.05993930197268589	['DLD', 'HADHA', 'TIMM50', 'DNM1', 'RHOT1', 'GDAP1', 'MFN2', 'KARS1', 'NDUFS2', 'SHMT2', 'NDUFS1', 'AKAP1', 'YME1L1', 'MIGA1', 'QARS1', 'AARS1', 'ATP5F1B', 'GOT2', 'ME1', 'PHB', 'UBA1', 'HSPA9', 'IREB2', 'SDHA', 'POLRMT', 'MTHFD1', 'FBXL4', 'FKBP8', 'TOMM70', 'TRAK2', 'SAMM50', 'FOXRED1', 'MTARC2', 'DNAJC11', 'CISD1', 'MFF', 'TOMM22', 'NLN', 'MAVS', 'MCCC2', 'GFM1', 'USP30', 'MFN1', 'OAT', 'GPD2', 'GSR', 'ALDH2', 'ALDH1B1', 'CYP24A1', 'TOMM5', 'ATP5F1A', 'TDRKH', 'MTFR1L', 'CPS1', 'MTFR1', 'SLC25A13', 'ARMC10', 'MYO19', 'EXD2', 'FDXR', 'DLST', 'ME2', 'TUFM', 'AIFM1', 'PCK2', 'GLUD1', 'BCL2L13', 'MARK2', 'MCL1', 'HKDC1', 'HK1', 'LACTB', 'RHOT2', 'FUNDC2', 'MDH2', 'PLD6', 'MTX3', 'MRPS30', 'NDUFA9']
ORF9B_Ct	GO:CC	GO:0005740	mitochondrial envelope	2.124292703259147e-23	594	147	41	16963	0.2789115646258503	0.06902356902356903	['HADHA', 'TIMM50', 'DNM1', 'RHOT1', 'GDAP1', 'MFN2', 'NDUFS2', 'SHMT2', 'NDUFS1', 'YME1L1', 'ATP5F1B', 'PHB', 'HSPA9', 'SDHA', 'FBXL4', 'TOMM70', 'SAMM50', 'FOXRED1', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'NLN', 'MAVS', 'USP30', 'MFN1', 'GPD2', 'CYP24A1', 'TOMM5', 'ATP5F1A', 'SLC25A13', 'MYO19', 'EXD2', 'AIFM1', 'MCL1', 'RHOT2', 'FUNDC2', 'PLD6', 'MTX3', 'MRPS30', 'NDUFA9']
ORF9B_Ct	GO:CC	GO:0031966	mitochondrial membrane	2.820750003816554e-22	559	147	39	16963	0.2653061224489796	0.06976744186046512	['HADHA', 'TIMM50', 'DNM1', 'RHOT1', 'GDAP1', 'MFN2', 'NDUFS2', 'SHMT2', 'NDUFS1', 'YME1L1', 'ATP5F1B', 'PHB', 'HSPA9', 'SDHA', 'TOMM70', 'SAMM50', 'FOXRED1', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'MAVS', 'USP30', 'MFN1', 'GPD2', 'CYP24A1', 'TOMM5', 'ATP5F1A', 'SLC25A13', 'MYO19', 'EXD2', 'AIFM1', 'MCL1', 'RHOT2', 'FUNDC2', 'PLD6', 'MTX3', 'MRPS30', 'NDUFA9']
ORF9B_Ct	GO:BP	GO:0007005	mitochondrion organization	1.570563397662128e-21	480	141	37	15979	0.2624113475177305	0.07708333333333334	['TIMM50', 'DNM1', 'RHOT1', 'GDAP1', 'MFN2', 'NDUFS2', 'NDUFS1', 'YME1L1', 'MIGA1', 'ATP5F1B', 'PHB', 'AIP', 'HSPA9', 'POLRMT', 'VAT1', 'TOMM70', 'TRAK2', 'SAMM50', 'FOXRED1', 'DNAJC11', 'MFF', 'TOMM22', 'USP30', 'MFN1', 'TOMM5', 'ATP5F1A', 'MTFR1L', 'MTFR1', 'MYO19', 'AIFM1', 'NPEPPS', 'MARK2', 'RHOT2', 'FUNDC2', 'PLD6', 'MTX3', 'NDUFA9']
ORF9B_Ct	GO:CC	GO:0005737	cytoplasm	4.867127735783402e-19	9937	147	137	16963	0.9319727891156463	0.01378685720036228	['DLD', 'HADHA', 'MTR', 'ALDH3A2', 'TIMM50', 'DNM1', 'RRM1', 'RHOT1', 'GDAP1', 'MFN2', 'KARS1', 'CAPN2', 'NDUFS2', 'SHMT2', 'ASMTL', 'CPNE1', 'NDUFS1', 'RAB11A', 'AKAP1', 'YME1L1', 'MAN2C1', 'MIGA1', 'QARS1', 'EIF2S3', 'DNAJA1', 'AARS1', 'ATP5F1B', 'DDB1', 'GOT2', 'ME1', 'NPAT', 'PHB', 'PSMC1', 'PTPN1', 'UBA1', 'AIP', 'EIF2S1', 'HSPA9', 'IREB2', 'SDHA', 'UCHL1', 'CAD', 'USP11', 'POLRMT', 'MTHFD1', 'SMC1A', 'VAT1', 'POLR3A', 'FBXL4', 'FKBP8', 'PFAS', 'SND1', 'TOMM70', 'USP33', 'TRAK2', 'ANGEL1', 'SAMM50', 'FOXRED1', 'MTARC2', 'DNAJC11', 'UBA6', 'PRR11', 'CISD1', 'MFF', 'TOMM22', 'NLN', 'MAVS', 'MCCC2', 'GFM1', 'MCM8', 'USP30', 'ATAD1', 'MFN1', 'WDR72', 'NHLRC2', 'OAT', 'GPD2', 'GNAS', 'GSR', 'ALDH2', 'ALDH1B1', 'ALDH3B1', 'CYP24A1', 'TOMM5', 'ATP5F1A', 'OCIAD1', 'TDRKH', 'MTFR1L', 'CPS1', 'MTFR1', 'SLC25A13', 'ARMC10', 'MYO19', 'RMDN2', 'EXD2', 'FDXR', 'ENO1', 'ATP2A2', 'DLST', 'ME2', 'PPM1B', 'RBBP7', 'RBBP4', 'TUFM', 'PRKAR2A', 'AIFM1', 'PCK2', 'GLUD1', 'GNPDA1', 'MCM7', 'NPEPPS', 'BCL2L13', 'AAAS', 'MARK2', 'MARK3', 'APPL2', 'CDK5RAP2', 'MCL1', 'HKDC1', 'HK1', 'LACTB', 'RHOT2', 'DPP9', 'FUNDC2', 'POLR2C', 'MDH2', 'IMPDH2', 'TTC4', 'PLD6', 'MTX3', 'PDE8A', 'POLR1B', 'CALCOCO1', 'HERC4', 'YARS1', 'MRPS30', 'NDUFA9']
ORF9B_Ct	GO:CC	GO:0005741	mitochondrial outer membrane	9.091542639770974e-19	148	147	22	16963	0.1496598639455782	0.1486486486486487	['RHOT1', 'GDAP1', 'MFN2', 'HSPA9', 'TOMM70', 'SAMM50', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'MAVS', 'USP30', 'MFN1', 'CYP24A1', 'TOMM5', 'MYO19', 'EXD2', 'MCL1', 'RHOT2', 'FUNDC2', 'PLD6', 'MTX3']
ORF9B_Ct	GO:CC	GO:0031975	envelope	1.790915781739411e-18	944	147	44	16963	0.2993197278911565	0.04661016949152542	['HADHA', 'TIMM50', 'DNM1', 'RHOT1', 'GDAP1', 'MFN2', 'NDUFS2', 'SHMT2', 'CPNE1', 'NDUFS1', 'YME1L1', 'ATP5F1B', 'PHB', 'HSPA9', 'SDHA', 'FBXL4', 'TOMM70', 'SAMM50', 'FOXRED1', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'NLN', 'MAVS', 'USP30', 'MFN1', 'GPD2', 'CYP24A1', 'TOMM5', 'ATP5F1A', 'SLC25A13', 'MYO19', 'EXD2', 'AIFM1', 'AAAS', 'MCL1', 'RHOT2', 'NUP155', 'FUNDC2', 'PLD6', 'MTX3', 'MRPS30', 'NDUFA9']
ORF9B_Ct	GO:CC	GO:0031967	organelle envelope	1.790915781739411e-18	944	147	44	16963	0.2993197278911565	0.04661016949152542	['HADHA', 'TIMM50', 'DNM1', 'RHOT1', 'GDAP1', 'MFN2', 'NDUFS2', 'SHMT2', 'CPNE1', 'NDUFS1', 'YME1L1', 'ATP5F1B', 'PHB', 'HSPA9', 'SDHA', 'FBXL4', 'TOMM70', 'SAMM50', 'FOXRED1', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'NLN', 'MAVS', 'USP30', 'MFN1', 'GPD2', 'CYP24A1', 'TOMM5', 'ATP5F1A', 'SLC25A13', 'MYO19', 'EXD2', 'AIFM1', 'AAAS', 'MCL1', 'RHOT2', 'NUP155', 'FUNDC2', 'PLD6', 'MTX3', 'MRPS30', 'NDUFA9']
ORF9B_Ct	GO:CC	GO:0031968	organelle outer membrane	9.180821087887729e-18	164	147	22	16963	0.1496598639455782	0.1341463414634146	['RHOT1', 'GDAP1', 'MFN2', 'HSPA9', 'TOMM70', 'SAMM50', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'MAVS', 'USP30', 'MFN1', 'CYP24A1', 'TOMM5', 'MYO19', 'EXD2', 'MCL1', 'RHOT2', 'FUNDC2', 'PLD6', 'MTX3']
ORF9B_Ct	GO:CC	GO:0019867	outer membrane	1.203886276968947e-17	166	147	22	16963	0.1496598639455782	0.1325301204819277	['RHOT1', 'GDAP1', 'MFN2', 'HSPA9', 'TOMM70', 'SAMM50', 'MTARC2', 'DNAJC11', 'MFF', 'TOMM22', 'MAVS', 'USP30', 'MFN1', 'CYP24A1', 'TOMM5', 'MYO19', 'EXD2', 'MCL1', 'RHOT2', 'FUNDC2', 'PLD6', 'MTX3']
