bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	intersections
S_Ct	GO:CC	GO:0016020	membrane	1.294763039509237e-30	7549	207	175	16963	0.8454106280193237	0.02318187839448934	['ATP7A', 'SLC26A2', 'EPHX1', 'POR', 'PPIB', 'RPL23', 'RPL18A', 'RPS6', 'OSBPL8', 'SREBF1', 'CISD2', 'RPS24', 'GOPC', 'MYADM', 'AP2M1', 'ADGRG6', 'ACBD5', 'SLC38A1', 'FNDC3A', 'SCARB1', 'HMOX2', 'SLC39A10', 'SLC39A14', 'CEMIP2', 'GRAMD1A', 'RCC2', 'AMIGO2', 'DHCR7', 'KIAA1549', 'LEMD3', 'NDC1', 'SLC33A1', 'TBC1D10A', 'OCLN', 'RAB11A', 'GPAT3', 'ABCG2', 'TOR1AIP1', 'BASP1', 'CLPTM1', 'DARS1', 'CAMLG', 'ITGB5', 'KCNN4', 'PTPN1', 'RPN1', 'FSCN1', 'VAPA', 'DGKE', 'ABCC3', 'ADAM9', 'SGPL1', 'STBD1', 'EIF2S1', 'TRIP11', 'SLC9A3R1', 'FADS2', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'ABCC1', 'SCD', 'SLC27A4', 'DDOST', 'S1PR3', 'FAT1', 'PDIA3', 'UBXN8', 'PDIA6', 'BET1', 'PGRMC2', 'YKT6', 'MCM5', 'CKAP4', 'ABHD2', 'FKBP8', 'TBL2', 'PREB', 'SLC7A11', 'ANKLE2', 'TMEM131', 'ZDHHC5', 'DHRS7', 'RETSAT', 'CDKAL1', 'TMEM33', 'MACO1', 'KIRREL1', 'LSG1', 'LGR4', 'LRRC59', 'GPRC5C', 'ALG1', 'TM9SF3', 'PCDH9', 'DNAJC1', 'ACBD3', 'TMX1', 'PIGU', 'DCBLD2', 'STT3A', 'SLC35B2', 'GPAT4', 'STT3B', 'AUP1', 'ALDH3A2', 'ABCC2', 'CD44', 'ATP1A1', 'CYP51A1', 'RPL36AL', 'RPS3', 'ATP2B1', 'ARF4', 'ANO6', 'SLC12A2', 'CLCC1', 'CYP4F11', 'TEX264', 'SLC9A3R2', 'VRK2', 'TMEM201', 'SLC12A4', 'SMPD4', 'TRPM4', 'PSMC1', 'SLC4A2', 'RAB2A', 'CXADR', 'AXL', 'CYB5A', 'ITGB1', 'LRP6', 'PTPRJ', 'SOAT1', 'STX5', 'OSMR', 'STOM', 'EPHA2', 'ACSL3', 'DDX21', 'VAPB', 'ROR1', 'ERBB2', 'SRC', 'MET', 'YES1', 'SLC1A5', 'ABCC4', 'GORASP2', 'RAB35', 'RAB14', 'RAB1B', 'WWOX', 'TRPM7', 'EPB41L4B', 'GRAMD1B', 'SPINT2', 'MBOAT7', 'HM13', 'ATP2A2', 'SLC6A6', 'GOSR1', 'TM9SF4', 'SAR1A', 'SPTLC1', 'SCAMP3', 'STEAP3', 'RIC1', 'SLC16A1', 'MCAM', 'RPL35A', 'HLA-A', 'SLC29A1']
S_Ct	GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1.124594991655451e-26	803	207	58	16963	0.2801932367149759	0.0722291407222914	['EPHX1', 'POR', 'SREBF1', 'CISD2', 'HMOX2', 'GRAMD1A', 'DHCR7', 'SLC33A1', 'GPAT3', 'PTPN1', 'RPN1', 'VAPA', 'SGPL1', 'FADS2', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'SCD', 'SLC27A4', 'DDOST', 'PDIA3', 'UBXN8', 'PDIA6', 'TBL2', 'PREB', 'ANKLE2', 'RETSAT', 'CDKAL1', 'TMEM33', 'MACO1', 'ALG1', 'TMX1', 'PIGU', 'STT3A', 'SLC35B2', 'GPAT4', 'STT3B', 'AUP1', 'ALDH3A2', 'CYP51A1', 'CYP4F11', 'TEX264', 'VRK2', 'SMPD4', 'SOAT1', 'STX5', 'ACSL3', 'VAPB', 'GORASP2', 'RAB14', 'RAB1B', 'GRAMD1B', 'MBOAT7', 'HM13', 'ATP2A2', 'SPTLC1', 'HLA-A']
S_Ct	GO:CC	GO:0005789	endoplasmic reticulum membrane	3.087298401068924e-26	786	207	57	16963	0.2753623188405797	0.07251908396946564	['EPHX1', 'POR', 'SREBF1', 'CISD2', 'HMOX2', 'GRAMD1A', 'DHCR7', 'SLC33A1', 'GPAT3', 'PTPN1', 'RPN1', 'VAPA', 'SGPL1', 'FADS2', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'SCD', 'SLC27A4', 'DDOST', 'PDIA3', 'UBXN8', 'PDIA6', 'TBL2', 'PREB', 'ANKLE2', 'RETSAT', 'CDKAL1', 'TMEM33', 'MACO1', 'ALG1', 'TMX1', 'PIGU', 'STT3A', 'SLC35B2', 'GPAT4', 'STT3B', 'AUP1', 'ALDH3A2', 'CYP51A1', 'CYP4F11', 'TEX264', 'VRK2', 'SMPD4', 'SOAT1', 'STX5', 'ACSL3', 'VAPB', 'GORASP2', 'RAB1B', 'GRAMD1B', 'MBOAT7', 'HM13', 'ATP2A2', 'SPTLC1', 'HLA-A']
S_Ct	GO:CC	GO:0012505	endomembrane system	2.918805551484574e-24	3785	207	117	16963	0.5652173913043478	0.0309114927344782	['ATP7A', 'EPHX1', 'POR', 'PPIB', 'RPS6', 'SREBF1', 'CISD2', 'GOPC', 'AP2M1', 'FNDC3A', 'TMEM214', 'HMOX2', 'SLC39A14', 'GRAMD1A', 'DHCR7', 'LEMD3', 'NDC1', 'SLC33A1', 'TOR1AIP2', 'RAB11A', 'GPAT3', 'TOR1AIP1', 'CAMLG', 'PTPN1', 'RPN1', 'VAPA', 'SGPL1', 'STBD1', 'TRIP11', 'FADS2', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'PDIA4', 'SCD', 'SLC27A4', 'DDOST', 'PDIA3', 'UBXN8', 'PDIA6', 'BET1', 'PGRMC2', 'YKT6', 'CKAP4', 'FKBP8', 'TBL2', 'PREB', 'UBXN4', 'USP33', 'ANKLE2', 'TOR4A', 'RETSAT', 'CDKAL1', 'TMEM33', 'MACO1', 'LSG1', 'LRRC59', 'ALG1', 'SNX14', 'DNAJC1', 'ACBD3', 'TMX1', 'PIGU', 'STT3A', 'RABL3', 'SLC35B2', 'GPAT4', 'STT3B', 'AUP1', 'ALDH3A2', 'CD44', 'ATP1A1', 'CYP51A1', 'RPL36AL', 'RPS3', 'ANO6', 'CLCC1', 'C1orf43', 'CYP4F11', 'TEX264', 'VRK2', 'TMEM201', 'SMPD4', 'TRPM4', 'RAB2A', 'CXADR', 'LRP6', 'PTPRJ', 'SOAT1', 'STX5', 'STOM', 'ACSL3', 'VAPB', 'ERBB2', 'SRC', 'YES1', 'ABCC4', 'PDXDC1', 'GORASP2', 'RAB35', 'RAB14', 'RAB1B', 'WWOX', 'GRAMD1B', 'MBOAT7', 'HM13', 'USP32', 'ATP2A2', 'GOSR1', 'TM9SF4', 'SAR1A', 'SPTLC1', 'SCAMP3', 'STEAP3', 'RIC1', 'HLA-A']
S_Ct	GO:CC	GO:0031090	organelle membrane	8.012204266653807e-23	2685	207	96	16963	0.463768115942029	0.03575418994413408	['ATP7A', 'EPHX1', 'POR', 'SREBF1', 'CISD2', 'GOPC', 'AP2M1', 'ACBD5', 'SCARB1', 'HMOX2', 'SLC39A14', 'GRAMD1A', 'DHCR7', 'LEMD3', 'NDC1', 'SLC33A1', 'OCLN', 'RAB11A', 'GPAT3', 'TOR1AIP1', 'PTPN1', 'RPN1', 'VAPA', 'SGPL1', 'STBD1', 'TRIP11', 'FADS2', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'SCD', 'SLC27A4', 'DDOST', 'PDIA3', 'UBXN8', 'PDIA6', 'BET1', 'YKT6', 'CKAP4', 'TBL2', 'PREB', 'ANKLE2', 'RETSAT', 'CDKAL1', 'TMEM33', 'MACO1', 'ALG1', 'ACBD3', 'TMX1', 'PIGU', 'STT3A', 'SLC35B2', 'GPAT4', 'STT3B', 'AUP1', 'ALDH3A2', 'CD44', 'ATP1A1', 'CYP51A1', 'RPS3', 'ANO6', 'SLC12A2', 'CYP4F11', 'TEX264', 'VRK2', 'TMEM201', 'SLC12A4', 'SMPD4', 'RAB2A', 'CYB5A', 'LRP6', 'PTPRJ', 'SOAT1', 'STX5', 'STOM', 'ACSL3', 'VAPB', 'ERBB2', 'SRC', 'ABCC4', 'GORASP2', 'RAB35', 'RAB14', 'RAB1B', 'GRAMD1B', 'MBOAT7', 'HM13', 'ATP2A2', 'GOSR1', 'SAR1A', 'SPTLC1', 'SCAMP3', 'STEAP3', 'RIC1', 'HLA-A']
S_Ct	GO:CC	GO:0005783	endoplasmic reticulum	3.068378622720477e-20	1191	207	61	16963	0.2946859903381642	0.05121746431570109	['PPIB', 'RPS6', 'CISD2', 'TMEM214', 'DHCR7', 'TOR1AIP2', 'GPAT3', 'CAMLG', 'PTPN1', 'RPN1', 'VAPA', 'SGPL1', 'STBD1', 'SREBF2', 'SEC22B', 'PDIA4', 'SCD', 'DDOST', 'PDIA3', 'UBXN8', 'PDIA6', 'PGRMC2', 'YKT6', 'CKAP4', 'FKBP8', 'TBL2', 'PREB', 'UBXN4', 'ANKLE2', 'TOR4A', 'CDKAL1', 'TMEM33', 'MACO1', 'LSG1', 'LRRC59', 'ALG1', 'DNAJC1', 'PIGU', 'STT3A', 'GPAT4', 'STT3B', 'AUP1', 'ATP1A1', 'CYP51A1', 'RPL36AL', 'RPS3', 'CLCC1', 'VRK2', 'SMPD4', 'TRPM4', 'SOAT1', 'STOM', 'ACSL3', 'VAPB', 'PDXDC1', 'RAB14', 'HM13', 'ATP2A2', 'SAR1A', 'SPTLC1', 'HLA-A']
S_Ct	GO:CC	GO:0098588	bounding membrane of organelle	5.697821408807536e-10	1583	207	54	16963	0.2608695652173913	0.0341124447252053	['ATP7A', 'SREBF1', 'CISD2', 'GOPC', 'AP2M1', 'ACBD5', 'SCARB1', 'HMOX2', 'SLC39A14', 'DHCR7', 'SLC33A1', 'OCLN', 'RAB11A', 'VAPA', 'STBD1', 'TRIP11', 'SREBF2', 'DHRS3', 'COPB2', 'SEC22B', 'DDOST', 'PDIA3', 'BET1', 'YKT6', 'CKAP4', 'RETSAT', 'MACO1', 'ACBD3', 'SLC35B2', 'ALDH3A2', 'CD44', 'ANO6', 'TEX264', 'SLC12A4', 'SMPD4', 'RAB2A', 'CYB5A', 'LRP6', 'PTPRJ', 'STX5', 'STOM', 'ERBB2', 'ABCC4', 'GORASP2', 'RAB35', 'RAB14', 'RAB1B', 'ATP2A2', 'GOSR1', 'SAR1A', 'SCAMP3', 'STEAP3', 'RIC1', 'HLA-A']
S_Ct	REAC	REAC:R-HSA-382551	Transport of small molecules	2.251796950043013e-09	720	146	36	10588	0.2465753424657534	0.05	['ATP7A', 'SLC26A2', 'AP2M1', 'SLC38A1', 'HMOX2', 'SLC39A10', 'SLC39A14', 'PSMB5', 'SLC33A1', 'RAB11A', 'ABCG2', 'ABCC3', 'EIF2S1', 'ABCC1', 'SLC27A4', 'SLC7A11', 'SLC35B2', 'ABCC2', 'ATP1A1', 'ATP2B1', 'ANO6', 'SLC12A2', 'SLC12A4', 'TRPM4', 'PSMC1', 'SLC4A2', 'SOAT1', 'STOM', 'SLC1A5', 'ABCC4', 'TRPM7', 'ATP2A2', 'SLC6A6', 'STEAP3', 'SLC16A1', 'SLC29A1']
S_Ct	GO:BP	GO:0006810	transport	2.647940337722571e-09	4440	196	101	15979	0.5153061224489796	0.02274774774774775	['ATP7A', 'SLC26A2', 'RPL23', 'RPL18A', 'RPS6', 'OSBPL8', 'SREBF1', 'RPS24', 'GOPC', 'AP2M1', 'SLC38A1', 'SCARB1', 'HMOX2', 'SLC39A10', 'SLC39A14', 'PSMB5', 'NDC1', 'SLC33A1', 'TBC1D10A', 'OCLN', 'RAB11A', 'ABCG2', 'KCNN4', 'PTPN1', 'VAPA', 'ABCC3', 'ADAM9', 'STBD1', 'EIF2S1', 'TRIP11', 'SLC9A3R1', 'SREBF2', 'COPB2', 'SEC22B', 'PDIA4', 'ABCC1', 'SLC27A4', 'DDOST', 'ARPC1B', 'BET1', 'YKT6', 'CKAP4', 'PREB', 'SLC7A11', 'TOR4A', 'LSG1', 'LGR4', 'DNAJC1', 'RABL3', 'SLC35B2', 'GPAT4', 'AUP1', 'ABCC2', 'CD44', 'ATP1A1', 'CYP51A1', 'RPS3', 'ATP2B1', 'ARF4', 'ANO6', 'SLC12A2', 'C1orf43', 'TEX264', 'TMEM201', 'SLC12A4', 'TRPM4', 'PSMC1', 'SLC4A2', 'RAB2A', 'CXADR', 'AXL', 'ITGB1', 'LRP6', 'PTPRJ', 'SOAT1', 'STX5', 'STOM', 'ACSL3', 'DDX39B', 'VAPB', 'ERBB2', 'SRC', 'YES1', 'SLC1A5', 'ABCC4', 'RAB35', 'RAB14', 'RAB1B', 'TRPM7', 'HM13', 'ATP2A2', 'SLC6A6', 'GOSR1', 'TM9SF4', 'SAR1A', 'SCAMP3', 'STEAP3', 'RIC1', 'SLC16A1', 'RPL35A', 'SLC29A1']
S_Ct	GO:BP	GO:0051179	localization	3.093838305645293e-09	5846	196	120	15979	0.6122448979591837	0.02052685596989394	['ATP7A', 'SLC26A2', 'RPL23', 'RPL18A', 'RPS6', 'OSBPL8', 'SREBF1', 'BUB3', 'RPS24', 'GOPC', 'MYADM', 'AP2M1', 'SLC38A1', 'SCARB1', 'HMOX2', 'SLC39A10', 'SLC39A14', 'PSMB5', 'RCC2', 'NDC1', 'SLC33A1', 'TOR1AIP2', 'TBC1D10A', 'OCLN', 'RAB11A', 'ABCG2', 'TOR1AIP1', 'ITGB5', 'KCNN4', 'PTPN1', 'FSCN1', 'VAPA', 'ABCC3', 'ADAM9', 'SGPL1', 'STBD1', 'EIF2S1', 'TRIP11', 'SLC9A3R1', 'SREBF2', 'COPB2', 'SEC22B', 'PDIA4', 'ABCC1', 'SLC27A4', 'DDOST', 'FAT1', 'ARPC1B', 'BET1', 'YKT6', 'CKAP4', 'PREB', 'SLC7A11', 'USP33', 'TOR4A', 'LSG1', 'LGR4', 'TM9SF3', 'DNAJC1', 'PIGU', 'RABL3', 'SLC35B2', 'GPAT4', 'AUP1', 'ABCC2', 'CD44', 'ATP1A1', 'CYP51A1', 'RPS3', 'ATP2B1', 'ARF4', 'ANO6', 'SLC12A2', 'C1orf43', 'TEX264', 'TMEM201', 'SLC12A4', 'TRPM4', 'PSMC1', 'SLC4A2', 'RAB2A', 'CXADR', 'AXL', 'ITGB1', 'LRP6', 'PTPRJ', 'SOAT1', 'STX5', 'STOM', 'EPHA2', 'ACSL3', 'DDX39B', 'VAPB', 'ERBB2', 'SRC', 'MET', 'YES1', 'SLC1A5', 'ABCC4', 'PDXDC1', 'GORASP2', 'RAB35', 'RAB14', 'RAB1B', 'TRPM7', 'EPB41L4B', 'SPINT2', 'MBOAT7', 'HM13', 'ATP2A2', 'SLC6A6', 'GOSR1', 'TM9SF4', 'SAR1A', 'SCAMP3', 'STEAP3', 'RIC1', 'SLC16A1', 'RPL35A', 'SLC29A1']
