Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF9B-Nt	geneid:37;refseq:NP_000009;uniprot:P49748	ACADVL	13|14	27	13.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	20.97	135.00	0.00	13.5	11.19	78
ORF9B-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	4|5	9	4.50	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-115.56	0.15	0.62	0	0	0
ORF9B-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	32|31	63	31.50	2	4|5|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.10	10.50	0.00	30.75	32.8	5.66
ORF9B-Nt	geneid:2271;refseq:NP_000134;uniprot:P07954	FH	23|18	41	20.50	2	4|3|3|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.06	6.15	0.00	19.67	20.94	11.23
ORF9B-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	2|3	5	2.50	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-34.40	0.27	0.62	0	0	0
ORF9B-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	28|30	58	29.00	2	0|0|2|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	16.42	43.50	0.00	28.83	20.52	5.5
ORF9B-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	9|10	19	9.50	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-39.29	0.66	0.53	1.25	0.54	0.22
ORF9B-Nt	geneid:4594;refseq:NP_000246;uniprot:P22033	MMUT	2|4	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.11	30.00	0.00	3	2.17	Infinity
ORF9B-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	5|5	10	5.00	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-91.17	0.20	0.62	0	0	0
ORF9B-Nt	geneid:7167;refseq:NP_000356;uniprot:P60174	TPI1	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	2.18	13
ORF9B-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	66|64	130	65.00	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-521.02	0.40	0.62	0	0	0
ORF9B-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	11|9	20	10.00	2	3|0|0|2|0|0|7|6|3|0|0|0	0.01	0.02	0.01	0.02	0.01	-6.86	1.88	0.25	8.25	6.17	1.89
ORF9B-Nt	geneid:5048;refseq:NP_000421;uniprot:P43034	PAFAH1B1	2|2	4	2.00	2	0|0|2|0|0|0|0|0|2|3|0|3	0.00	0.00	0.00	0.00	0.00	-7.47	0.75	0.29	1.17	1.55	0.12
ORF9B-Nt	geneid:5339;refseq:NP_000436;uniprot:Q15149	PLEC	10|5	15	7.50	2	133|121|25|49|46|0|0|0|55|55|86|85	0.00	0.00	0.00	0.00	0.00	-481.01	0.07	0.62	0	0	0
ORF9B-Nt	geneid:2936;refseq:NP_000628;uniprot:P00390	GSR	5|5	10	5.00	2	4|2|4|3|2|0|0|0|4|3|0|0	0.00	0.00	0.00	0.00	0.00	-7.83	1.25	0.30	3.17	3.3	0.58
ORF9B-Nt	geneid:211;refseq:NP_000679;uniprot:P13196	ALAS1	23|22	45	22.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	34.31	225.00	0.00	22.5	19.09	18.28
ORF9B-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	38|37	75	37.50	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-275.14	0.43	0.62	0	0	0
