Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF6-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	99	99	99.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	0.17	0.54
ORF6-A549-Nt	NP_000029.2	APC	4	4	4.00	1	12|6|0	0.00	0.00	0.00	0.00	0.00	-27.40	0.44	0.54
ORF6-A549-Nt	NP_000099.2	DLD	24	24	24.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	37.73	240.00	0.00
ORF6-A549-Nt	NP_000103.2	SLC26A2	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.61	20.00	0.00
ORF6-A549-Nt	NP_000108.1	EMD	50	50	50.00	1	7|13|0	1.00	1.00	1.00	1.00	1.00	15.90	5.00	0.00
ORF6-A549-Nt	NP_000117.1	ETFA	16	16	16.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	25.89	160.00	0.00
ORF6-A549-Nt	NP_000134.2	FH	9	9	9.00	1	0|3|0	0.94	0.94	0.94	0.94	0.94	2.71	6.00	0.01
ORF6-A549-Nt	NP_000149.3	GBE1	7	7	7.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-11.44	1.17	0.30
ORF6-A549-Nt	NP_000156.1	GJA1	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.27	90.00	0.00
ORF6-A549-Nt	NP_000169.1	GSS	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF6-A549-Nt	NP_000170.1	MSH6	8	8	8.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-13.59	1.14	0.33
ORF6-A549-Nt	NP_000173.2	HADHA	11	11	11.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	5.69	11.00	0.00
ORF6-A549-Nt	NP_000205.1	JAG1	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
ORF6-A549-Nt	NP_000245.2	MTR	20	20	20.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-9.05	1.90	0.26
ORF6-A549-Nt	NP_000259.1	NF2	6	6	6.00	1	24|22|0	0.00	0.00	0.00	0.00	0.00	-80.76	0.26	0.54
ORF6-A549-Nt	NP_000262.2	NPC1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
ORF6-A549-Nt	NP_000310.2	PEX5	3	3	3.00	1	5|5|0	0.00	0.00	0.00	0.00	0.00	-13.91	0.60	0.54
ORF6-A549-Nt	NP_000373.1	ALDH3A2	20	20	20.00	1	4|6|0	1.00	1.00	1.00	1.00	1.00	8.27	4.00	0.00
ORF6-A549-Nt	NP_000393.4	G6PD	74	74	74.00	1	96|141|0	0.00	0.00	0.00	0.00	0.00	-318.76	0.62	0.54
ORF6-A549-Nt	NP_000402.3	HLCS	3	3	3.00	1	2|0|0	0.57	0.57	0.57	0.57	0.57	0.27	3.00	0.02
ORF6-A549-Nt	NP_000457.1	PEX1	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.24	90.00	0.00
ORF6-A549-Nt	NP_000523.2	PCCB	15	15	15.00	1	0|0|2	1.00	1.00	1.00	1.00	1.00	8.12	15.00	0.00
ORF6-A549-Nt	NP_000628.2	GSR	8	8	8.00	1	3|4|0	0.18	0.18	0.18	0.18	0.18	-1.53	2.29	0.07
ORF6-A549-Nt	NP_000678.1	AHCY	5	5	5.00	1	30|13|0	0.00	0.00	0.00	0.00	0.00	-76.33	0.23	0.54
ORF6-A549-Nt	NP_000679.1	ALAS1	10	10	10.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	16.81	100.00	0.00
ORF6-A549-Nt	NP_000682.3	ALDH3A1	20	20	20.00	1	11|14|0	0.00	0.00	0.00	0.00	0.00	-15.83	1.60	0.35
ORF6-A549-Nt	NP_000691.1	ANXA1	46	46	46.00	1	67|96|0	0.00	0.00	0.00	0.00	0.00	-228.73	0.56	0.54
ORF6-A549-Nt	NP_000867.2	IGF2R	10	10	10.00	1	0|2|0	0.99	0.99	0.99	0.99	0.99	5.04	10.00	0.00
ORF6-A549-Nt	NP_000894.1	NQO1	4	4	4.00	1	5|6|0	0.00	0.00	0.00	0.00	0.00	-14.16	0.73	0.34
