Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF7A-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	261	261	261.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	0.44	0.54
ORF7A-A549-Nt	NP_000043.3	ATP7A	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
ORF7A-A549-Nt	NP_000103.2	SLC26A2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.20	40.00	0.00
ORF7A-A549-Nt	NP_000108.1	EMD	68	68	68.00	1	7|13|0	1.00	1.00	1.00	1.00	1.00	26.19	6.80	0.00
ORF7A-A549-Nt	NP_000111.1	EPHX1	29	29	29.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	44.99	290.00	0.00
ORF7A-A549-Nt	NP_000149.3	GBE1	2	2	2.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-19.91	0.33	0.54
ORF7A-A549-Nt	NP_000156.1	GJA1	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.90	140.00	0.00
ORF7A-A549-Nt	NP_000201.2	ITGA6	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.86	120.00	0.00
ORF7A-A549-Nt	NP_000245.2	MTR	6	6	6.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-29.63	0.57	0.54
ORF7A-A549-Nt	NP_000259.1	NF2	6	6	6.00	1	24|22|0	0.00	0.00	0.00	0.00	0.00	-80.78	0.26	0.54
ORF7A-A549-Nt	NP_000288.1	PKD2	18	18	18.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	28.87	180.00	0.00
ORF7A-A549-Nt	NP_000310.2	PEX5	6	6	6.00	1	5|5|0	0.00	0.00	0.00	0.00	0.00	-9.42	1.20	0.27
ORF7A-A549-Nt	NP_000393.4	G6PD	100	100	100.00	1	96|141|0	0.00	0.00	0.00	0.00	0.00	-273.44	0.84	0.54
ORF7A-A549-Nt	NP_000402.3	HLCS	10	10	10.00	1	2|0|0	0.99	0.99	0.99	0.99	0.99	5.04	10.00	0.00
ORF7A-A549-Nt	NP_000407.1	IFNGR1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF7A-A549-Nt	NP_000457.1	PEX1	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
ORF7A-A549-Nt	NP_000475.1	APP	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.99	90.00	0.00
ORF7A-A549-Nt	NP_000523.2	PCCB	5	5	5.00	1	0|0|2	0.86	0.86	0.85	0.85	0.86	1.77	5.00	0.01
ORF7A-A549-Nt	NP_000525.1	PMS1	5	5	5.00	1	53|58|0	0.00	0.00	0.00	0.00	0.00	-224.98	0.09	0.54
ORF7A-A549-Nt	NP_000584.2	TAP1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.47	30.00	0.00
ORF7A-A549-Nt	NP_000678.1	AHCY	10	10	10.00	1	30|13|0	0.00	0.00	0.00	0.00	0.00	-64.23	0.47	0.54
ORF7A-A549-Nt	NP_000691.1	ANXA1	70	70	70.00	1	67|96|0	0.00	0.00	0.00	0.00	0.00	-186.16	0.86	0.53
ORF7A-A549-Nt	NP_000713.2	CACNA2D1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
ORF7A-A549-Nt	NP_000867.2	IGF2R	43	43	43.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	24.07	43.00	0.00
ORF7A-A549-Nt	NP_000909.2	P4HB	20	20	20.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	31.85	200.00	0.00
ORF7A-A549-Nt	NP_000911.2	PC	485	485	485.00	1	225|226|1091	0.00	0.00	0.00	0.00	0.00	-inf	0.74	0.54
ORF7A-A549-Nt	NP_000932.3	POR	59	59	59.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	88.13	590.00	0.00
ORF7A-A549-Nt	NP_000933.1	PPIB	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.62	20.00	0.00
ORF7A-A549-Nt	NP_000959.2	RPL4	4	4	4.00	1	5|4|0	0.00	0.00	0.00	0.00	0.00	-10.33	0.89	0.29
ORF7A-A549-Nt	NP_000960.2	RPL5	16	16	16.00	1	0|4|0	0.98	0.98	0.99	0.99	0.99	4.20	8.00	0.00
ORF7A-A549-Nt	NP_000961.2	RPL6	30	30	30.00	1	4|12|7	1.00	1.00	1.00	1.00	1.00	6.19	3.16	0.00
ORF7A-A549-Nt	NP_000962.2	RPL7	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.60	20.00	0.00
ORF7A-A549-Nt	NP_000963.1	RPL7A	10	10	10.00	1	0|3|0	0.96	0.96	0.96	0.96	0.96	3.29	6.67	0.01
ORF7A-A549-Nt	NP_000969.1	RPL23	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.89	50.00	0.00
ORF7A-A549-Nt	NP_000971.1	RPL18A	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	9.04	50.00	0.00
ORF7A-A549-Nt	NP_000973.2	RPL21	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.64	20.00	0.00
ORF7A-A549-Nt	NP_000977.1	RPL24	6	6	6.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-7.48	1.33	0.23
ORF7A-A549-Nt	NP_000979.1	RPL27	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF7A-A549-Nt	NP_000981.1	RPL27A	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.66	60.00	0.00
ORF7A-A549-Nt	NP_000982.2	RPL28	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.54	30.00	0.00
ORF7A-A549-Nt	NP_000986.2	RPL34	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.38	90.00	0.00
