Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF7B-Nt	geneid:415;refseq:NP_000038;uniprot:P51690	ARSL	3|0	3	1.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	0.99	0.50	0.99	0.50	-1.43	15.00	0.07	1.5	1.49	0.57
ORF7B-Nt	geneid:1535;refseq:NP_000092;uniprot:P13498	CYBA	2|2	4	2.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.16	20.00	0.00	2	5.99	1.86
ORF7B-Nt	geneid:1643;refseq:NP_000098;uniprot:Q92466	DDB2	2|3	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.16	25.00	0.00	2.5	3.42	1.65
ORF7B-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	6|7	13	6.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.10	0.14	0.10	0.14	0.10	-2.84	2.17	0.20	5.75	6.6	0.9
ORF7B-Nt	geneid:1836;refseq:NP_000103;uniprot:P50443	SLC26A2	6|4	10	5.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.73	50.00	0.00	5	3.95	3.21
ORF7B-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	45|44	89	44.50	2	7|9|13|7|8|0|0|0|6|7|8|14	1.00	1.00	1.00	1.00	1.00	15.64	3.71	0.00	37.92	87.26	2.61
ORF7B-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	14|15	29	14.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	22.45	145.00	0.00	14.5	18.63	2.53
ORF7B-Nt	geneid:2697;refseq:NP_000156;uniprot:P17302	GJA1	14|16	30	15.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	22.39	150.00	0.00	15	22.95	7.29
ORF7B-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	10|13	23	11.50	2	0|0|2|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.72	17.25	0.00	11.33	8.68	1.92
ORF7B-Nt	geneid:3655;refseq:NP_000201;uniprot:P23229	ITGA6	5|8	13	6.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.39	65.00	0.00	6.5	3.54	2.86
