Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF8-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	69|66	135	67.50	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-18.69	2.28	0.43	55.42	10.7	1.96
ORF8-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	7|6	13	6.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.10	0.14	0.09	0.13	0.10	-2.92	2.17	0.20	5.75	7.46	0.9
ORF8-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	36|27	63	31.50	2	7|9|13|7|8|0|0|0|6|7|8|14	0.50	1.00	0.50	1.00	0.50	-5.32	2.62	0.03	24.92	64.75	1.64
ORF8-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.37	10.00	0.10	1	1.45	0.15
ORF8-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	4|2	6	3.00	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-34.37	0.32	0.62	0	0	0
ORF8-Nt	geneid:3655;refseq:NP_000201;uniprot:P23229	ITGA6	16|12	28	14.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.37	140.00	0.00	14	8.61	10.4
ORF8-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	17|14	31	15.50	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-31.20	1.08	0.50	7.25	3.78	1.06
ORF8-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	11|14	25	12.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-76.08	0.51	0.62	0	0	0
ORF8-Nt	geneid:6949;refseq:NP_001128715;uniprot:Q13428	TCOF1	8|9	17	8.50	2	2|0|18|29|26|0|0|0|26|34|17|22	0.00	0.00	0.00	0.00	0.00	-104.00	0.29	0.62	0	0	0
ORF8-Nt	geneid:7167;refseq:NP_000356;uniprot:P60174	TPI1	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	2.65	13
