Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF9b-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	964	964	964.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	1.61	0.54
ORF9b-A549-Nt	P49748	ACADVL	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF9b-A549-Nt	Q04656	ATP7A	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF9b-A549-Nt	P54132	BLM	4	4	4.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-19.84	0.57	0.54
ORF9b-A549-Nt	P51587	BRCA2	10	10	10.00	1	15|6|0	0.00	0.00	0.00	0.00	0.00	-22.44	0.95	0.41
ORF9b-A549-Nt	P09622	DLD	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.64	20.00	0.00
ORF9b-A549-Nt	P50443	SLC26A2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF9b-A549-Nt	P50402	EMD	13	13	13.00	1	7|13|0	0.00	0.00	0.00	0.00	0.00	-16.77	1.30	0.37
ORF9b-A549-Nt	P28715	ERCC5	5	5	5.00	1	9|4|0	0.00	0.00	0.00	0.00	0.00	-16.02	0.77	0.36
ORF9b-A549-Nt	P13804	ETFA	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.89	140.00	0.00
ORF9b-A549-Nt	P07954	FH	11	11	11.00	1	0|3|0	0.97	0.97	0.97	0.97	0.97	3.51	7.33	0.01
ORF9b-A549-Nt	Q04446	GBE1	12	12	12.00	1	4|8|0	0.01	0.01	0.01	0.01	0.01	-4.69	2.00	0.16
ORF9b-A549-Nt	P52701	MSH6	8	8	8.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-13.61	1.14	0.33
ORF9b-A549-Nt	P40939	HADHA	5	5	5.00	1	0|2|0	0.86	0.86	0.86	0.86	0.86	1.80	5.00	0.01
ORF9b-A549-Nt	Q99707	MTR	12	12	12.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-20.10	1.14	0.39
ORF9b-A549-Nt	P21359	NF1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF9b-A549-Nt	Q01968	OCRL	18	18	18.00	1	21|20|0	0.00	0.00	0.00	0.00	0.00	-46.72	0.88	0.49
ORF9b-A549-Nt	P54253	ATXN1	4	4	4.00	1	2|6|0	0.00	0.00	0.00	0.00	0.00	-8.53	1.00	0.25
ORF9b-A549-Nt	P11413	G6PD	138	138	138.00	1	96|141|0	0.00	0.00	0.00	0.00	0.00	-218.24	1.16	0.53
ORF9b-A549-Nt	P50747	HLCS	2	2	2.00	1	2|0|0	0.30	0.30	0.30	0.30	0.30	-0.85	2.00	0.04
ORF9b-A549-Nt	Q15149	PLEC	11	11	11.00	1	49|25|0	0.00	0.00	0.00	0.00	0.00	-125.54	0.30	0.54
ORF9b-A549-Nt	P51843	NR0B1	8	8	8.00	1	2|3|0	0.84	0.84	0.84	0.84	0.84	1.65	3.20	0.01
ORF9b-A549-Nt	P05166	PCCB	3	3	3.00	1	0|0|2	0.57	0.57	0.57	0.57	0.57	0.27	3.00	0.02
ORF9b-A549-Nt	P00390	GSR	5	5	5.00	1	3|4|0	0.00	0.00	0.00	0.00	0.00	-5.59	1.43	0.18
ORF9b-A549-Nt	P13196	ALAS1	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
ORF9b-A549-Nt	P04083	ANXA1	76	76	76.00	1	67|96|0	0.00	0.00	0.00	0.00	0.00	-176.93	0.93	0.53
ORF9b-A549-Nt	P15559	NQO1	4	4	4.00	1	5|6|0	0.00	0.00	0.00	0.00	0.00	-14.17	0.73	0.34
ORF9b-A549-Nt	P07237	P4HB	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.88	50.00	0.00
ORF9b-A549-Nt	P11498	PC	284	284	284.00	1	225|226|1091	0.00	0.00	0.00	0.00	0.00	-inf	0.43	0.54
ORF9b-A549-Nt	P24928	POLR2A	4	4	4.00	1	10|6|0	0.00	0.00	0.00	0.00	0.00	-23.63	0.50	0.54
ORF9b-A549-Nt	P30876	POLR2B	9	9	9.00	1	5|4|0	0.03	0.03	0.03	0.03	0.03	-3.54	2.00	0.13
ORF9b-A549-Nt	P49643	PRIM2	7	7	7.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-11.46	1.17	0.30
ORF9b-A549-Nt	P39023	RPL3	8	8	8.00	1	3|3|0	0.52	0.52	0.53	0.53	0.53	0.12	2.67	0.03
ORF9b-A549-Nt	P36578	RPL4	7	7	7.00	1	5|4|0	0.00	0.00	0.00	0.00	0.00	-6.16	1.56	0.20
ORF9b-A549-Nt	Q02878	RPL6	14	14	14.00	1	4|12|7	0.00	0.00	0.00	0.00	0.00	-13.66	1.47	0.33
ORF9b-A549-Nt	P62424	RPL7A	6	6	6.00	1	0|3|0	0.80	0.80	0.81	0.81	0.81	1.47	4.00	0.01
ORF9b-A549-Nt	P84098	RPL19	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.62	20.00	0.00
ORF9b-A549-Nt	P83731	RPL24	5	5	5.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-9.05	1.11	0.26
ORF9b-A549-Nt	P05388	RPLP0	12	12	12.00	1	9|13|0	0.00	0.00	0.00	0.00	0.00	-21.79	1.09	0.40
