bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
N_Ct	GO:MF	GO:0003723	RNA binding	1.476908761636949e-10	1233	46	32	7292	0.6956521739130435	0.025952960259529603	['BICC1', 'CAVIN1', 'CELF1', 'EIF2AK2', 'EIF4ENIF1', 'FAM120A', 'FAM120C', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'IGF2BP1', 'IGF2BP3', 'LSM14A', 'NFX1', 'OTUD4', 'PRKRA', 'PRRC2A', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'TOP3B', 'TUT4', 'TUT7', 'USP10', 'YTHDF1', 'ZCCHC3']
N_Ct	GO:MF	GO:0003676	nucleic acid binding	8.152993942177248e-08	1648	46	33	7292	0.717391304347826	0.020024271844660196	['BICC1', 'CAVIN1', 'CELF1', 'EIF2AK2', 'EIF4ENIF1', 'FAM120A', 'FAM120C', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'IGF2BP1', 'IGF2BP3', 'LSM14A', 'NFX1', 'OTUD4', 'PRKRA', 'PRRC2A', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'TOP3B', 'TRIM26', 'TUT4', 'TUT7', 'USP10', 'YTHDF1', 'ZCCHC3']
N_Ct	GO:MF	GO:1901363	heterocyclic compound binding	3.4252985650252766e-06	2004	46	34	7292	0.7391304347826086	0.016966067864271458	['BICC1', 'CAVIN1', 'CELF1', 'DRG1', 'EIF2AK2', 'EIF4ENIF1', 'FAM120A', 'FAM120C', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'IGF2BP1', 'IGF2BP3', 'LSM14A', 'NFX1', 'OTUD4', 'PRKRA', 'PRRC2A', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'TOP3B', 'TRIM26', 'TUT4', 'TUT7', 'USP10', 'YTHDF1', 'ZCCHC3']
N_Ct	GO:MF	GO:0097159	organic cyclic compound binding	4.677869692585683e-06	2025	46	34	7292	0.7391304347826086	0.016790123456790124	['BICC1', 'CAVIN1', 'CELF1', 'DRG1', 'EIF2AK2', 'EIF4ENIF1', 'FAM120A', 'FAM120C', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'IGF2BP1', 'IGF2BP3', 'LSM14A', 'NFX1', 'OTUD4', 'PRKRA', 'PRRC2A', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'TOP3B', 'TRIM26', 'TUT4', 'TUT7', 'USP10', 'YTHDF1', 'ZCCHC3']
N_Ct	GO:BP	GO:0010608	posttranscriptional regulation of gene expression	0.0004878877255581989	399	46	15	7292	0.32608695652173914	0.03759398496240601	['CELF1', 'EIF2AK2', 'EIF4ENIF1', 'FXR1', 'FXR2', 'IGF2BP1', 'IGF2BP3', 'MEIOC', 'PRKRA', 'PSMD8', 'RC3H1', 'SECISBP2L', 'TUT4', 'TUT7', 'YTHDF1']
N_Ct	GO:MF	GO:0003729	mRNA binding	0.000509688973919288	181	46	11	7292	0.2391304347826087	0.06077348066298342	['CELF1', 'EIF4ENIF1', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'IGF2BP1', 'IGF2BP3', 'RBM47', 'RC3H1', 'SECISBP2L']
N_Nt	GO:MF	GO:0003723	RNA binding	1.0329351316142881e-21	1233	84	58	7292	0.6904761904761905	0.047039740470397405	['ABCF1', 'BICC1', 'CAVIN1', 'CELF1', 'DHX30', 'DHX57', 'DICER1', 'DNAJC21', 'EIF2AK2', 'EIF4ENIF1', 'EIF5B', 'FAM120A', 'FAM120C', 'FASTKD2', 'FKBP3', 'FMR1', 'FNDC3B', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'GRSF1', 'IGF2BP1', 'IGF2BP3', 'LSM14A', 'LSM14B', 'NEMF', 'NFX1', 'OTUD4', 'PAIP1', 'PRKRA', 'PRRC2A', 'PTBP3', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'RC3H2', 'RPL14', 'RPL21', 'RPL29', 'RPL7A', 'SECISBP2', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'STAU2', 'TOP3B', 'TRIM56', 'TUT4', 'TUT7', 'UPF1', 'USP10', 'YTHDF1', 'YTHDF3', 'ZCCHC3', 'ZFP36L2']
N_Nt	GO:MF	GO:0003676	nucleic acid binding	7.057448436719105e-17	1648	84	60	7292	0.7142857142857143	0.03640776699029126	['ABCF1', 'BICC1', 'CAVIN1', 'CELF1', 'DHX30', 'DHX57', 'DICER1', 'DNAJC21', 'EIF2AK2', 'EIF4ENIF1', 'EIF5B', 'FAM120A', 'FAM120C', 'FASTKD2', 'FKBP3', 'FMR1', 'FNDC3B', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'GRSF1', 'IGF2BP1', 'IGF2BP3', 'LSM14A', 'LSM14B', 'NEMF', 'NFX1', 'OTUD4', 'PAIP1', 'POLE', 'PRKRA', 'PRRC2A', 'PTBP3', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'RC3H2', 'RPL14', 'RPL21', 'RPL29', 'RPL7A', 'SECISBP2', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'STAU2', 'TOP3B', 'TRIM26', 'TRIM56', 'TUT4', 'TUT7', 'UPF1', 'USP10', 'YTHDF1', 'YTHDF3', 'ZCCHC3', 'ZFP36L2']
N_Nt	GO:MF	GO:1901363	heterocyclic compound binding	3.3416724492576474e-13	2004	84	61	7292	0.7261904761904762	0.030439121756487025	['ABCF1', 'BICC1', 'CAVIN1', 'CELF1', 'DHX30', 'DHX57', 'DICER1', 'DNAJC21', 'EIF2AK2', 'EIF4ENIF1', 'EIF5B', 'FAM120A', 'FAM120C', 'FASTKD2', 'FKBP3', 'FMR1', 'FNDC3B', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'GRSF1', 'IGF2BP1', 'IGF2BP3', 'LSG1', 'LSM14A', 'LSM14B', 'NEMF', 'NFX1', 'OTUD4', 'PAIP1', 'POLE', 'PRKRA', 'PRRC2A', 'PTBP3', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'RC3H2', 'RPL14', 'RPL21', 'RPL29', 'RPL7A', 'SECISBP2', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'STAU2', 'TOP3B', 'TRIM26', 'TRIM56', 'TUT4', 'TUT7', 'UPF1', 'USP10', 'YTHDF1', 'YTHDF3', 'ZCCHC3', 'ZFP36L2']
N_Nt	GO:MF	GO:0097159	organic cyclic compound binding	5.827730922051734e-13	2025	84	61	7292	0.7261904761904762	0.030123456790123456	['ABCF1', 'BICC1', 'CAVIN1', 'CELF1', 'DHX30', 'DHX57', 'DICER1', 'DNAJC21', 'EIF2AK2', 'EIF4ENIF1', 'EIF5B', 'FAM120A', 'FAM120C', 'FASTKD2', 'FKBP3', 'FMR1', 'FNDC3B', 'FXR1', 'FXR2', 'G3BP1', 'G3BP2', 'GRSF1', 'IGF2BP1', 'IGF2BP3', 'LSG1', 'LSM14A', 'LSM14B', 'NEMF', 'NFX1', 'OTUD4', 'PAIP1', 'POLE', 'PRKRA', 'PRRC2A', 'PTBP3', 'R3HDM1', 'R3HDM2', 'RBM47', 'RC3H1', 'RC3H2', 'RPL14', 'RPL21', 'RPL29', 'RPL7A', 'SECISBP2', 'SECISBP2L', 'SPATS2', 'SPATS2L', 'SRPK2', 'STAU2', 'TOP3B', 'TRIM26', 'TRIM56', 'TUT4', 'TUT7', 'UPF1', 'USP10', 'YTHDF1', 'YTHDF3', 'ZCCHC3', 'ZFP36L2']
