bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
NSP14_Nt	REAC	REAC:R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	7.623346693086397e-13	104	92	19	7292	0.20652173913043478	0.18269230769230768	['DDOST', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPN2', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1', 'TRAM1']
NSP14_Nt	REAC	REAC:R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	2.5007792137200204e-11	90	92	17	7292	0.18478260869565216	0.18888888888888888	['EIF2S1', 'EIF2S3', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	CORUM	CORUM:306	Ribosome, cytoplasmic	1.3035915401079628e-10	77	92	14	7292	0.15217391304347827	0.18181818181818182	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	4.4619397649883283e-10	106	92	17	7292	0.18478260869565216	0.16037735849056603	['EIF2S1', 'EIF2S3', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	5.252646177899527e-10	107	92	17	7292	0.18478260869565216	0.1588785046728972	['EIF2S1', 'EIF2S3', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	GO:BP	GO:0006613	cotranslational protein targeting to membrane	7.787281226140717e-10	92	92	16	7292	0.17391304347826086	0.17391304347826086	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1', 'TRAM1']
NSP14_Nt	REAC	REAC:R-HSA-72613	Eukaryotic Translation Initiation	1.5700711042490859e-09	114	92	17	7292	0.18478260869565216	0.14912280701754385	['EIF2S1', 'EIF2S3', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-72737	Cap-dependent Translation Initiation	1.5700711042490859e-09	114	92	17	7292	0.18478260869565216	0.14912280701754385	['EIF2S1', 'EIF2S3', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-192823	Viral mRNA Translation	3.683796477613368e-09	84	92	15	7292	0.16304347826086957	0.17857142857142858	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-156902	Peptide chain elongation	3.683796477613368e-09	84	92	15	7292	0.16304347826086957	0.17857142857142858	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-2408557	Selenocysteine synthesis	4.4285362661923696e-09	85	92	15	7292	0.16304347826086957	0.17647058823529413	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-2408522	Selenoamino acid metabolism	5.8164004870329216e-09	104	92	16	7292	0.17391304347826086	0.15384615384615385	['DARS1', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	GO:BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	6.352918874814334e-09	87	92	15	7292	0.16304347826086957	0.1724137931034483	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1']
NSP14_Nt	REAC	REAC:R-HSA-72764	Eukaryotic Translation Termination	6.352918874814334e-09	87	92	15	7292	0.16304347826086957	0.1724137931034483	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-156842	Eukaryotic Translation Elongation	7.581858512646866e-09	88	92	15	7292	0.16304347826086957	0.17045454545454544	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	9.027679614844569e-09	89	92	15	7292	0.16304347826086957	0.16853932584269662	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	GO:CC	GO:0022626	cytosolic ribosome	2.4583862704002212e-08	95	92	15	7292	0.16304347826086957	0.15789473684210525	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-72689	Formation of a pool of free 40S subunits	2.8845353496767798e-08	96	92	15	7292	0.16304347826086957	0.15625	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	4.3532616898424044e-08	461	92	28	7292	0.30434782608695654	0.06073752711496746	['ATP2A2', 'CDIPT', 'CERS2', 'COPB2', 'DDOST', 'DERL1', 'DHCR7', 'FADS1', 'GPAA1', 'HACD3', 'HM13', 'LCLAT1', 'MAGT1', 'MBOAT7', 'NCEH1', 'RAB14', 'RPN2', 'SCD', 'SEC23A', 'SEC61A1', 'SLC27A2', 'SLC35B2', 'SOAT1', 'STT3A', 'STT3B', 'TECR', 'TMEM33', 'TRAM1']
NSP14_Nt	GO:BP	GO:0070972	protein localization to endoplasmic reticulum	4.439129449388531e-08	118	92	16	7292	0.17391304347826086	0.13559322033898305	['GPAA1', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1']
NSP14_Nt	CORUM	CORUM:3055	Nop56p-associated pre-rRNA complex	5.356785001288666e-08	97	92	13	7292	0.14130434782608695	0.13402061855670103	['DDX21', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS6', 'RPS9']
NSP14_Nt	GO:BP	GO:0045047	protein targeting to ER	5.366276701111356e-08	100	92	15	7292	0.16304347826086957	0.15	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1']
NSP14_Nt	GO:BP	GO:0072599	establishment of protein localization to endoplasmic reticulum	8.391570856767138e-08	103	92	15	7292	0.16304347826086957	0.14563106796116504	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1']
NSP14_Nt	REAC	REAC:R-HSA-72766	Translation	1.0438728900165777e-07	277	92	22	7292	0.2391304347826087	0.07942238267148015	['DARS1', 'DDOST', 'EIF2S1', 'EIF2S3', 'RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPN2', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9', 'SEC61A1', 'TRAM1']
NSP14_Nt	REAC	REAC:R-HSA-927802	Nonsense-Mediated Decay (NMD)	1.2930231163155313e-07	106	92	15	7292	0.16304347826086957	0.14150943396226415	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	REAC	REAC:R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	1.2930231163155313e-07	106	92	15	7292	0.16304347826086957	0.14150943396226415	['RPL13', 'RPL18A', 'RPL21', 'RPL26', 'RPL27A', 'RPL3', 'RPL30', 'RPL36AL', 'RPL7', 'RPL9', 'RPS24', 'RPS27', 'RPS3', 'RPS6', 'RPS9']
NSP14_Nt	GO:CC	GO:0005789	endoplasmic reticulum membrane	1.6665687452540376e-07	450	92	27	7292	0.29347826086956524	0.06	['ATP2A2', 'CDIPT', 'CERS2', 'COPB2', 'DDOST', 'DERL1', 'DHCR7', 'FADS1', 'GPAA1', 'HACD3', 'HM13', 'LCLAT1', 'MAGT1', 'MBOAT7', 'NCEH1', 'RPN2', 'SCD', 'SEC23A', 'SEC61A1', 'SLC27A2', 'SLC35B2', 'SOAT1', 'STT3A', 'STT3B', 'TECR', 'TMEM33', 'TRAM1']
