Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
E-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	37|30	67	33.50	2	7|9|13|7|8|0|0|0|6|7|8|14	0.59	1.00	0.61	1.00	0.61	-1.30	2.79	0.02	26.92	55.75	1.8
E-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	3|7	10	5.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.02	50.00	0.00	5	5.78	0.85
E-Nt	geneid:4864;refseq:NP_000262;uniprot:O15118	NPC1	6|7	13	6.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.02	65.00	0.00	6.5	2.68	1.4
E-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	6|10	16	8.00	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-88.13	0.32	0.62	0	0	0
E-Nt	geneid:5311;refseq:NP_000288;uniprot:Q13563	PKD2	5|5	10	5.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.42	50.00	0.00	5	2.72	4.06
E-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	66|70	136	68.00	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-516.46	0.42	0.62	0	0	0
E-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	8|6	14	7.00	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-11.08	1.31	0.32	5.25	3.8	1.17
E-Nt	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	3|9	12	6.00	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-23.15	0.82	0.40	4.17	4.07	0.86
E-Nt	geneid:2936;refseq:NP_000628;uniprot:P00390	GSR	7|6	13	6.50	2	4|2|4|3|2|0|0|0|4|3|0|0	0.00	0.01	0.00	0.01	0.00	-6.39	1.62	0.26	4.67	4.71	0.8
E-Nt	geneid:6133;refseq:NP_000652;uniprot:P32969	RPL9	4|4	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.97	40.00	0.00	4	10.96	1.09
E-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	28|40	68	34.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-296.78	0.39	0.62	0	0	0
E-Nt	geneid:3482;refseq:NP_000867;uniprot:P11717	IGF2R	13|20	33	16.50	2	6|6|2|0|0|0|0|0|4|2|0|0	0.59	1.00	0.59	1.00	0.59	-1.51	3.09	0.02	14.83	3.13	0.51
E-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	9|9	18	9.00	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-14.96	1.17	0.41	4.5	8.64	0.75
E-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	760|523	1283	641.50	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.66	0.62	15.25	6.81	0.03
E-Nt	geneid:5447;refseq:NP_000932;uniprot:P16435	POR	17|25	42	21.00	2	0|0|0|0|3|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.15	21.00	0.00	20.75	16.05	1.65
E-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	4|3	7	3.50	2	0|0|4|5|4|0|6|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-13.68	0.70	0.39	1.33	1.64	0.41
E-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	28|29	57	28.50	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-45.24	1.17	0.55	17.17	30.41	0.74
E-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	27|26	53	26.50	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-23.80	1.53	0.48	15.42	28.16	0.86
E-Nt	geneid:6129;refseq:NP_000962;uniprot:P18124	RPL7	4|6	10	5.00	2	0|0|0|0|0|0|3|0|0|0|0|0	0.76	0.85	0.83	0.90	0.83	1.16	5.00	0.01	4.75	10.07	0.72
E-Nt	geneid:6130;refseq:NP_000963;uniprot:P62424	RPL7A	6|9	15	7.50	2	0|0|3|0|0|0|3|0|0|0|0|0	0.74	0.95	0.83	0.97	0.83	0.80	3.75	0.01	7	13.84	0.83
E-Nt	geneid:6136;refseq:NP_000967;uniprot:P30050	RPL12	2|3	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.14	25.00	0.00	2.5	7.97	1.53
E-Nt	geneid:9349;refseq:NP_000969;uniprot:P62829	RPL23	4|4	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.01	40.00	0.00	4	15.03	1.32
E-Nt	geneid:6142;refseq:NP_000971;uniprot:Q02543	RPL18A	7|7	14	7.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.13	70.00	0.00	7	20.92	1.18
E-Nt	geneid:6144;refseq:NP_000973;uniprot:P46778	RPL21	6|2	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.40	40.00	0.00	4	13.15	0.8
E-Nt	geneid:6146;refseq:NP_000974;uniprot:P35268	RPL22	2|5	7	3.50	2	0|0|0|0|0|0|2|0|0|0|0|0	0.68	0.90	0.72	0.92	0.72	0.06	5.25	0.02	3.33	13.68	2.43
E-Nt	geneid:6154;refseq:NP_000978;uniprot:P61254	RPL26	9|9	18	9.00	2	2|0|0|0|0|0|3|0|2|0|0|0	0.95	0.95	0.96	0.96	0.96	3.20	3.86	0.01	8.42	30.54	1.25
E-Nt	geneid:6155;refseq:NP_000979;uniprot:P61353	RPL27	3|7	10	5.00	2	0|2|0|0|0|0|0|0|3|2|0|0	0.32	0.63	0.35	0.70	0.35	-4.47	2.14	0.17	4.42	17.1	0.87
