Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF14-Nt	geneid:641;refseq:NP_000048;uniprot:P54132	BLM	26|30	56	28.00	2	0|0|5|9|4|0|0|0|3|4|0|0	1.00	1.00	1.00	1.00	1.00	13.01	4.67	0.00	25.92	13.01	61.15
ORF14-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	97|116	213	106.50	2	4|0|6|15|12|0|0|0|37|31|21|19	1.00	1.00	1.00	1.00	1.00	7.21	3.59	0.00	94.42	19.64	3.53
ORF14-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	9|7	16	8.00	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-33.93	0.67	0.52	1.42	3.97	0.09
ORF14-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	17|17	34	17.00	2	0|0|5|9|8|0|0|0|6|6|0|6	0.02	0.02	0.02	0.02	0.02	-3.87	2.22	0.23	13.67	7.15	8.91
ORF14-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	42|49	91	45.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-577.04	0.28	0.62	0	0	0
ORF14-Nt	geneid:190;refseq:NP_000466;uniprot:P51843	NR0B1	5|4	9	4.50	2	0|0|3|2|0|0|0|0|0|0|0|0	0.38	0.51	0.36	0.50	0.38	-1.19	2.70	0.16	4.08	6.17	9.31
ORF14-Nt	geneid:546;refseq:NP_000480;uniprot:P46100	ATRX	20|17	37	18.50	2	0|0|2|0|0|0|0|0|0|0|0|2	1.00	1.00	1.00	1.00	1.00	27.00	13.88	0.00	18.17	5.18	22.29
ORF14-Nt	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	3|5	8	4.00	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-23.15	0.55	0.46	2.17	2.86	0.46
ORF14-Nt	geneid:218;refseq:NP_000682;uniprot:P30838	ALDH3A1	3|3	6	3.00	2	21|23|14|11|13|0|0|0|16|16|16|17	0.00	0.00	0.00	0.00	0.00	-78.58	0.15	0.62	0	0	0
ORF14-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	46|38	84	42.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-272.92	0.48	0.62	0	0	0
ORF14-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	3|4	7	3.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-24.96	0.46	0.62	0	0	0
ORF14-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	1527|1438	2965	1482.50	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	1.53	0.62	856.25	516.8	1.82
ORF14-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	17|19	36	18.00	2	0|0|4|5|4|0|6|0|3|4|0|0	0.99	1.00	1.00	1.00	1.00	4.90	3.60	0.00	15.83	26.36	5.97
ORF14-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	8|12	20	10.00	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-81.03	0.41	0.58	0	0	0
ORF14-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	29|28	57	28.50	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-21.10	1.64	0.47	17.42	43.01	0.96
ORF14-Nt	geneid:6129;refseq:NP_000962;uniprot:P18124	RPL7	2|3	5	2.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.38	0.50	0.38	0.50	0.38	-1.02	2.50	0.16	2.25	6.45	0.33
ORF14-Nt	geneid:6130;refseq:NP_000963;uniprot:P62424	RPL7A	10|11	21	10.50	2	0|0|3|0|0|0|3|0|0|0|0|0	0.98	0.99	0.99	0.99	0.99	3.89	5.25	0.00	10	26.73	1.19
ORF14-Nt	geneid:6152;refseq:NP_000977;uniprot:P83731	RPL24	5|4	9	4.50	2	5|3|6|3|3|0|3|0|3|3|0|3	0.00	0.00	0.00	0.00	0.00	-11.48	0.96	0.35	1.83	8.29	2.04
