Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF3A-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	19|22	41	20.50	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-15.92	1.71	0.38	13.92	29.62	0.9
ORF3A-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	2|14	16	8.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.14	80.00	0.00	8	9.5	1.22
ORF3A-Nt	geneid:4864;refseq:NP_000262;uniprot:O15118	NPC1	3|4	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	4.96	35.00	0.00	3.5	1.48	0.77
ORF3A-Nt	geneid:1244;refseq:NP_000383;uniprot:Q92887	ABCC2	3|18	21	10.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	4.97	105.00	0.00	10.5	3.67	1.19
ORF3A-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	39|51	90	45.00	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-585.43	0.28	0.62	0	0	0
ORF3A-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	4|10	14	7.00	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-14.04	1.31	0.27	5.25	3.91	1.17
ORF3A-Nt	geneid:191;refseq:NP_000678;uniprot:P23526	AHCY	2|10	12	6.00	2	25|31|13|30|17|0|3|0|30|32|29|25	0.00	0.00	0.00	0.00	0.00	-128.84	0.19	0.62	0	0	0
ORF3A-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	24|32	56	28.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-307.29	0.32	0.62	0	0	0
ORF3A-Nt	geneid:5034;refseq:NP_000909;uniprot:P07237	P4HB	7|16	23	11.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.80	115.00	0.00	11.5	12.24	1.23
ORF3A-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	920|582	1502	751.00	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.78	0.62	124.75	57.24	0.25
ORF3A-Nt	geneid:5447;refseq:NP_000932;uniprot:P16435	POR	8|16	24	12.00	2	0|0|0|0|3|0|0|0|0|0|0|0	0.97	1.00	0.96	1.00	0.97	2.60	12.00	0.00	11.75	9.34	0.88
ORF3A-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	11|13	24	12.00	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-74.44	0.49	0.58	0.67	1.22	0.03
ORF3A-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	11|15	26	13.00	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-46.89	0.75	0.54	1.92	3.6	0.11
ORF3A-Nt	geneid:6137;refseq:NP_000968;uniprot:P26373	RPL13	3|4	7	3.50	2	0|0|0|2|0|0|2|0|0|0|0|0	0.37	0.54	0.39	0.56	0.39	-1.24	2.62	0.16	3.17	8.12	0.75
ORF3A-Nt	geneid:6146;refseq:NP_000974;uniprot:P35268	RPL22	2|0	2	1.00	2	0|0|0|0|0|0|2|0|0|0|0|0	0.23	0.45	0.24	0.47	0.24	-3.45	1.50	0.18	0.83	3.5	0.61
ORF3A-Nt	geneid:6154;refseq:NP_000978;uniprot:P61254	RPL26	3|6	9	4.50	2	2|0|0|0|0|0|3|0|2|0|0|0	0.17	0.33	0.18	0.35	0.18	-4.70	1.93	0.19	3.92	14.61	0.6
ORF3A-Nt	geneid:6155;refseq:NP_000979;uniprot:P61353	RPL27	2|4	6	3.00	2	0|2|0|0|0|0|0|0|3|2|0|0	0.02	0.03	0.02	0.03	0.02	-6.22	1.29	0.23	2.42	9.62	0.48
ORF3A-Nt	geneid:6157;refseq:NP_000981;uniprot:P46776	RPL27A	2|0	2	1.00	2	0|0|0|0|0|0|2|0|2|0|0|0	0.03	0.06	0.03	0.06	0.03	-5.87	0.75	0.22	0.67	2.45	0.17
ORF3A-Nt	geneid:6164;refseq:NP_000986;uniprot:P49207	RPL34	2|3	5	2.50	2	0|3|0|0|0|0|5|0|3|0|0|3	0.00	0.00	0.00	0.00	0.00	-11.04	0.68	0.34	1.33	6.14	0.58
ORF3A-Nt	geneid:6194;refseq:NP_001001;uniprot:P62753	RPS6	3|4	7	3.50	2	0|0|0|0|0|0|2|0|0|0|0|0	0.74	0.81	0.76	0.83	0.76	0.82	5.25	0.01	3.33	7.23	0.8
ORF3A-Nt	geneid:54788;refseq:NP_001002762;uniprot:Q9NXW2	DNAJB12	5|5	10	5.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.38	50.00	0.00	5	6.61	1.66
ORF3A-Nt	geneid:302;refseq:NP_001002857;uniprot:P07355	ANXA2	25|32	57	28.50	2	74|88|75|62|60|0|7|0|89|75|69|82	0.00	0.00	0.00	0.00	0.00	-297.58	0.33	0.62	0	0	0
ORF3A-Nt	geneid:6202;refseq:NP_001003;uniprot:P62241	RPS8	10|11	21	10.50	2	3|5|0|0|0|0|7|2|8|7|5|4	0.00	0.00	0.00	0.00	0.00	-12.18	1.43	0.36	7.08	18.4	0.83
ORF3A-Nt	geneid:10814;refseq:NP_001008221;uniprot:Q6PUV4	CPLX2	8|11	19	9.50	2	17|12|12|7|8|0|0|0|13|14|15|17	0.00	0.00	0.00	0.00	0.00	-49.09	0.58	0.55	0	0	0
ORF3A-Nt	geneid:493856;refseq:NP_001008389;uniprot:Q8N5K1	CISD2	12|21	33	16.50	2	5|4|4|4|3|0|0|0|4|3|4|4	0.80	1.00	0.80	1.00	0.80	0.40	3.81	0.01	13.58	54.37	1.31
ORF3A-Nt	geneid:9709;refseq:NP_001010989;uniprot:Q15011	HERPUD1	4|4	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.70	40.00	0.00	4	5.54	10.4
ORF3A-Nt	geneid:6520;refseq:NP_001012680;uniprot:P08195	SLC3A2	4|15	19	9.50	2	22|17|24|19|18|0|0|0|14|17|12|11	0.00	0.00	0.00	0.00	0.00	-81.18	0.44	0.57	0	0	0
ORF3A-Nt	geneid:388698;refseq:NP_001014364;uniprot:Q5D862	FLG2	4|4	8	4.00	2	0|0|0|0|5|0|5|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-6.55	1.20	0.28	3.17	0.72	1.46
ORF3A-Nt	geneid:6228;refseq:NP_001016;uniprot:P62266	RPS23	4|0	4	2.00	2	0|3|0|0|0|0|0|0|2|2|0|0	0.02	0.03	0.02	0.04	0.02	-9.94	0.86	0.23	1.42	5.37	0.41
ORF3A-Nt	geneid:91663;refseq:NP_001018654;uniprot:Q96S97	MYADM	2|4	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.11	30.00	0.00	3	5.04	1.32
ORF3A-Nt	geneid:9373;refseq:NP_001026859;uniprot:Q9Y263	PLAA	2|14	16	8.00	2	38|39|48|44|50|0|0|0|40|32|29|33	0.00	0.00	0.00	0.00	0.00	-201.26	0.17	0.62	0	0	0
ORF3A-Nt	geneid:7311;refseq:NP_001029102;uniprot:P62987	UBA52	13|0	13	6.50	2	4|15|2|3|4|0|0|0|15|10|29|35	0.00	0.00	0.00	0.00	0.00	-116.10	0.25	0.59	0	0	0
ORF3A-Nt	geneid:554313;refseq:NP_001029249;uniprot:P62805	H4C15	6|3	9	4.50	2	0|0|7|6|7|0|8|4|6|4|3|4	0.00	0.00	0.00	0.00	0.00	-23.64	0.61	0.45	0.42	2.2	0.47
ORF3A-Nt	geneid:9045;refseq:NP_001030168;uniprot:P50914	RPL14	3|6	9	4.50	2	0|0|0|0|0|0|0|0|2|2|0|0	0.58	0.96	0.58	0.96	0.58	-1.38	3.38	0.02	4.17	10.48	2.36
ORF3A-Nt	geneid:10427;refseq:NP_001036199;uniprot:O95487	SEC24B	2|15	17	8.50	2	14|6|13|16|14|0|0|0|6|7|9|5	0.00	0.00	0.00	0.00	0.00	-57.22	0.58	0.52	1	0.44	0.06
ORF3A-Nt	geneid:7086;refseq:NP_001055;uniprot:P29401	TKT	15|29	44	22.00	2	44|43|47|47|44|0|9|0|47|48|46|52	0.00	0.00	0.00	0.00	0.00	-166.83	0.45	0.62	0	0	0
