Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF3B-Nt	geneid:226;refseq:NP_000025;uniprot:P04075	ALDOA	5|4	9	4.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.72	0.77	0.72	0.77	0.72	0.70	4.50	0.01	4.25	8.02	0.95
ORF3B-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	66|65	131	65.50	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-19.65	2.21	0.45	53.42	10.74	1.89
ORF3B-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	11|9	20	10.00	2	4|5|0|0|0|0|0|0|0|0|0|0	0.64	0.80	0.65	0.81	0.65	0.00	3.33	0.02	9.25	12.48	1.48
ORF3B-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	3|3	6	3.00	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-42.83	0.25	0.62	0	0	0
ORF3B-Nt	geneid:2271;refseq:NP_000134;uniprot:P07954	FH	4|7	11	5.50	2	4|3|3|0|0|0|0|0|0|0|0|0	0.03	0.06	0.03	0.06	0.03	-6.85	1.65	0.22	4.67	6.29	2.01
ORF3B-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	11|18	29	14.50	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-17.98	1.55	0.31	9.75	9.54	3.47
ORF3B-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	4|6	10	5.00	2	0|0|5|9|8|0|0|0|6|6|0|6	0.00	0.00	0.00	0.00	0.00	-22.83	0.65	0.46	1.67	0.84	0.84
ORF3B-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	6|6	12	6.00	2	0|0|2|0|0|0|0|0|0|0|0|0	0.95	0.95	0.95	0.95	0.95	2.99	9.00	0.01	5.83	5.25	0.95
ORF3B-Nt	geneid:182;refseq:NP_000205;uniprot:P78504	JAG1	12|17	29	14.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.37	145.00	0.00	14.5	8.18	3.87
ORF3B-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	16|18	34	17.00	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-28.27	1.19	0.50	8.75	4.75	1.29
ORF3B-Nt	geneid:4771;refseq:NP_000259;uniprot:P35240	NF2	5|8	13	6.50	2	18|17|22|24|17|0|0|0|21|15|20|19	0.00	0.00	0.00	0.00	0.00	-81.00	0.29	0.62	0	0	0
ORF3B-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	78|89	167	83.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-489.61	0.51	0.62	0	0	0
ORF3B-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	5|4	9	4.50	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-14.04	0.84	0.38	2.75	2.6	0.6
ORF3B-Nt	geneid:3459;refseq:NP_000407;uniprot:P15260	IFNGR1	2|4	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.11	30.00	0.00	3	4.21	3.8
ORF3B-Nt	geneid:5048;refseq:NP_000421;uniprot:P43034	PAFAH1B1	8|8	16	8.00	2	0|0|2|0|0|0|0|0|2|3|0|3	0.67	0.67	0.66	0.66	0.67	0.65	3.00	0.02	7.17	12.01	0.77
ORF3B-Nt	geneid:190;refseq:NP_000466;uniprot:P51843	NR0B1	3|2	5	2.50	2	0|0|3|2|0|0|0|0|0|0|0|0	0.05	0.08	0.05	0.08	0.05	-3.88	1.50	0.21	2.08	3.04	4.04
ORF3B-Nt	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	8|9	17	8.50	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-14.69	1.16	0.39	6.67	8.5	1.36
ORF3B-Nt	geneid:2936;refseq:NP_000628;uniprot:P00390	GSR	7|5	12	6.00	2	4|2|4|3|2|0|0|0|4|3|0|0	0.00	0.01	0.00	0.01	0.00	-7.83	1.50	0.26	4.17	5.49	0.71
ORF3B-Nt	geneid:6133;refseq:NP_000652;uniprot:P32969	RPL9	3|2	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.22	25.00	0.00	2.5	8.95	0.67
