Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF3B-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	196|176	372	186.00	2	13|9|861|877	0.00	0.00	0.00	0.00	0.00	-inf	0.21	0.55
ORF3B-A549-Nt	P04075	ALDOA	5|4	9	4.50	2	3|0|0|0	0.59	0.68	0.62	0.72	0.62	0.13	3.00	0.02
ORF3B-A549-Nt	P51587	BRCA2	66|65	131	65.50	2	0|0|37|31	0.00	0.00	0.00	0.00	0.00	-28.09	1.93	0.44
ORF3B-A549-Nt	P09622	DLD	11|9	20	10.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	15.41	100.00	0.00
ORF3B-A549-Nt	P50402	EMD	3|3	6	3.00	2	0|0|6|7	0.00	0.00	0.00	0.00	0.00	-19.70	0.46	0.55
ORF3B-A549-Nt	P07954	FH	4|7	11	5.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.07	55.00	0.00
ORF3B-A549-Nt	Q04446	GBE1	11|18	29	14.50	2	0|0|6|4	0.53	1.00	0.53	1.00	0.53	-2.64	2.90	0.02
ORF3B-A549-Nt	P52701	MSH6	4|6	10	5.00	2	0|0|6|6	0.00	0.00	0.00	0.00	0.00	-16.00	0.83	0.36
ORF3B-A549-Nt	P40939	HADHA	6|6	12	6.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.69	60.00	0.00
ORF3B-A549-Nt	P78504	JAG1	12|17	29	14.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.80	145.00	0.00
ORF3B-A549-Nt	Q99707	MTR	16|18	34	17.00	2	0|0|10|9	0.00	0.00	0.00	0.00	0.00	-11.11	1.79	0.31
ORF3B-A549-Nt	P35240	NF2	5|8	13	6.50	2	0|0|21|15	0.00	0.00	0.00	0.00	0.00	-62.35	0.36	0.55
ORF3B-A549-Nt	P11413	G6PD	78|89	167	83.50	2	2|0|148|145	0.00	0.00	0.00	0.00	0.00	-421.85	0.57	0.55
ORF3B-A549-Nt	P50747	HLCS	5|4	9	4.50	2	7|6|3|0	0.00	0.00	0.00	0.00	0.00	-18.03	0.69	0.39
ORF3B-A549-Nt	P15260	IFNGR1	2|4	6	3.00	2	0|0|0|0	0.99	1.00	0.99	1.00	0.99	3.54	30.00	0.00
ORF3B-A549-Nt	P43034	PAFAH1B1	8|8	16	8.00	2	0|0|2|3	0.84	0.84	0.83	0.83	0.84	1.62	3.20	0.01
ORF3B-A549-Nt	P51843	NR0B1	3|2	5	2.50	2	0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.49	25.00	0.00
ORF3B-A549-Nt	P05166	PCCB	8|9	17	8.50	2	8|12|0|0	0.00	0.00	0.00	0.00	0.00	-24.34	0.85	0.42
ORF3B-A549-Nt	P00390	GSR	7|5	12	6.00	2	0|0|4|3	0.03	0.05	0.03	0.05	0.03	-5.65	1.71	0.23
ORF3B-A549-Nt	P32969	RPL9	3|2	5	2.50	2	0|0|0|0	0.98	1.00	0.99	1.00	0.99	4.25	25.00	0.00
ORF3B-A549-Nt	P13196	ALAS1	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
