Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF6-Nt	geneid:37;refseq:NP_000009;uniprot:P49748	ACADVL	4|0	4	2.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.43	20.00	0.05	2	1.88	3.25
ORF6-Nt	geneid:324;refseq:NP_000029;uniprot:P25054	APC	3|0	3	1.50	2	28|28|6|12|15|0|0|0|11|12|13|14	0.00	0.00	0.00	0.00	0.00	-104.24	0.06	0.62	0	0	0
ORF6-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	72|44	116	58.00	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-42.89	1.96	0.39	45.92	8.26	1.6
ORF6-Nt	geneid:1643;refseq:NP_000098;uniprot:Q92466	DDB2	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.40	10.00	0.10	1	1.44	0.63
ORF6-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	17|12	29	14.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.93	0.99	0.94	0.99	0.94	2.15	4.83	0.01	13.75	16.61	2.26
ORF6-Nt	geneid:1836;refseq:NP_000103;uniprot:P50443	SLC26A2	3|2	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.14	25.00	0.00	2.5	2.08	1.46
ORF6-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	22|17	39	19.50	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-18.49	1.62	0.38	12.92	31.28	0.85
ORF6-Nt	geneid:2271;refseq:NP_000134;uniprot:P07954	FH	8|5	13	6.50	2	4|3|3|0|0|0|0|0|0|0|0|0	0.10	0.20	0.11	0.21	0.11	-5.34	1.95	0.20	5.67	6.84	2.48
ORF6-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	5|5	10	5.00	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-27.45	0.54	0.50	0.25	0.22	0.08
ORF6-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	12|7	19	9.50	2	0|0|5|9|8|0|0|0|6|6|0|6	0.00	0.00	0.00	0.00	0.00	-17.77	1.24	0.36	6.17	2.79	3.39
ORF6-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	13|8	21	10.50	2	0|0|2|0|0|0|0|0|0|0|0|0	0.99	1.00	0.99	1.00	0.99	4.44	15.75	0.00	10.33	8.33	1.74
ORF6-Nt	geneid:3098;refseq:NP_000179;uniprot:P19367	HK1	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.38	10.00	0.10	1	0.67	1.08
ORF6-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	18|14	32	16.00	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-31.14	1.12	0.50	7.75	3.77	1.14
ORF6-Nt	geneid:4771;refseq:NP_000259;uniprot:P35240	NF2	4|0	4	2.00	2	18|17|22|24|17|0|0|0|21|15|20|19	0.00	0.00	0.00	0.00	0.00	-98.60	0.09	0.62	0	0	0
ORF6-Nt	geneid:4860;refseq:NP_000261;uniprot:P00491	PNP	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	2.13	0.78
ORF6-Nt	geneid:4864;refseq:NP_000262;uniprot:O15118	NPC1	4|3	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	4.96	35.00	0.00	3.5	1.68	0.74
ORF6-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	71|60	131	65.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-530.58	0.40	0.62	0	0	0
ORF6-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	7|5	12	6.00	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-12.53	1.12	0.34	4.25	3.6	0.94
ORF6-Nt	geneid:5048;refseq:NP_000421;uniprot:P43034	PAFAH1B1	10|8	18	9.00	2	0|0|2|0|0|0|0|0|2|3|0|3	0.81	0.96	0.81	0.96	0.81	0.71	3.38	0.01	8.17	12.26	0.88
ORF6-Nt	geneid:5189;refseq:NP_000457;uniprot:O43933	PEX1	2|2	4	2.00	2	6|2|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-7.14	0.75	0.29	1.33	0.64	1.03
ORF6-Nt	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	16|10	26	13.00	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-11.94	1.77	0.27	11.17	12.74	2.36
ORF6-Nt	geneid:2936;refseq:NP_000628;uniprot:P00390	GSR	5|5	10	5.00	2	4|2|4|3|2|0|0|0|4|3|0|0	0.00	0.00	0.00	0.00	0.00	-7.80	1.25	0.30	3.17	3.73	0.54
ORF6-Nt	geneid:6133;refseq:NP_000652;uniprot:P32969	RPL9	3|0	3	1.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	0.99	0.50	0.99	0.50	-1.22	15.00	0.07	1.5	4.8	0.41
ORF6-Nt	geneid:128;refseq:NP_000662;uniprot:P11766	ADH5	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	1.64	0.64
ORF6-Nt	geneid:211;refseq:NP_000679;uniprot:P13196	ALAS1	8|5	13	6.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.41	65.00	0.00	6.5	6.25	3.52
ORF6-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	35|39	74	37.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-279.66	0.42	0.62	0	0	0
ORF6-Nt	geneid:2558;refseq:NP_000801;uniprot:P31644	GABRA5	3|0	3	1.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	0.99	0.50	0.99	0.50	-1.43	15.00	0.07	1.5	2	0.76
ORF6-Nt	geneid:2950;refseq:NP_000843;uniprot:P09211	GSTP1	2|0	2	1.00	2	0|0|2|2|2|0|0|0|0|0|0|0	0.00	0.01	0.00	0.01	0.00	-8.65	0.50	0.26	0.5	1.46	1.08
ORF6-Nt	geneid:3482;refseq:NP_000867;uniprot:P11717	IGF2R	20|11	31	15.50	2	6|6|2|0|0|0|0|0|4|2|0|0	0.51	1.00	0.51	1.00	0.51	-4.13	2.91	0.03	13.83	3.41	0.48
ORF6-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	10|6	16	8.00	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-19.36	1.04	0.40	3.5	7.86	0.59
ORF6-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	602|552	1154	577.00	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.60	0.62	0	0	0
ORF6-Nt	geneid:5430;refseq:NP_000928;uniprot:P24928	POLR2A	4|0	4	2.00	2	3|2|6|10|7|0|0|0|4|4|5|3	0.00	0.00	0.00	0.00	0.00	-33.30	0.26	0.48	0	0	0
ORF6-Nt	geneid:5447;refseq:NP_000932;uniprot:P16435	POR	6|8	14	7.00	2	0|0|0|0|3|0|0|0|0|0|0|0	0.89	0.93	0.89	0.93	0.89	1.71	7.00	0.01	6.75	6.1	0.5
ORF6-Nt	geneid:5479;refseq:NP_000933;uniprot:P23284	PPIB	3|2	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.23	25.00	0.00	2.5	7.12	0.66
ORF6-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	5|5	10	5.00	2	0|0|4|5|4|0|6|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-10.72	1.00	0.36	2.83	4.08	0.9
ORF6-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	35|21	56	28.00	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-55.64	1.15	0.53	16.67	34.52	0.72
ORF6-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	21|22	43	21.50	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-30.93	1.24	0.51	10.42	22.25	0.58
ORF6-Nt	geneid:6129;refseq:NP_000962;uniprot:P18124	RPL7	8|7	15	7.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.92	0.93	0.94	0.95	0.94	2.48	7.50	0.01	7.25	17.98	1.1
ORF6-Nt	geneid:6130;refseq:NP_000963;uniprot:P62424	RPL7A	8|6	14	7.00	2	0|0|3|0|0|0|3|0|0|0|0|0	0.71	0.89	0.80	0.93	0.80	0.70	3.50	0.01	6.5	15.03	0.76
ORF6-Nt	geneid:6132;refseq:NP_000964;uniprot:P62917	RPL8	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.26	10.00	0.10	1	2.39	0.34
ORF6-Nt	geneid:6135;refseq:NP_000966;uniprot:P62913	RPL11	2|0	2	1.00	2	0|0|0|0|0|0|3|0|0|0|0|0	0.13	0.26	0.14	0.27	0.14	-3.91	1.00	0.19	0.75	2.59	0.57
ORF6-Nt	geneid:9349;refseq:NP_000969;uniprot:P62829	RPL23	4|4	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.97	40.00	0.00	4	17.57	1.32
ORF6-Nt	geneid:6142;refseq:NP_000971;uniprot:Q02543	RPL18A	6|4	10	5.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.09	50.00	0.00	5	17.47	0.82
ORF6-Nt	geneid:6146;refseq:NP_000974;uniprot:P35268	RPL22	2|2	4	2.00	2	0|0|0|0|0|0|2|0|0|0|0|0	0.45	0.45	0.50	0.50	0.50	-0.01	3.00	0.16	1.83	8.79	1.3
ORF6-Nt	geneid:6154;refseq:NP_000978;uniprot:P61254	RPL26	9|4	13	6.50	2	2|0|0|0|0|0|3|0|2|0|0|0	0.49	0.95	0.50	0.96	0.50	-3.19	2.79	0.10	5.92	25.11	0.87
ORF6-Nt	geneid:6155;refseq:NP_000979;uniprot:P61353	RPL27	6|5	11	5.50	2	0|2|0|0|0|0|0|0|3|2|0|0	0.22	0.33	0.26	0.38	0.26	-1.80	2.36	0.19	4.92	22.25	0.95
ORF6-Nt	geneid:6156;refseq:NP_000980;uniprot:P62888	RPL30	4|3	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.11	35.00	0.00	3.5	18.72	1.05
ORF6-Nt	geneid:6157;refseq:NP_000981;uniprot:P46776	RPL27A	4|4	8	4.00	2	0|0|0|0|0|0|2|0|2|0|0|0	0.54	0.54	0.60	0.60	0.60	0.39	3.00	0.03	3.67	15.25	0.89
ORF6-Nt	geneid:6158;refseq:NP_000982;uniprot:P46779	RPL28	5|2	7	3.50	2	0|0|0|0|0|0|0|0|8|6|0|0	0.00	0.00	0.00	0.00	0.00	-14.54	0.75	0.34	2.33	10.46	0.35
ORF6-Nt	geneid:6164;refseq:NP_000986;uniprot:P49207	RPL34	4|0	4	2.00	2	0|3|0|0|0|0|5|0|3|0|0|3	0.00	0.00	0.00	0.00	0.00	-15.53	0.55	0.31	0.83	4.36	0.35
ORF6-Nt	geneid:6175;refseq:NP_000993;uniprot:P05388	RPLP0	7|3	10	5.00	2	7|8|13|9|11|0|0|0|7|4|7|8	0.00	0.00	0.00	0.00	0.00	-38.23	0.45	0.52	0	0	0
ORF6-Nt	geneid:6181;refseq:NP_000995;uniprot:P05387	RPLP2	2|0	2	1.00	2	4|2|10|8|3|0|0|0|4|4|0|2	0.00	0.00	0.00	0.00	0.00	-31.79	0.14	0.62	0	0	0
ORF6-Nt	geneid:6191;refseq:NP_000998;uniprot:P62701	RPS4X	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.32	10.00	0.10	1	2.34	0.62
ORF6-Nt	geneid:6194;refseq:NP_001001;uniprot:P62753	RPS6	7|3	10	5.00	2	0|0|0|0|0|0|2|0|0|0|0|0	0.82	0.97	0.87	0.98	0.87	1.16	7.50	0.01	4.83	11.93	1.15
ORF6-Nt	geneid:509;refseq:NP_001001973;uniprot:P36542	ATP5F1C	3|3	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	5.21	30.00	0.00	3	6.19	4.46
ORF6-Nt	geneid:5394;refseq:NP_001001998;uniprot:Q01780	EXOSC10	2|2	4	2.00	2	3|3|54|53|61|0|0|0|66|65|53|57	0.00	0.00	0.00	0.00	0.00	-275.50	0.03	0.62	0	0	0
ORF6-Nt	geneid:6201;refseq:NP_001002;uniprot:P62081	RPS7	6|3	9	4.50	2	0|0|2|0|2|0|0|0|0|0|0|0	0.58	0.96	0.59	0.97	0.59	-1.26	3.38	0.02	4.17	13.22	1.11
ORF6-Nt	geneid:253558;refseq:NP_001002257;uniprot:Q6UWP7	LCLAT1	3|2	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.00	0.00	2.5	4.09	0.65
ORF6-Nt	geneid:302;refseq:NP_001002857;uniprot:P07355	ANXA2	30|37	67	33.50	2	74|88|75|62|60|0|7|0|89|75|69|82	0.00	0.00	0.00	0.00	0.00	-284.72	0.39	0.62	0	0	0
ORF6-Nt	geneid:6202;refseq:NP_001003;uniprot:P62241	RPS8	11|10	21	10.50	2	3|5|0|0|0|0|7|2|8|7|5|4	0.00	0.00	0.00	0.00	0.00	-11.74	1.43	0.36	7.08	20.93	0.81
ORF6-Nt	geneid:114882;refseq:NP_001003712;uniprot:Q9BZF1	OSBPL8	4|3	7	3.50	2	0|0|3|0|0|0|0|0|0|0|0|0	0.59	0.68	0.59	0.68	0.59	0.02	3.50	0.02	3.25	2.36	0.5
ORF6-Nt	geneid:6604;refseq:NP_001003801;uniprot:Q6STE5	SMARCD3	2|0	2	1.00	2	3|3|26|24|25|0|0|0|28|22|25|26	0.00	0.00	0.00	0.00	0.00	-118.39	0.04	0.62	0	0	0
ORF6-Nt	geneid:445372;refseq:NP_001003819;uniprot:-	TRIM6-TRIM34	4|0	4	2.00	2	2|4|5|2|3|0|0|0|0|5|5|0	0.00	0.00	0.00	0.00	0.00	-21.72	0.40	0.39	0	0	0
ORF6-Nt	geneid:51586;refseq:NP_001003891;uniprot:Q96RN5	MED15	8|8	16	8.00	2	5|8|10|12|10|0|0|0|20|17|19|19	0.00	0.00	0.00	0.00	0.00	-61.07	0.41	0.62	0	0	0
ORF6-Nt	geneid:6203;refseq:NP_001004;uniprot:P46781	RPS9	6|2	8	4.00	2	0|0|0|0|0|0|2|0|0|0|0|0	0.70	0.95	0.72	0.96	0.72	-0.04	6.00	0.01	3.83	12.14	0.98
ORF6-Nt	geneid:4591;refseq:NP_001005207;uniprot:O94972	TRIM37	3|0	3	1.50	2	2|0|0|0|0|0|0|0|0|0|0|0	0.33	0.67	0.34	0.68	0.34	-3.46	2.25	0.17	1.33	0.85	1.32
ORF6-Nt	geneid:8650;refseq:NP_001005743;uniprot:P49757	NUMB	14|10	24	12.00	2	9|8|8|5|8|0|0|0|9|6|3|4	0.00	0.00	0.00	0.00	0.00	-16.96	1.38	0.37	7	6.61	1.74
ORF6-Nt	geneid:6205;refseq:NP_001006;uniprot:P62280	RPS11	7|4	11	5.50	2	0|0|0|0|0|0|4|0|0|4|0|0	0.15	0.29	0.18	0.35	0.18	-4.03	2.06	0.19	4.83	18.8	0.68
ORF6-Nt	geneid:57489;refseq:NP_001007023;uniprot:Q9ULJ1	ODF2L	3|4	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	4.97	35.00	0.00	3.5	3.38	91
ORF6-Nt	geneid:27101;refseq:NP_001007215;uniprot:Q9HB71	CACYBP	9|7	16	8.00	2	0|3|7|4|4|0|0|0|2|2|0|0	0.00	0.00	0.00	0.00	0.00	-8.29	1.60	0.27	6.17	20.51	1.5
ORF6-Nt	geneid:7812;refseq:NP_001007554;uniprot:O75534	CSDE1	3|0	3	1.50	2	27|21|24|23|24|0|0|0|23|20|19|20	0.00	0.00	0.00	0.00	0.00	-110.75	0.06	0.62	0	0	0
ORF6-Nt	geneid:10342;refseq:NP_001007566;uniprot:Q92734	TFG	7|5	12	6.00	2	3|3|6|4|3|0|0|0|2|3|6|4	0.00	0.00	0.00	0.00	0.00	-12.49	1.12	0.34	3.17	4.87	3.66
ORF6-Nt	geneid:9184;refseq:NP_001007794;uniprot:O43684	BUB3	2|4	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.19	30.00	0.00	3	5.66	0.83
ORF6-Nt	geneid:10814;refseq:NP_001008221;uniprot:Q6PUV4	CPLX2	13|14	27	13.50	2	17|12|12|7|8|0|0|0|13|14|15|17	0.00	0.00	0.00	0.00	0.00	-39.91	0.83	0.54	3.92	17.99	0.75
ORF6-Nt	geneid:493856;refseq:NP_001008389;uniprot:Q8N5K1	CISD2	11|11	22	11.00	2	5|4|4|4|3|0|0|0|4|3|4|4	0.30	0.30	0.30	0.30	0.30	-0.84	2.54	0.17	8.08	36.81	0.77
ORF6-Nt	geneid:9818;refseq:NP_001008564;uniprot:Q9BVL2	NUP58	24|21	45	22.50	2	2|2|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	37.86	16.88	0.00	22.17	23.23	Infinity
ORF6-Nt	geneid:1832;refseq:NP_004406;uniprot:P15924	DSP	4|61	65	32.50	2	23|19|8|8|103|0|21|3|10|9|13|16	0.00	0.00	0.00	0.00	0.00	-198.61	0.66	0.59	13.08	2.8	1.85
ORF6-Nt	geneid:8451;refseq:NP_001008895;uniprot:Q13619	CUL4A	3|0	3	1.50	2	0|0|7|5|6|0|0|0|7|0|0|0	0.00	0.00	0.00	0.00	0.00	-28.99	0.22	0.47	0	0	0
ORF6-Nt	geneid:9793;refseq:NP_001008938;uniprot:Q14008	CKAP5	10|10	20	10.00	2	36|37|20|25|26|0|0|0|29|24|26|27	0.00	0.00	0.00	0.00	0.00	-116.90	0.29	0.62	0	0	0
ORF6-Nt	geneid:10574;refseq:NP_001159756;uniprot:Q99832	CCT7	5|3	8	4.00	2	0|0|3|4|3|0|0|0|4|6|0|0	0.00	0.00	0.00	0.00	0.00	-13.04	0.86	0.35	2.33	3.14	1.77
