Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
ORF7A-Nt	geneid:226;refseq:NP_000025;uniprot:P04075	ALDOA	5|6	11	5.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.81	0.85	0.81	0.85	0.81	1.23	5.50	0.01	5.25	8.03	1.21
ORF7A-Nt	geneid:415;refseq:NP_000038;uniprot:P51690	ARSL	3|3	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.99	0.99	0.99	0.99	0.99	4.96	30.00	0.00	3	2.84	1.02
ORF7A-Nt	geneid:538;refseq:NP_000043;uniprot:Q04656	ATP7A	3|0	3	1.50	2	0|0|0|0|2|0|0|0|0|0|0|0	0.33	0.67	0.33	0.66	0.33	-3.57	2.25	0.17	1.33	0.49	0.23
ORF7A-Nt	geneid:1535;refseq:NP_000092;uniprot:P13498	CYBA	2|2	4	2.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.14	20.00	0.00	2	5.71	1.86
ORF7A-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	5|4	9	4.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.01	0.02	0.01	0.02	0.01	-5.32	1.50	0.24	3.75	4.1	0.59
ORF7A-Nt	geneid:1836;refseq:NP_000103;uniprot:P50443	SLC26A2	5|0	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.40	25.00	0.05	2.5	1.88	1.57
ORF7A-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	59|63	122	61.00	2	7|9|13|7|8|0|0|0|6|7|8|14	1.00	1.00	1.00	1.00	1.00	31.72	5.08	0.00	54.42	119.34	3.88
ORF7A-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	12|16	28	14.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.44	140.00	0.00	14	17.14	2.21
ORF7A-Nt	geneid:2697;refseq:NP_000156;uniprot:P17302	GJA1	13|13	26	13.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	20.88	130.00	0.00	13	18.96	5.78
ORF7A-Nt	geneid:3655;refseq:NP_000201;uniprot:P23229	ITGA6	14|11	25	12.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	17.86	125.00	0.00	12.5	6.49	6.07
ORF7A-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	3|2	5	2.50	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-55.71	0.17	0.62	0	0	0
ORF7A-Nt	geneid:4860;refseq:NP_000261;uniprot:P00491	PNP	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	1.93	0.78
