Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF8-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	225|222	447	223.50	2	13|9|861|877	0.00	0.00	0.00	0.00	0.00	-inf	0.26	0.55
ORF8-A549-Nt	P51587	BRCA2	69|66	135	67.50	2	0|0|37|31	0.00	0.00	0.00	0.00	0.00	-26.82	1.99	0.42
ORF8-A549-Nt	P09622	DLD	7|6	13	6.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.45	65.00	0.00
ORF8-A549-Nt	P50402	EMD	36|27	63	31.50	2	0|0|6|7	1.00	1.00	1.00	1.00	1.00	11.90	4.85	0.00
ORF8-A549-Nt	P07099	EPHX1	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-0.92	10.00	0.11
ORF8-A549-Nt	Q04446	GBE1	4|2	6	3.00	2	0|0|6|4	0.00	0.00	0.00	0.00	0.00	-15.95	0.60	0.36
ORF8-A549-Nt	P23229	ITGA6	16|12	28	14.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.74	140.00	0.00
ORF8-A549-Nt	Q99707	MTR	17|14	31	15.50	2	0|0|10|9	0.00	0.00	0.00	0.00	0.00	-13.91	1.63	0.33
ORF8-A549-Nt	Q01968	OCRL	11|14	25	12.50	2	0|0|22|24	0.00	0.00	0.00	0.00	0.00	-68.89	0.54	0.50
ORF8-A549-Nt	Q13428	TCOF1	8|9	17	8.50	2	0|0|26|34	0.00	0.00	0.00	0.00	0.00	-105.16	0.28	0.55
ORF8-A549-Nt	P60174	TPI1	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
ORF8-A549-Nt	P51648	ALDH3A2	15|16	31	15.50	2	0|0|4|2	1.00	1.00	1.00	1.00	1.00	7.94	5.17	0.00
ORF8-A549-Nt	P11413	G6PD	90|101	191	95.50	2	2|0|148|145	0.00	0.00	0.00	0.00	0.00	-398.12	0.65	0.55
ORF8-A549-Nt	P50747	HLCS	8|8	16	8.00	2	7|6|3|0	0.00	0.00	0.00	0.00	0.00	-11.92	1.23	0.34
ORF8-A549-Nt	P05166	PCCB	6|7	13	6.50	2	8|12|0|0	0.00	0.00	0.00	0.00	0.00	-27.78	0.65	0.44
ORF8-A549-Nt	P00390	GSR	6|5	11	5.50	2	0|0|4|3	0.01	0.01	0.01	0.01	0.01	-5.71	1.57	0.25
ORF8-A549-Nt	P30838	ALDH3A1	18|15	33	16.50	2	0|0|16|16	0.00	0.00	0.00	0.00	0.00	-35.24	1.03	0.45
