bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
E_Ct	GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	4.7739034568879484e-49	461	400	121	7292	0.3025	0.26247288503253796	['ABHD12', 'ACSL3', 'ALDH3A2', 'ALG1', 'AMFR', 'ANKLE2', 'ATF6', 'ATL1', 'ATP13A1', 'ATP2A2', 'AUP1', 'BNIP1', 'CCDC115', 'CDC42', 'CDKAL1', 'CERS2', 'CISD2', 'COPB2', 'CYP1B1', 'CYP4F11', 'CYP51A1', 'DDOST', 'DDRGK1', 'DEGS1', 'DHCR7', 'DHRS3', 'DNAJB12', 'DNAJB14', 'EIF2AK3', 'EMC7', 'EMC8', 'EMD', 'EPHX1', 'ERGIC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAF2', 'GORASP2', 'GPAT3', 'GPAT4', 'GRAMD1A', 'GRAMD1B', 'HACD3', 'HM13', 'HMOX2', 'HSD17B12', 'ILVBL', 'ITPR3', 'ITPRIP', 'KTN1', 'LBR', 'LCLAT1', 'LNPK', 'LPCAT4', 'LPGAT1', 'MACO1', 'MAGT1', 'MBOAT7', 'MGST3', 'MPDU1', 'MYRF', 'NPLOC4', 'NSDHL', 'ORMDL2', 'PIGO', 'PIGU', 'PLD3', 'PNPLA8', 'POR', 'PREB', 'PTPN1', 'RAB14', 'RAB1B', 'RDH11', 'RETSAT', 'RFT1', 'RHBDD2', 'RHBDF2', 'RPL27', 'RPN1', 'RPN2', 'RRBP1', 'RTN4', 'SAR1B', 'SARAF', 'SCD', 'SEC22B', 'SEC63', 'SGPL1', 'SLC27A4', 'SLC33A1', 'SMPD4', 'SOAT1', 'SPTLC1', 'SREBF1', 'SREBF2', 'SRPRA', 'SRPRB', 'STIM1', 'STT3A', 'STT3B', 'STX18', 'STX5', 'TBL2', 'TECR', 'TEX264', 'TMCO1', 'TMEM159', 'TMEM33', 'TMX1', 'TRAM1', 'TRIM13', 'UBA52', 'UBXN8', 'VAPA', 'VAPB', 'VRK2', 'YIF1B', 'ZMPSTE24']
E_Ct	GO:CC	GO:0005789	endoplasmic reticulum membrane	1.5428955871343932e-47	450	400	118	7292	0.295	0.26222222222222225	['ABHD12', 'ACSL3', 'ALDH3A2', 'ALG1', 'AMFR', 'ANKLE2', 'ATF6', 'ATL1', 'ATP13A1', 'ATP2A2', 'AUP1', 'BNIP1', 'CCDC115', 'CDC42', 'CDKAL1', 'CERS2', 'CISD2', 'COPB2', 'CYP1B1', 'CYP4F11', 'CYP51A1', 'DDOST', 'DDRGK1', 'DEGS1', 'DHCR7', 'DHRS3', 'DNAJB12', 'DNAJB14', 'EIF2AK3', 'EMC7', 'EMC8', 'EPHX1', 'ERGIC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAF2', 'GORASP2', 'GPAT3', 'GPAT4', 'GRAMD1A', 'GRAMD1B', 'HACD3', 'HM13', 'HMOX2', 'HSD17B12', 'ILVBL', 'ITPR3', 'KTN1', 'LBR', 'LCLAT1', 'LNPK', 'LPCAT4', 'LPGAT1', 'MACO1', 'MAGT1', 'MBOAT7', 'MGST3', 'MPDU1', 'MYRF', 'NPLOC4', 'NSDHL', 'ORMDL2', 'PIGO', 'PIGU', 'PLD3', 'PNPLA8', 'POR', 'PREB', 'PTPN1', 'RAB1B', 'RDH11', 'RETSAT', 'RFT1', 'RHBDD2', 'RHBDF2', 'RPL27', 'RPN1', 'RPN2', 'RRBP1', 'RTN4', 'SAR1B', 'SARAF', 'SCD', 'SEC22B', 'SEC63', 'SGPL1', 'SLC27A4', 'SLC33A1', 'SMPD4', 'SOAT1', 'SPTLC1', 'SREBF1', 'SREBF2', 'SRPRA', 'SRPRB', 'STIM1', 'STT3A', 'STT3B', 'STX18', 'STX5', 'TBL2', 'TECR', 'TEX264', 'TMCO1', 'TMEM159', 'TMEM33', 'TMX1', 'TRAM1', 'TRIM13', 'UBA52', 'UBXN8', 'VAPA', 'VAPB', 'VRK2', 'YIF1B', 'ZMPSTE24']
E_Ct	GO:CC	GO:0016020	membrane	1.8760105532212643e-44	3184	400	315	7292	0.7875	0.0989321608040201	['AAAS', 'ABCC1', 'ABCC2', 'ABCC3', 'ABCC4', 'ABCG2', 'ABHD12', 'ABHD2', 'ACADVL', 'ACBD3', 'ACBD5', 'ACSL3', 'ADAM17', 'ADAM9', 'ADCY3', 'ADGRG6', 'ALDH3A2', 'ALDOA', 'ALG1', 'AMFR', 'AMIGO2', 'ANKLE2', 'ANO10', 'ANO6', 'AP2M1', 'APP', 'ARF1', 'ARF4', 'ARF6', 'ARHGAP1', 'ARL1', 'ARL6IP5', 'ATF6', 'ATL1', 'ATP13A1', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'ATP5F1A', 'ATP5F1C', 'ATP6AP1', 'ATRN', 'AUP1', 'BET1', 'BNIP1', 'CAMLG', 'CCDC115', 'CCDC47', 'CDC42', 'CDKAL1', 'CEMIP2', 'CERS2', 'CHP1', 'CISD2', 'CKAP4', 'CLCC1', 'CLPTM1', 'CLPX', 'CLTC', 'COMT', 'COPB2', 'COX5B', 'CPD', 'CYB5A', 'CYB5B', 'CYP1B1', 'CYP4F11', 'CYP51A1', 'DARS1', 'DDOST', 'DDRGK1', 'DDX21', 'DEGS1', 'DGKE', 'DHCR7', 'DHRS3', 'DHRS7', 'DNAJB12', 'DNAJB14', 'DNAJB4', 'DNAJC1', 'DNAJC7', 'EIF2AK3', 'EIF2S1', 'EMC7', 'EMC8', 'EMD', 'EPHA2', 'EPHX1', 'ERGIC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAF2', 'FAT1', 'FKBP8', 'FNDC3A', 'FSCN1', 'GBF1', 'GLG1', 'GOPC', 'GORASP2', 'GOSR1', 'GPAT3', 'GPAT4', 'GPR89A', 'GRAMD1A', 'GRAMD1B', 'HACD3', 'HADHA', 'HM13', 'HMOX2', 'HSD17B12', 'HSPA1A', 'HSPA6', 'HSPA8', 'HSPA9', 'HSPD1', 'IGF2R', 'ILVBL', 'ITGB1', 'ITGB5', 'ITPR3', 'ITPRIP', 'KCNN4', 'KIAA0319L', 'KTN1', 'LBR', 'LCLAT1', 'LEMD3', 'LGR4', 'LMNB1', 'LNPK', 'LPCAT4', 'LPGAT1', 'LRP10', 'LRP5', 'LRP6', 'LRPPRC', 'LRRC59', 'LRRC8D', 'LSG1', 'MACO1', 'MAGT1', 'MBOAT7', 'MCM5', 'MGST3', 'MOSPD2', 'MPDU1', 'MRPS17', 'MRPS24', 'MRPS28', 'MRPS35', 'MRPS5', 'MTHFD1L', 'MYADM', 'MYRF', 'NDC1', 'NDUFA10', 'NDUFA9', 'NDUFAF4', 'NDUFS1', 'NDUFS2', 'NDUFV2', 'NDUFV3', 'NME4', 'NNT', 'NPC1', 'NPLOC4', 'NPTN', 'NSDHL', 'NUP155', 'NUP35', 'ORMDL2', 'OSBPL8', 'OSMR', 'OXA1L', 'PARP16', 'PCDHA12', 'PCDHA4', 'PCDHAC2', 'PCDHB2', 'PCDHB3', 'PGRMC2', 'PHB2', 'PIGO', 'PIGU', 'PKMYT1', 'PLD3', 'PNPLA8', 'POR', 'PREB', 'PRR11', 'PSMC1', 'PSMD1', 'PTPN1', 'PTPN2', 'RAB11A', 'RAB14', 'RAB1B', 'RAB21', 'RAB27B', 'RAB2A', 'RAB35', 'RAB7A', 'RAB8B', 'RCC2', 'RDH11', 'RETREG2', 'RETSAT', 'RFT1', 'RHBDD2', 'RHBDF2', 'RIC1', 'RNF149', 'RPL13', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL36AL', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPN1', 'RPN2', 'RPS24', 'RPS3', 'RPS6', 'RRBP1', 'RTN4', 'SAR1A', 'SAR1B', 'SARAF', 'SCAMP1', 'SCAMP2', 'SCARB1', 'SCD', 'SCFD1', 'SDHA', 'SEC22B', 'SEC63', 'SEMA4C', 'SGPL1', 'SHMT2', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC25A4', 'SLC27A4', 'SLC33A1', 'SLC35A2', 'SLC39A10', 'SLC4A2', 'SLC6A6', 'SMPD4', 'SNAP47', 'SOAT1', 'SPINT2', 'SPTLC1', 'SRC', 'SREBF1', 'SREBF2', 'SRPRA', 'SRPRB', 'STBD1', 'STIM1', 'STOM', 'STT3A', 'STT3B', 'STX18', 'STX5', 'SUCO', 'SUN1', 'SYNE2', 'TBL2', 'TECR', 'TEX2', 'TEX264', 'TIMM44', 'TM9SF4', 'TMCO1', 'TMEM131', 'TMEM131L', 'TMEM159', 'TMEM201', 'TMEM33', 'TMX1', 'TOR1AIP1', 'TRAM1', 'TRAP1', 'TRIM13', 'TRIP11', 'TRPM4', 'TRPM7', 'UBA52', 'UBXN8', 'UPK3BL1', 'VAPA', 'VAPB', 'VRK2', 'WDR1', 'WWOX', 'YES1', 'YIF1B', 'YKT6', 'YME1L1', 'ZDHHC13', 'ZDHHC3', 'ZMPSTE24']
E_Ct	GO:CC	GO:0031090	organelle membrane	1.7486757974249259e-43	1528	400	212	7292	0.53	0.1387434554973822	['AAAS', 'ABCC4', 'ABHD12', 'ACADVL', 'ACBD3', 'ACBD5', 'ACSL3', 'ALDH3A2', 'ALG1', 'AMFR', 'ANKLE2', 'ANO6', 'AP2M1', 'APP', 'ARF1', 'ARF6', 'ARHGAP1', 'ARL1', 'ATF6', 'ATL1', 'ATP13A1', 'ATP1A1', 'ATP2A2', 'ATP5F1A', 'ATP5F1C', 'ATP6AP1', 'AUP1', 'BET1', 'BNIP1', 'CCDC115', 'CDC42', 'CDKAL1', 'CERS2', 'CHP1', 'CISD2', 'CKAP4', 'CLPX', 'CLTC', 'COPB2', 'COX5B', 'CYB5A', 'CYB5B', 'CYP1B1', 'CYP4F11', 'CYP51A1', 'DDOST', 'DDRGK1', 'DEGS1', 'DHCR7', 'DHRS3', 'DNAJB12', 'DNAJB14', 'EIF2AK3', 'EMC7', 'EMC8', 'EMD', 'EPHX1', 'ERGIC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAF2', 'GBF1', 'GLG1', 'GOPC', 'GORASP2', 'GOSR1', 'GPAT3', 'GPAT4', 'GPR89A', 'GRAMD1A', 'GRAMD1B', 'HACD3', 'HADHA', 'HM13', 'HMOX2', 'HSD17B12', 'HSPA8', 'HSPA9', 'HSPD1', 'IGF2R', 'ILVBL', 'ITPR3', 'ITPRIP', 'KTN1', 'LBR', 'LCLAT1', 'LEMD3', 'LMNB1', 'LNPK', 'LPCAT4', 'LPGAT1', 'LRP6', 'MACO1', 'MAGT1', 'MBOAT7', 'MGST3', 'MOSPD2', 'MPDU1', 'MRPS17', 'MRPS24', 'MRPS28', 'MRPS35', 'MRPS5', 'MYRF', 'NDC1', 'NDUFA10', 'NDUFA9', 'NDUFAF4', 'NDUFS1', 'NDUFS2', 'NDUFV2', 'NDUFV3', 'NME4', 'NNT', 'NPC1', 'NPLOC4', 'NSDHL', 'NUP155', 'NUP35', 'ORMDL2', 'OXA1L', 'PHB2', 'PIGO', 'PIGU', 'PLD3', 'PNPLA8', 'POR', 'PREB', 'PTPN1', 'RAB11A', 'RAB14', 'RAB1B', 'RAB21', 'RAB27B', 'RAB2A', 'RAB35', 'RAB7A', 'RAB8B', 'RDH11', 'RETSAT', 'RFT1', 'RHBDD2', 'RHBDF2', 'RIC1', 'RPL27', 'RPN1', 'RPN2', 'RPS3', 'RRBP1', 'RTN4', 'SAR1A', 'SAR1B', 'SARAF', 'SCAMP1', 'SCAMP2', 'SCARB1', 'SCD', 'SDHA', 'SEC22B', 'SEC63', 'SEMA4C', 'SGPL1', 'SHMT2', 'SLC12A2', 'SLC12A4', 'SLC25A4', 'SLC27A4', 'SLC33A1', 'SLC35A2', 'SMPD4', 'SOAT1', 'SPTLC1', 'SRC', 'SREBF1', 'SREBF2', 'SRPRA', 'SRPRB', 'STBD1', 'STIM1', 'STOM', 'STT3A', 'STT3B', 'STX18', 'STX5', 'SUN1', 'SYNE2', 'TBL2', 'TECR', 'TEX264', 'TIMM44', 'TMCO1', 'TMEM159', 'TMEM201', 'TMEM33', 'TMX1', 'TOR1AIP1', 'TRAM1', 'TRAP1', 'TRIM13', 'TRIP11', 'UBA52', 'UBXN8', 'VAPA', 'VAPB', 'VRK2', 'YIF1B', 'YKT6', 'YME1L1', 'ZDHHC13', 'ZMPSTE24']
E_Ct	GO:CC	GO:0012505	endomembrane system	5.298062194792458e-37	1926	400	230	7292	0.575	0.11941848390446522	['AAAS', 'ABCC4', 'ABHD12', 'ACBD3', 'ACSL3', 'ADCY3', 'ALDH3A2', 'ALDOA', 'ALG1', 'AMFR', 'ANKLE2', 'ANO6', 'AP2M1', 'APP', 'ARF1', 'ARF6', 'ARHGAP1', 'ARL1', 'ARSL', 'ATF6', 'ATL1', 'ATP13A1', 'ATP1A1', 'ATP2A2', 'ATP6AP1', 'AUP1', 'BET1', 'BNIP1', 'C1orf43', 'CAMLG', 'CCDC115', 'CCDC47', 'CDC42', 'CDKAL1', 'CERS2', 'CES1', 'CHP1', 'CISD2', 'CKAP4', 'CLCC1', 'CLTC', 'COPB2', 'CYP1B1', 'CYP4F11', 'CYP51A1', 'DDOST', 'DDRGK1', 'DEGS1', 'DHCR7', 'DHRS3', 'DNAJB12', 'DNAJB14', 'DNAJC1', 'EIF2AK3', 'EMC7', 'EMC8', 'EMD', 'EPHX1', 'ERGIC1', 'ERLEC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAF2', 'FKBP8', 'FNDC3A', 'GBF1', 'GLG1', 'GOPC', 'GORASP2', 'GOSR1', 'GPAT3', 'GPAT4', 'GPR89A', 'GRAMD1A', 'GRAMD1B', 'HACD3', 'HM13', 'HMOX2', 'HSD17B12', 'HSPA1A', 'HSPA6', 'HSPA8', 'HSPD1', 'IGF2R', 'ILVBL', 'ITPR3', 'ITPRIP', 'KIAA0319L', 'KTN1', 'LBR', 'LCLAT1', 'LEMD3', 'LMNB1', 'LNPK', 'LPCAT4', 'LPGAT1', 'LRP6', 'LRRC59', 'LSG1', 'MACO1', 'MAGT1', 'MBOAT7', 'MGST3', 'MOSPD2', 'MPDU1', 'MYRF', 'NDC1', 'NPC1', 'NPLOC4', 'NSDHL', 'NUP155', 'NUP35', 'ORMDL2', 'PAFAH1B1', 'PARP16', 'PDXDC1', 'PGRMC2', 'PIGO', 'PIGU', 'PKMYT1', 'PLD3', 'PNPLA8', 'POR', 'PRDX3', 'PREB', 'PSMD1', 'PTPN1', 'PTPN2', 'RAB11A', 'RAB14', 'RAB1B', 'RAB21', 'RAB27B', 'RAB29', 'RAB2A', 'RAB35', 'RAB7A', 'RAB8B', 'RABL3', 'RDH11', 'REEP4', 'REEP5', 'RETSAT', 'RFT1', 'RHBDD2', 'RHBDF2', 'RIC1', 'RPL13', 'RPL27', 'RPL27A', 'RPL36AL', 'RPN1', 'RPN2', 'RPS3', 'RPS6', 'RRBP1', 'RTN4', 'SAR1A', 'SAR1B', 'SARAF', 'SCAMP1', 'SCAMP2', 'SCD', 'SCFD1', 'SEC22B', 'SEC63', 'SEMA4C', 'SGPL1', 'SLC27A4', 'SLC33A1', 'SLC35A2', 'SMPD4', 'SNX14', 'SOAT1', 'SPTLC1', 'SRC', 'SREBF1', 'SREBF2', 'SRPRA', 'SRPRB', 'STBD1', 'STIM1', 'STOM', 'STT3A', 'STT3B', 'STX18', 'STX5', 'SUCO', 'SUN1', 'SYNE2', 'TBL2', 'TECR', 'TEX2', 'TEX264', 'TM9SF4', 'TMCO1', 'TMEM159', 'TMEM201', 'TMEM214', 'TMEM33', 'TMTC3', 'TMX1', 'TOR1AIP1', 'TOR1AIP2', 'TOR4A', 'TRAM1', 'TRIM13', 'TRIP11', 'TRPM4', 'UBA52', 'UBXN4', 'UBXN8', 'USP32', 'USP33', 'UTP15', 'VAPA', 'VAPB', 'VRK2', 'WWOX', 'YES1', 'YIF1B', 'YIPF3', 'YIPF5', 'YKT6', 'ZDHHC13', 'ZDHHC3', 'ZDHHC7', 'ZMPSTE24']
E_Ct	GO:CC	GO:0005783	endoplasmic reticulum	7.538463687335063e-36	629	400	124	7292	0.31	0.1971383147853736	['ACSL3', 'ALG1', 'AMFR', 'ANKLE2', 'APP', 'ARSL', 'ATF6', 'ATL1', 'ATP1A1', 'ATP2A2', 'AUP1', 'BNIP1', 'CAMLG', 'CCDC115', 'CCDC47', 'CDKAL1', 'CERS2', 'CES1', 'CHP1', 'CISD2', 'CKAP4', 'CLCC1', 'CYP51A1', 'DDOST', 'DDRGK1', 'DEGS1', 'DHCR7', 'DNAJB12', 'DNAJB14', 'DNAJC1', 'EIF2AK3', 'EMD', 'ERGIC1', 'ERLEC1', 'ESYT1', 'FAF2', 'FKBP8', 'GPAT3', 'GPAT4', 'HACD3', 'HM13', 'HSPA1A', 'ITPR3', 'KTN1', 'LCLAT1', 'LNPK', 'LPCAT4', 'LPGAT1', 'LRRC59', 'LSG1', 'MACO1', 'MAGT1', 'MGST3', 'NPC1', 'NPLOC4', 'NSDHL', 'ORMDL2', 'PARP16', 'PDXDC1', 'PGRMC2', 'PIGU', 'PKMYT1', 'PREB', 'PTPN1', 'PTPN2', 'RAB14', 'REEP4', 'REEP5', 'RHBDD2', 'RPL13', 'RPL27', 'RPL27A', 'RPL36AL', 'RPN1', 'RPN2', 'RPS3', 'RPS6', 'RRBP1', 'RTN4', 'SAR1A', 'SAR1B', 'SARAF', 'SCD', 'SEC22B', 'SEC63', 'SGPL1', 'SLC35A2', 'SMPD4', 'SOAT1', 'SPTLC1', 'SREBF2', 'STBD1', 'STIM1', 'STOM', 'STT3A', 'STT3B', 'STX18', 'SUCO', 'SYNE2', 'TBL2', 'TECR', 'TEX2', 'TMCO1', 'TMEM214', 'TMEM33', 'TMTC3', 'TOR1AIP2', 'TOR4A', 'TRAM1', 'TRIM13', 'TRPM4', 'UBA52', 'UBXN4', 'UBXN8', 'UTP15', 'VAPA', 'VAPB', 'VRK2', 'YIF1B', 'YIPF5', 'YKT6', 'ZDHHC13', 'ZDHHC3', 'ZDHHC7']
E_Ct	GO:CC	GO:0031224	intrinsic component of membrane	5.053844838456707e-20	674	400	105	7292	0.2625	0.15578635014836795	['ABCC1', 'ABCC2', 'ABHD12', 'ADAM17', 'ADAM9', 'ADCY3', 'ADGRG6', 'AMFR', 'AMIGO2', 'ANKLE2', 'ANO6', 'APP', 'ATF6', 'ATL1', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'ATRN', 'AUP1', 'BNIP1', 'CEMIP2', 'CKAP4', 'CLPTM1', 'DEGS1', 'DHCR7', 'DNAJB12', 'EIF2AK3', 'EMC7', 'EMC8', 'EPHA2', 'ERGIC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAT1', 'GPAT4', 'GRAMD1A', 'HACD3', 'HM13', 'HSPA9', 'HSPD1', 'IGF2R', 'ITGB1', 'ITGB5', 'ITPR3', 'KCNN4', 'KTN1', 'LBR', 'LEMD3', 'LGR4', 'LNPK', 'LRRC8D', 'MAGT1', 'MOSPD2', 'NPC1', 'OSMR', 'OXA1L', 'PCDHA12', 'PCDHA4', 'PCDHAC2', 'PCDHB2', 'PCDHB3', 'PGRMC2', 'PIGU', 'PREB', 'RETREG2', 'RHBDD2', 'RRBP1', 'RTN4', 'SARAF', 'SCAMP1', 'SCAMP2', 'SCD', 'SEMA4C', 'SGPL1', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC25A4', 'SLC33A1', 'SLC35A2', 'SLC39A10', 'SLC6A6', 'SPINT2', 'SREBF2', 'STBD1', 'STIM1', 'STOM', 'STX5', 'SUN1', 'SYNE2', 'TBL2', 'TECR', 'TEX2', 'TMCO1', 'TMEM33', 'TRAM1', 'TRPM4', 'UBXN8', 'UPK3BL1', 'YIF1B', 'YKT6', 'ZMPSTE24']
E_Ct	GO:CC	GO:0016021	integral component of membrane	2.0694934040483231e-19	641	400	101	7292	0.2525	0.15756630265210608	['ABCC1', 'ABCC2', 'ABHD12', 'ADAM17', 'ADCY3', 'ADGRG6', 'AMFR', 'AMIGO2', 'ANKLE2', 'ANO6', 'APP', 'ATF6', 'ATL1', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'ATRN', 'AUP1', 'BNIP1', 'CEMIP2', 'CKAP4', 'CLPTM1', 'DEGS1', 'DHCR7', 'DNAJB12', 'EIF2AK3', 'EMC7', 'EMC8', 'EPHA2', 'ERGIC1', 'ESYT1', 'ESYT2', 'FADS1', 'FADS2', 'FAT1', 'GPAT4', 'HACD3', 'HM13', 'HSPA9', 'HSPD1', 'IGF2R', 'ITGB1', 'ITGB5', 'ITPR3', 'KCNN4', 'KTN1', 'LBR', 'LEMD3', 'LGR4', 'LNPK', 'LRRC8D', 'MAGT1', 'MOSPD2', 'NPC1', 'OSMR', 'OXA1L', 'PCDHA12', 'PCDHA4', 'PCDHAC2', 'PCDHB2', 'PCDHB3', 'PGRMC2', 'PIGU', 'PREB', 'RETREG2', 'RHBDD2', 'RRBP1', 'RTN4', 'SARAF', 'SCAMP1', 'SCAMP2', 'SCD', 'SEMA4C', 'SGPL1', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC25A4', 'SLC33A1', 'SLC35A2', 'SLC39A10', 'SLC6A6', 'SPINT2', 'SREBF2', 'STBD1', 'STIM1', 'STOM', 'STX5', 'TBL2', 'TECR', 'TEX2', 'TMCO1', 'TMEM33', 'TRAM1', 'TRPM4', 'UBXN8', 'UPK3BL1', 'YIF1B', 'YKT6', 'ZMPSTE24']
E_Ct	GO:CC	GO:0031227	intrinsic component of endoplasmic reticulum membrane	1.48364716826708e-13	104	400	34	7292	0.085	0.3269230769230769	['AMFR', 'ANKLE2', 'ATF6', 'AUP1', 'BNIP1', 'DHCR7', 'DNAJB12', 'EIF2AK3', 'EMC7', 'EMC8', 'ERGIC1', 'ESYT1', 'ESYT2', 'GRAMD1A', 'HACD3', 'HM13', 'LNPK', 'PIGU', 'PREB', 'RHBDD2', 'RRBP1', 'RTN4', 'SARAF', 'SCD', 'SGPL1', 'SREBF2', 'STIM1', 'TBL2', 'TECR', 'TMCO1', 'TMEM33', 'TRAM1', 'UBXN8', 'ZMPSTE24']
E_Ct	GO:CC	GO:0030176	integral component of endoplasmic reticulum membrane	4.32787605935393e-12	101	400	32	7292	0.08	0.31683168316831684	['AMFR', 'ANKLE2', 'ATF6', 'AUP1', 'BNIP1', 'DHCR7', 'DNAJB12', 'EIF2AK3', 'EMC7', 'EMC8', 'ERGIC1', 'ESYT1', 'HACD3', 'HM13', 'LNPK', 'PIGU', 'PREB', 'RHBDD2', 'RRBP1', 'RTN4', 'SARAF', 'SCD', 'SGPL1', 'SREBF2', 'STIM1', 'TBL2', 'TECR', 'TMCO1', 'TMEM33', 'TRAM1', 'UBXN8', 'ZMPSTE24']
