bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	intersections
N_Ct	GO:MF	GO:0003723	RNA binding	3.820676292150706e-20	1736	43	32	16268	0.7441860465116279	0.0184331797235023	['BICC1', 'SPATS2L', 'OTUD4', 'LSM14A', 'PRKRA', 'SECISBP2L', 'USP10', 'TOP3B', 'PRRC2A', 'G3BP1', 'CAVIN1', 'G3BP2', 'R3HDM2', 'R3HDM1', 'YTHDF1', 'SPATS2', 'ZCCHC3', 'RC3H1', 'FXR1', 'FXR2', 'CELF1', 'RBM47', 'EIF2AK2', 'EIF4ENIF1', 'TUT7', 'NFX1', 'IGF2BP1', 'IGF2BP3', 'FAM120A', 'FAM120C', 'SRPK2', 'TUT4']
N_Ct	GO:MF	GO:0003676	nucleic acid binding	1.155954908598497e-13	3085	43	33	16268	0.7674418604651163	0.0106969205834684	['BICC1', 'SPATS2L', 'OTUD4', 'LSM14A', 'PRKRA', 'SECISBP2L', 'TRIM26', 'USP10', 'TOP3B', 'PRRC2A', 'G3BP1', 'CAVIN1', 'G3BP2', 'R3HDM2', 'R3HDM1', 'YTHDF1', 'SPATS2', 'ZCCHC3', 'RC3H1', 'FXR1', 'FXR2', 'CELF1', 'RBM47', 'EIF2AK2', 'EIF4ENIF1', 'TUT7', 'NFX1', 'IGF2BP1', 'IGF2BP3', 'FAM120A', 'FAM120C', 'SRPK2', 'TUT4']
N_Ct	GO:MF	GO:1901363	heterocyclic compound binding	5.560570209424694e-11	3775	43	33	16268	0.7674418604651163	0.008741721854304637	['BICC1', 'SPATS2L', 'OTUD4', 'LSM14A', 'PRKRA', 'SECISBP2L', 'TRIM26', 'USP10', 'TOP3B', 'PRRC2A', 'G3BP1', 'CAVIN1', 'G3BP2', 'R3HDM2', 'R3HDM1', 'YTHDF1', 'SPATS2', 'ZCCHC3', 'RC3H1', 'FXR1', 'FXR2', 'CELF1', 'RBM47', 'EIF2AK2', 'EIF4ENIF1', 'TUT7', 'NFX1', 'IGF2BP1', 'IGF2BP3', 'FAM120A', 'FAM120C', 'SRPK2', 'TUT4']
N_Ct	GO:MF	GO:0097159	organic cyclic compound binding	9.994564250446795e-11	3849	43	33	16268	0.7674418604651163	0.00857365549493375	['BICC1', 'SPATS2L', 'OTUD4', 'LSM14A', 'PRKRA', 'SECISBP2L', 'TRIM26', 'USP10', 'TOP3B', 'PRRC2A', 'G3BP1', 'CAVIN1', 'G3BP2', 'R3HDM2', 'R3HDM1', 'YTHDF1', 'SPATS2', 'ZCCHC3', 'RC3H1', 'FXR1', 'FXR2', 'CELF1', 'RBM47', 'EIF2AK2', 'EIF4ENIF1', 'TUT7', 'NFX1', 'IGF2BP1', 'IGF2BP3', 'FAM120A', 'FAM120C', 'SRPK2', 'TUT4']
N_Ct	GO:BP	GO:0010608	posttranscriptional regulation of gene expression	5.830962439815235e-08	773	36	15	15979	0.4166666666666667	0.01940491591203105	['PRKRA', 'MEIOC', 'SECISBP2L', 'PSMD8', 'YTHDF1', 'RC3H1', 'FXR1', 'FXR2', 'CELF1', 'EIF2AK2', 'EIF4ENIF1', 'TUT7', 'IGF2BP1', 'IGF2BP3', 'TUT4']
N_Ct	GO:CC	GO:0036464	cytoplasmic ribonucleoprotein granule	2.228047026602738e-06	204	37	8	16963	0.2162162162162162	0.0392156862745098	['LSM14A', 'G3BP1', 'G3BP2', 'RC3H1', 'FXR1', 'FXR2', 'IGF2BP1', 'TUT4']
N_Ct	GO:CC	GO:0035770	ribonucleoprotein granule	3.238879530718137e-06	214	37	8	16963	0.2162162162162162	0.03738317757009346	['LSM14A', 'G3BP1', 'G3BP2', 'RC3H1', 'FXR1', 'FXR2', 'IGF2BP1', 'TUT4']
N_Ct	GO:MF	GO:0003729	mRNA binding	1.151796447383203e-05	481	43	11	16268	0.2558139534883721	0.02286902286902287	['SECISBP2L', 'G3BP1', 'G3BP2', 'RC3H1', 'FXR1', 'FXR2', 'CELF1', 'RBM47', 'EIF4ENIF1', 'IGF2BP1', 'IGF2BP3']
N_Ct	GO:MF	GO:0003730	mRNA 3'-UTR binding	2.892812992566288e-05	84	43	6	16268	0.1395348837209302	0.07142857142857142	['SECISBP2L', 'RC3H1', 'FXR1', 'FXR2', 'IGF2BP1', 'IGF2BP3']
N_Ct	GO:BP	GO:0034248	regulation of cellular amide metabolic process	3.108198494925045e-05	418	36	10	15979	0.2777777777777778	0.02392344497607655	['SECISBP2L', 'YTHDF1', 'GSK3A', 'RC3H1', 'FXR1', 'FXR2', 'EIF2AK2', 'EIF4ENIF1', 'IGF2BP1', 'IGF2BP3']
