bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
ORF3B_Ct	GO:CC	GO:0005794	Golgi apparatus	1.6402789060959853e-21	620	177	65	7292	0.3672316384180791	0.10483870967741936	['ACBD3', 'ANGEL1', 'AP1B1', 'AP4M1', 'APP', 'ARFGEF1', 'ARFGEF2', 'ATP7A', 'BET1L', 'CD44', 'CLINT1', 'FAM91A1', 'FURIN', 'GBF1', 'GCC1', 'GCC2', 'GGA3', 'GJA1', 'GLG1', 'GOLGA1', 'GOLGA4', 'GOPC', 'GORAB', 'GORASP2', 'GOSR1', 'HOOK3', 'IGF2R', 'KIAA0319L', 'LRP6', 'LRPAP1', 'MARF1', 'MYRF', 'NBEA', 'OSBPL11', 'PDXDC1', 'PI4K2A', 'PI4K2B', 'PIKFYVE', 'PLD1', 'PLEKHA3', 'PLEKHA8', 'RAB11A', 'RIC1', 'SCAMP1', 'SCYL3', 'SGMS1', 'SLC30A1', 'SLC35A2', 'STX10', 'STX6', 'TBC1D23', 'TGOLN2', 'TMEM87A', 'USP32', 'VAMP3', 'VPS45', 'VTI1B', 'WDR11', 'WWOX', 'YES1', 'YIPF3', 'YKT6', 'ZDHHC13', 'ZDHHC3', 'ZDHHC7']
ORF3B_Ct	GO:CC	GO:0098791	Golgi apparatus subcompartment	3.7336913232610886e-15	162	177	31	7292	0.1751412429378531	0.19135802469135801	['AP1B1', 'AP4M1', 'APP', 'ARFGEF1', 'ARFGEF2', 'ATP7A', 'BET1L', 'FAM91A1', 'FURIN', 'GBF1', 'GCC2', 'GGA3', 'GOLGA1', 'GOLGA4', 'GOSR1', 'IGF2R', 'NBEA', 'PI4K2A', 'PI4K2B', 'PLEKHA8', 'RAB11A', 'RIC1', 'SCAMP1', 'SGMS1', 'STX10', 'STX6', 'TBC1D23', 'TGOLN2', 'TMEM87A', 'VAMP3', 'WDR11']
ORF3B_Ct	GO:CC	GO:0031984	organelle subcompartment	7.712408321878334e-15	179	177	32	7292	0.1807909604519774	0.1787709497206704	['AP1B1', 'AP4M1', 'APP', 'ARFGEF1', 'ARFGEF2', 'ATP7A', 'BET1L', 'FAM91A1', 'FURIN', 'GBF1', 'GCC2', 'GGA3', 'GOLGA1', 'GOLGA4', 'GOSR1', 'IGF2R', 'NBEA', 'PI4K2A', 'PI4K2B', 'PLEKHA8', 'RAB11A', 'REEP5', 'RIC1', 'SCAMP1', 'SGMS1', 'STX10', 'STX6', 'TBC1D23', 'TGOLN2', 'TMEM87A', 'VAMP3', 'WDR11']
ORF3B_Ct	GO:CC	GO:0012505	endomembrane system	3.5667692831989124e-14	1926	177	102	7292	0.576271186440678	0.0529595015576324	['ACBD3', 'ANGEL1', 'ANKRD27', 'AP1B1', 'AP2M1', 'AP4M1', 'APP', 'APPL1', 'ARFGEF1', 'ARFGEF2', 'ATP2A2', 'ATP7A', 'BET1L', 'CD44', 'CES1', 'CLINT1', 'CYP51A1', 'DENND6A', 'ECE1', 'ERLEC1', 'ERLIN2', 'ERO1A', 'FAM91A1', 'FURIN', 'GANAB', 'GBF1', 'GCC1', 'GCC2', 'GGA3', 'GJA1', 'GLG1', 'GOLGA1', 'GOLGA4', 'GOPC', 'GORAB', 'GORASP2', 'GOSR1', 'HGS', 'HOOK3', 'HSP90B1', 'IGF2R', 'KIAA0319L', 'LAMB1', 'LAMB2', 'LNPEP', 'LRP6', 'LRPAP1', 'MARF1', 'MIA3', 'MTMR6', 'MYRF', 'NBEA', 'NUCB1', 'OSBPL11', 'P4HB', 'PDIA4', 'PDXDC1', 'PI4K2A', 'PI4K2B', 'PIGO', 'PIKFYVE', 'PLD1', 'PLEKHA3', 'PLEKHA8', 'PSAP', 'PTPRJ', 'RAB11A', 'RBSN', 'REEP5', 'RIC1', 'SCAMP1', 'SCYL3', 'SEMA4C', 'SGMS1', 'SLC30A1', 'SLC35A2', 'SNX3', 'SRC', 'STEAP3', 'STOM', 'STX10', 'STX6', 'TBC1D23', 'TFRC', 'TGOLN2', 'TMEM106B', 'TMEM87A', 'TMTC3', 'UGGT1', 'USP32', 'VAMP3', 'VPS45', 'VTI1B', 'WDR11', 'WWOX', 'YES1', 'YIPF3', 'YKT6', 'ZDHHC13', 'ZDHHC3', 'ZDHHC7', 'ZFYVE9']
ORF3B_Ct	GO:CC	GO:0005802	trans-Golgi network	1.8449206616923452e-13	132	177	27	7292	0.15254237288135594	0.20454545454545456	['AP1B1', 'AP4M1', 'APP', 'ARFGEF1', 'ARFGEF2', 'ATP7A', 'FAM91A1', 'FURIN', 'GBF1', 'GCC2', 'GGA3', 'GOLGA1', 'GOLGA4', 'IGF2R', 'NBEA', 'PI4K2A', 'PI4K2B', 'PLEKHA8', 'RAB11A', 'RIC1', 'SCAMP1', 'STX10', 'STX6', 'TBC1D23', 'TGOLN2', 'VAMP3', 'WDR11']
ORF3B_Ct	GO:CC	GO:0031226	intrinsic component of plasma membrane	1.5727550182859378e-11	314	177	37	7292	0.20903954802259886	0.1178343949044586	['ABCC1', 'ADAM17', 'ADAM9', 'APP', 'ATP2A2', 'CD44', 'CEMIP2', 'CLPTM1', 'DCBLD2', 'EPHA2', 'FAT1', 'GJA1', 'IFNGR1', 'IGF2R', 'ITGA3', 'ITGB1', 'ITGB5', 'JAG1', 'LGR4', 'LNPEP', 'MET', 'OSMR', 'PCDH9', 'PI4K2A', 'PTPRJ', 'ROR1', 'S1PR3', 'SEMA4C', 'SGMS1', 'SLC12A2', 'SLC12A4', 'SLC12A7', 'SLC1A5', 'SLC38A1', 'STOM', 'TFRC', 'YKT6']
ORF3B_Ct	GO:CC	GO:0005887	integral component of plasma membrane	3.6138842837450184e-11	304	177	36	7292	0.2033898305084746	0.11842105263157894	['ABCC1', 'ADAM17', 'APP', 'ATP2A2', 'CD44', 'CEMIP2', 'CLPTM1', 'DCBLD2', 'EPHA2', 'FAT1', 'GJA1', 'IFNGR1', 'IGF2R', 'ITGA3', 'ITGB1', 'ITGB5', 'JAG1', 'LGR4', 'LNPEP', 'MET', 'OSMR', 'PCDH9', 'PI4K2A', 'PTPRJ', 'ROR1', 'S1PR3', 'SEMA4C', 'SGMS1', 'SLC12A2', 'SLC12A4', 'SLC12A7', 'SLC1A5', 'SLC38A1', 'STOM', 'TFRC', 'YKT6']
ORF3B_Ct	GO:CC	GO:0016021	integral component of membrane	2.654576782407743e-10	641	177	51	7292	0.288135593220339	0.07956318252730109	['ABCC1', 'ADAM17', 'AMIGO2', 'APP', 'ATP2A2', 'CD44', 'CEMIP2', 'CLPTM1', 'CRIM1', 'DCBLD2', 'ECE1', 'EPHA2', 'FAT1', 'FURIN', 'GJA1', 'IFNGR1', 'IGF2R', 'ITGA3', 'ITGB1', 'ITGB5', 'JAG1', 'LGR4', 'LNPEP', 'LRP8', 'MET', 'MIA3', 'OSMR', 'PCDH9', 'PI4K2A', 'PTPRJ', 'ROR1', 'S1PR3', 'SCAMP1', 'SEMA4C', 'SGMS1', 'SLC12A2', 'SLC12A4', 'SLC12A6', 'SLC12A7', 'SLC1A5', 'SLC35A2', 'SLC38A1', 'SLC7A11', 'SPINT2', 'STOM', 'STX10', 'STX6', 'TFRC', 'VAMP3', 'VPS45', 'YKT6']
ORF3B_Ct	GO:CC	GO:0031224	intrinsic component of membrane	4.740989480846473e-10	674	177	52	7292	0.2937853107344633	0.0771513353115727	['ABCC1', 'ADAM17', 'ADAM9', 'AMIGO2', 'APP', 'ATP2A2', 'CD44', 'CEMIP2', 'CLPTM1', 'CRIM1', 'DCBLD2', 'ECE1', 'EPHA2', 'FAT1', 'FURIN', 'GJA1', 'IFNGR1', 'IGF2R', 'ITGA3', 'ITGB1', 'ITGB5', 'JAG1', 'LGR4', 'LNPEP', 'LRP8', 'MET', 'MIA3', 'OSMR', 'PCDH9', 'PI4K2A', 'PTPRJ', 'ROR1', 'S1PR3', 'SCAMP1', 'SEMA4C', 'SGMS1', 'SLC12A2', 'SLC12A4', 'SLC12A6', 'SLC12A7', 'SLC1A5', 'SLC35A2', 'SLC38A1', 'SLC7A11', 'SPINT2', 'STOM', 'STX10', 'STX6', 'TFRC', 'VAMP3', 'VPS45', 'YKT6']
ORF3B_Ct	GO:BP	GO:0016482	cytosolic transport	8.778687543861498e-10	113	177	22	7292	0.12429378531073447	0.19469026548672566	['ANKRD27', 'AP4M1', 'BET1L', 'CES1', 'GBF1', 'GCC2', 'GOSR1', 'HOOK3', 'MON2', 'PIKFYVE', 'RBSN', 'RIC1', 'SNX3', 'SRC', 'STX10', 'STX6', 'TBC1D23', 'TMEM87A', 'TMEM87B', 'VAMP3', 'VTI1B', 'YKT6']
