bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
ORF8_Ct	GO:CC	GO:0005788	endoplasmic reticulum lumen	3.3016103280210564e-66	131	337	77	7292	0.228486646884273	0.5877862595419847	['ADAM10', 'APLP2', 'APP', 'ARSD', 'ARSL', 'B2M', 'CALR', 'CALU', 'CANX', 'CDH2', 'CES1', 'CKAP4', 'CLU', 'CNPY3', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'COLGALT1', 'CRTAP', 'CTSC', 'DNAJC10', 'DNAJC3', 'ERAP1', 'ERLEC1', 'ERO1A', 'ERP29', 'ERP44', 'FGA', 'FSTL3', 'FUCA2', 'GANAB', 'HSP90B1', 'HSPA5', 'HYOU1', 'IGFBP4', 'LAMB1', 'LAMB2', 'LAMC1', 'LRPAP1', 'LTBP1', 'MANF', 'MATN3', 'MBTPS1', 'MELTF', 'MFGE8', 'MIA3', 'MINPP1', 'NUCB1', 'OS9', 'P3H1', 'P3H2', 'P4HA1', 'P4HA2', 'P4HA3', 'P4HB', 'PDGFD', 'PDIA3', 'PDIA4', 'PDIA5', 'PDIA6', 'POGLUT1', 'POGLUT2', 'PPIB', 'PRKCSH', 'PRSS23', 'RCN1', 'SERPINH1', 'SUMF1', 'SUMF2', 'THBS1', 'TOR1A', 'TOR1B', 'TXNDC12', 'UGGT1', 'UGGT2', 'WNT7B']
ORF8_Ct	GO:CC	GO:0005783	endoplasmic reticulum	2.6039176130885296e-51	629	337	131	7292	0.3887240356083086	0.2082670906200318	['ADAM10', 'AGR2', 'APLP2', 'APMAP', 'APP', 'ARSD', 'ARSL', 'ASPH', 'ATP2A2', 'B2M', 'CALR', 'CALU', 'CANX', 'CCDC47', 'CDH2', 'CES1', 'CKAP4', 'CLCC1', 'CLN5', 'CLU', 'CNPY3', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'COLGALT1', 'CRTAP', 'CTSA', 'CTSC', 'DDOST', 'DNAJC10', 'DNAJC3', 'EDEM1', 'EDEM2', 'EDEM3', 'ERAP1', 'ERGIC3', 'ERLEC1', 'ERLIN1', 'ERLIN2', 'ERN1', 'ERO1A', 'ERO1B', 'ERP29', 'ERP44', 'EXT1', 'EXT2', 'FGA', 'FGB', 'FKBP9', 'FSTL3', 'FUCA2', 'GANAB', 'GBA', 'GRN', 'HLA-A', 'HLA-B', 'HLA-C', 'HSP90B1', 'HSPA5', 'HYOU1', 'IGFBP4', 'IKBIP', 'ITPR3', 'LAMA3', 'LAMB1', 'LAMB2', 'LAMC1', 'LOXL2', 'LRPAP1', 'LTBP1', 'MANF', 'MATN3', 'MBTPS1', 'MELTF', 'MFGE8', 'MIA3', 'MINPP1', 'MOGS', 'NENF', 'NUCB1', 'OS9', 'P3H1', 'P3H2', 'P3H3', 'P3H4', 'P4HA1', 'P4HA2', 'P4HA3', 'P4HB', 'PDGFD', 'PDIA3', 'PDIA4', 'PDIA5', 'PDIA6', 'PGRMC2', 'PLOD1', 'PLOD2', 'POFUT1', 'POGLUT1', 'POGLUT2', 'PPIB', 'PRDX4', 'PRKCSH', 'PRSS23', 'RCN1', 'RCN2', 'RPN1', 'RPN2', 'SDF4', 'SEL1L', 'SERPINH1', 'SIL1', 'SPCS3', 'STT3A', 'STT3B', 'SUCO', 'SULF2', 'SUMF1', 'SUMF2', 'TAPBP', 'THBS1', 'TMEM30A', 'TMTC3', 'TOR1A', 'TOR1B', 'TXNDC12', 'TXNDC5', 'UGGT1', 'UGGT2', 'WNT7B']
ORF8_Ct	GO:CC	GO:0012505	endomembrane system	1.1489178592501772e-50	1926	337	223	7292	0.6617210682492581	0.11578400830737279	['ABHD12', 'ADAM10', 'AGR2', 'AGRN', 'ANTXR1', 'APLP2', 'APMAP', 'APP', 'ARSD', 'ARSL', 'ASAH1', 'ASPH', 'ATF6B', 'ATP2A2', 'B2M', 'B4GALNT1', 'B4GALT1', 'B4GALT4', 'B4GAT1', 'BPNT2', 'BST1', 'CALR', 'CALU', 'CANX', 'CCDC47', 'CD109', 'CDH2', 'CES1', 'CHID1', 'CHPF2', 'CHST10', 'CHST14', 'CKAP4', 'CLCC1', 'CLN5', 'CLU', 'CNPY3', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'COLGALT1', 'CRTAP', 'CSGALNACT1', 'CTSA', 'CTSB', 'CTSC', 'CTSD', 'CTSL', 'CTSS', 'DDOST', 'DNAJC10', 'DNAJC3', 'ECE1', 'EDEM1', 'EDEM2', 'EDEM3', 'EMC1', 'ENTPD6', 'ERAP1', 'ERGIC3', 'ERLEC1', 'ERLIN1', 'ERLIN2', 'ERN1', 'ERO1A', 'ERO1B', 'ERP29', 'ERP44', 'EXT1', 'EXT2', 'FAM3C', 'FGA', 'FGB', 'FKBP9', 'FSTL3', 'FUCA2', 'GALNS', 'GALNT10', 'GALNT13', 'GALNT14', 'GALNT2', 'GALNT5', 'GALNT7', 'GANAB', 'GBA', 'GCNT3', 'GGH', 'GLA', 'GLB1', 'GLCE', 'GLG1', 'GNS', 'GPC1', 'GRAMD1A', 'GRN', 'GUSB', 'HEXA', 'HEXB', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HSP90B1', 'HSPA5', 'HTATIP2', 'HYOU1', 'IGF2R', 'IGFBP4', 'IKBIP', 'ITGAV', 'ITGB4', 'ITPR3', 'LAMA3', 'LAMB1', 'LAMB2', 'LAMC1', 'LGALS3BP', 'LMAN1', 'LMAN2L', 'LNPEP', 'LOXL2', 'LRP6', 'LRPAP1', 'LTBP1', 'MAN2A1', 'MAN2B1', 'MANBA', 'MANF', 'MATN3', 'MBTPS1', 'MELTF', 'MFGE8', 'MGAT2', 'MGAT5', 'MIA3', 'MINPP1', 'MOGS', 'MUC5AC', 'NCLN', 'NDST1', 'NENF', 'NOMO2', 'NPC2', 'NUCB1', 'NUP210', 'OS9', 'P3H1', 'P3H2', 'P3H3', 'P3H4', 'P4HA1', 'P4HA2', 'P4HA3', 'P4HB', 'PCSK6', 'PDGFD', 'PDIA3', 'PDIA4', 'PDIA5', 'PDIA6', 'PGRMC2', 'PIGO', 'PLAU', 'PLD3', 'PLOD1', 'PLOD2', 'POFUT1', 'POFUT2', 'POGLUT1', 'POGLUT2', 'POGLUT3', 'POR', 'PPIB', 'PRCP', 'PRDX4', 'PRKCSH', 'PROS1', 'PRSS23', 'PSAP', 'QSOX2', 'RCN1', 'RCN2', 'RPN1', 'RPN2', 'RXYLT1', 'SDF4', 'SEL1L', 'SERPINE1', 'SERPINE2', 'SERPINH1', 'SIL1', 'SLC38A10', 'SPCS3', 'ST3GAL5', 'ST6GAL2', 'ST8SIA4', 'STT3A', 'STT3B', 'SUCO', 'SULF2', 'SUMF1', 'SUMF2', 'SUN1', 'SUN2', 'TAPBP', 'TFRC', 'TGFB2', 'TGFBI', 'THBS1', 'TIMP2', 'TM9SF2', 'TMEM30A', 'TMTC3', 'TMX1', 'TOR1A', 'TOR1B', 'TXNDC12', 'TXNDC5', 'UGGT1', 'UGGT2', 'WNT7B', 'XYLT2']
ORF8_Ct	GO:CC	GO:0005576	extracellular region	5.856157870492789e-44	1539	337	191	7292	0.5667655786350149	0.12410656270305392	['ADAM10', 'ADAM15', 'ADAM9', 'ADGRG1', 'AGR2', 'AGRN', 'APLP2', 'APP', 'ARSL', 'ASAH1', 'ATP1B1', 'ATP1B3', 'ATRN', 'B2M', 'B4GALT1', 'B4GAT1', 'BMP1', 'BST1', 'C1S', 'C5', 'CACNA2D1', 'CALR', 'CANX', 'CD109', 'CDH2', 'CEMIP2', 'CES1', 'CHID1', 'CHST14', 'CKAP4', 'CLN5', 'CLU', 'CNTN1', 'COCH', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'CPD', 'CRELD1', 'CRTAP', 'CTSA', 'CTSB', 'CTSC', 'CTSD', 'CTSF', 'CTSL', 'CTSS', 'CXCL5', 'DNAJC3', 'DNASE2', 'ECE1', 'ENTPD6', 'ERAP1', 'ERP44', 'EXT2', 'FAM3C', 'FAT1', 'FGA', 'FGB', 'FSTL3', 'FUCA2', 'GALNS', 'GALNT7', 'GANAB', 'GBA', 'GCNT3', 'GFRA1', 'GGH', 'GLA', 'GLB1', 'GLG1', 'GNS', 'GPC1', 'GRN', 'GUSB', 'HEXA', 'HEXB', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HSP90B1', 'HSPA13', 'HSPA5', 'HYOU1', 'IGF2R', 'IGFBP2', 'IGFBP4', 'INHBB', 'ITFG1', 'ITGA3', 'ITGAV', 'ITGB1', 'ITGB4', 'ITGB5', 'L1CAM', 'LAMA3', 'LAMA5', 'LAMB1', 'LAMB2', 'LAMC1', 'LAMC2', 'LGALS3BP', 'LIFR', 'LMAN1', 'LOXL2', 'LRP6', 'LRPAP1', 'LTBP1', 'LTBP3', 'MAN2A1', 'MAN2B1', 'MANF', 'MATN2', 'MATN3', 'MELTF', 'MFGE8', 'MGAT5', 'MINPP1', 'MOGS', 'MUC5AC', 'NAGLU', 'NENF', 'NPC2', 'NT5E', 'NTN4', 'NUCB1', 'NUCB2', 'P3H1', 'P3H2', 'P4HB', 'PAPPA', 'PCSK6', 'PCYOX1', 'PDGFD', 'PDIA3', 'PDIA4', 'PDIA6', 'PLAU', 'PLBD1', 'PLBD2', 'PLD3', 'PLOD1', 'PLOD2', 'PLXNA1', 'PLXNB2', 'PON2', 'PPIB', 'PRCP', 'PRDX4', 'PROS1', 'PRSS23', 'PSAP', 'QSOX2', 'RAC2', 'SCARA3', 'SCARB1', 'SCPEP1', 'SDF4', 'SEMA3A', 'SEMA3C', 'SERPINE1', 'SERPINE2', 'SERPINH1', 'SFRP1', 'SGSH', 'SIL1', 'SLC12A2', 'SLIT3', 'SPINT2', 'SULF2', 'TFPI', 'TFPI2', 'TFRC', 'TGFB2', 'TGFBI', 'THBS1', 'THSD4', 'TIMP2', 'TM9SF2', 'TOR1A', 'TOR1B', 'TUFM', 'TWSG1', 'TXNDC5', 'UGGT1', 'UPK1B', 'VSTM2L', 'WNT7B', 'XYLT2']
ORF8_Ct	REAC	REAC:R-HSA-1474244	Extracellular matrix organization	5.5667026165619916e-39	105	337	53	7292	0.1572700296735905	0.5047619047619047	['ADAM10', 'ADAM15', 'ADAM17', 'ADAM9', 'AGRN', 'APP', 'BMP1', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'COLGALT1', 'CRTAP', 'CTSB', 'CTSD', 'CTSL', 'CTSS', 'FGA', 'FGB', 'ITGA2', 'ITGA3', 'ITGA6', 'ITGAV', 'ITGB1', 'ITGB4', 'ITGB5', 'LAMA3', 'LAMA5', 'LAMB1', 'LAMB2', 'LAMC1', 'LAMC2', 'LOXL2', 'LTBP1', 'LTBP3', 'MATN3', 'NTN4', 'P3H1', 'P3H2', 'P3H3', 'P4HA1', 'P4HA2', 'P4HA3', 'P4HB', 'PCOLCE2', 'PLOD1', 'PLOD2', 'PPIB', 'SERPINE1', 'SERPINH1', 'TGFB2', 'THBS1', 'TIMP2']
ORF8_Ct	GO:CC	GO:0005615	extracellular space	8.47231656494966e-39	1386	337	174	7292	0.516320474777448	0.12554112554112554	['ADAM10', 'ADAM15', 'ADAM9', 'ADGRG1', 'AGR2', 'AGRN', 'APLP2', 'APP', 'ARSL', 'ASAH1', 'ATP1B1', 'ATP1B3', 'ATRN', 'B2M', 'B4GALT1', 'B4GAT1', 'BST1', 'C1S', 'C5', 'CACNA2D1', 'CALR', 'CANX', 'CEMIP2', 'CES1', 'CHID1', 'CHST14', 'CKAP4', 'CLN5', 'CLU', 'CNTN1', 'COCH', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'CPD', 'CRTAP', 'CTSA', 'CTSB', 'CTSC', 'CTSD', 'CTSF', 'CTSL', 'CTSS', 'CXCL5', 'DNAJC3', 'DNASE2', 'ECE1', 'ERAP1', 'ERP44', 'EXT2', 'FAM3C', 'FAT1', 'FGA', 'FGB', 'FSTL3', 'FUCA2', 'GALNS', 'GALNT7', 'GANAB', 'GBA', 'GCNT3', 'GFRA1', 'GGH', 'GLA', 'GLB1', 'GLG1', 'GNS', 'GPC1', 'GRN', 'GUSB', 'HEXA', 'HEXB', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HSP90B1', 'HSPA13', 'HSPA5', 'HYOU1', 'IGF2R', 'IGFBP2', 'IGFBP4', 'INHBB', 'ITFG1', 'ITGA3', 'ITGAV', 'ITGB1', 'ITGB4', 'ITGB5', 'LAMA3', 'LAMA5', 'LAMB1', 'LAMB2', 'LAMC1', 'LGALS3BP', 'LIFR', 'LMAN1', 'LOXL2', 'LTBP3', 'MAN2A1', 'MAN2B1', 'MANF', 'MATN2', 'MATN3', 'MELTF', 'MFGE8', 'MGAT5', 'MINPP1', 'MOGS', 'MUC5AC', 'NAGLU', 'NENF', 'NPC2', 'NT5E', 'NUCB1', 'NUCB2', 'P3H1', 'P4HB', 'PCSK6', 'PCYOX1', 'PDGFD', 'PDIA3', 'PDIA4', 'PDIA6', 'PLAU', 'PLBD1', 'PLBD2', 'PLD3', 'PLOD1', 'PLOD2', 'PLXNA1', 'PLXNB2', 'PPIB', 'PRCP', 'PRDX4', 'PROS1', 'PRSS23', 'PSAP', 'QSOX2', 'RAC2', 'SCARA3', 'SCARB1', 'SCPEP1', 'SDF4', 'SEMA3A', 'SEMA3C', 'SERPINE1', 'SERPINE2', 'SFRP1', 'SGSH', 'SIL1', 'SLC12A2', 'SLIT3', 'SULF2', 'TFPI', 'TFPI2', 'TFRC', 'TGFB2', 'TGFBI', 'THBS1', 'THSD4', 'TIMP2', 'TM9SF2', 'TOR1A', 'TOR1B', 'TUFM', 'TWSG1', 'TXNDC5', 'UGGT1', 'UPK1B', 'WNT7B', 'XYLT2']
ORF8_Ct	GO:CC	GO:0062023	collagen-containing extracellular matrix	2.6900738793540367e-33	106	337	49	7292	0.14540059347181009	0.46226415094339623	['AGRN', 'CDH2', 'CLU', 'COCH', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'CRELD1', 'CTSB', 'CTSC', 'CTSD', 'CTSF', 'CTSL', 'CTSS', 'FGA', 'FGB', 'GPC1', 'HSP90B1', 'L1CAM', 'LAMA3', 'LAMA5', 'LAMB1', 'LAMB2', 'LAMC1', 'LAMC2', 'LGALS3BP', 'LMAN1', 'LOXL2', 'LTBP1', 'LTBP3', 'MATN2', 'MATN3', 'MFGE8', 'NTN4', 'P3H1', 'P3H2', 'PCSK6', 'PSAP', 'SCARA3', 'SERPINE1', 'SERPINE2', 'SERPINH1', 'SFRP1', 'TGFB2', 'TGFBI', 'THBS1', 'THSD4', 'TIMP2']
ORF8_Ct	GO:CC	GO:0031012	extracellular matrix	6.744413339092532e-33	113	337	50	7292	0.14836795252225518	0.4424778761061947	['AGRN', 'CDH2', 'CLU', 'COCH', 'COL12A1', 'COL18A1', 'COL4A2', 'COL5A2', 'CRELD1', 'CTSB', 'CTSC', 'CTSD', 'CTSF', 'CTSL', 'CTSS', 'FGA', 'FGB', 'GPC1', 'HSP90B1', 'L1CAM', 'LAMA3', 'LAMA5', 'LAMB1', 'LAMB2', 'LAMC1', 'LAMC2', 'LGALS3BP', 'LMAN1', 'LOXL2', 'LTBP1', 'LTBP3', 'MATN2', 'MATN3', 'MFGE8', 'NTN4', 'P3H1', 'P3H2', 'PCSK6', 'PSAP', 'SCARA3', 'SERPINE1', 'SERPINE2', 'SERPINH1', 'SFRP1', 'TFPI2', 'TGFB2', 'TGFBI', 'THBS1', 'THSD4', 'TIMP2']
ORF8_Ct	GO:BP	GO:0009100	glycoprotein metabolic process	7.730273660577796e-29	172	337	56	7292	0.1661721068249258	0.32558139534883723	['B4GALT1', 'B4GAT1', 'CHPF2', 'CHST10', 'CHST14', 'CSGALNACT1', 'DDOST', 'EDEM1', 'EDEM2', 'EDEM3', 'ERP44', 'EXT1', 'EXT2', 'GALNT10', 'GALNT13', 'GALNT14', 'GALNT2', 'GALNT5', 'GALNT7', 'GANAB', 'GCNT3', 'GLCE', 'GPC1', 'HEXA', 'HEXB', 'LMAN1', 'MAN2A1', 'MAN2B1', 'MANBA', 'MGAT2', 'MGAT5', 'MOGS', 'MUC5AC', 'NDST1', 'OS9', 'PCSK6', 'POFUT1', 'POFUT2', 'POGLUT1', 'POGLUT2', 'POGLUT3', 'PRKCSH', 'RPN1', 'RPN2', 'RXYLT1', 'SEL1L', 'SGSH', 'ST3GAL5', 'ST8SIA4', 'STT3A', 'STT3B', 'SULF2', 'TMTC3', 'UGGT1', 'UGGT2', 'XYLT2']
ORF8_Ct	GO:CC	GO:0009986	cell surface	2.309663437559936e-27	182	337	56	7292	0.1661721068249258	0.3076923076923077	['ADAM10', 'ADAM15', 'ADAM17', 'ADAM9', 'ADGRG6', 'ANTXR1', 'APMAP', 'APP', 'B4GALT1', 'CALR', 'CD109', 'CDH2', 'CLPTM1', 'CLSTN1', 'CLU', 'DCBLD2', 'ECE1', 'EPHA2', 'ERP29', 'ERP44', 'FGA', 'FGB', 'GFRA1', 'GPC1', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'IGF2R', 'ITGA2', 'ITGA3', 'ITGA6', 'ITGAV', 'ITGB1', 'ITGB4', 'ITGB5', 'L1CAM', 'LIFR', 'LRP6', 'MELTF', 'MET', 'NRCAM', 'NT5E', 'P4HB', 'PCSK6', 'PDIA3', 'PDIA4', 'PLAU', 'PLXNB2', 'SCARB1', 'SERPINE2', 'SFRP1', 'SULF2', 'TFPI', 'TFRC', 'THBS1']
