Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
pp1a-nsp10-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	329	329	329.00	1	268|927|0	0.00	0.00	0.00	0.00	0.00	-inf	0.55	0.54
pp1a-nsp10-A549-Nt	P54132	BLM	7	7	7.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-15.06	1.00	0.35
pp1a-nsp10-A549-Nt	P51587	BRCA2	5	5	5.00	1	15|6|0	0.00	0.00	0.00	0.00	0.00	-31.04	0.48	0.54
pp1a-nsp10-A549-Nt	P50402	EMD	17	17	17.00	1	7|13|0	0.00	0.00	0.00	0.00	0.00	-11.66	1.70	0.31
pp1a-nsp10-A549-Nt	P28715	ERCC5	4	4	4.00	1	9|4|0	0.00	0.00	0.00	0.00	0.00	-17.72	0.62	0.54
pp1a-nsp10-A549-Nt	P13804	ETFA	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.10	70.00	0.00
pp1a-nsp10-A549-Nt	P07954	FH	4	4	4.00	1	0|3|0	0.49	0.49	0.49	0.49	0.49	-0.04	2.67	0.03
pp1a-nsp10-A549-Nt	Q04446	GBE1	5	5	5.00	1	4|8|0	0.00	0.00	0.00	0.00	0.00	-14.35	0.83	0.34
pp1a-nsp10-A549-Nt	P52701	MSH6	7	7	7.00	1	9|5|0	0.00	0.00	0.00	0.00	0.00	-15.04	1.00	0.35
pp1a-nsp10-A549-Nt	Q99707	MTR	9	9	9.00	1	12|9|0	0.00	0.00	0.00	0.00	0.00	-24.50	0.86	0.42
pp1a-nsp10-A549-Nt	Q01968	OCRL	25	25	25.00	1	21|20|0	0.00	0.00	0.00	0.00	0.00	-36.54	1.22	0.46
pp1a-nsp10-A549-Nt	P08237	PFKM	6	6	6.00	1	2|5|0	0.01	0.01	0.01	0.01	0.01	-4.20	1.71	0.14
pp1a-nsp10-A549-Nt	P50542	PEX5	9	9	9.00	1	5|5|0	0.01	0.01	0.01	0.01	0.01	-5.25	1.80	0.17
pp1a-nsp10-A549-Nt	P54253	ATXN1	3	3	3.00	1	2|6|0	0.00	0.00	0.00	0.00	0.00	-9.96	0.75	0.27
