Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
NSP9-Nt	geneid:324;refseq:NP_000029;uniprot:P25054	APC	20|15	35	17.50	2	28|28|6|12|15|0|0|0|11|12|13|14	0.00	0.00	0.00	0.00	0.00	-63.79	0.74	0.57	5.92	1.51	0.89
NSP9-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	20|12	32	16.00	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-93.92	0.54	0.59	3.92	0.83	0.14
NSP9-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	5|7	12	6.00	2	4|5|0|0|0|0|0|0|0|0|0|0	0.08	0.14	0.08	0.14	0.08	-4.06	2.00	0.21	5.25	7.5	0.82
NSP9-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	6|6	12	6.00	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-35.89	0.50	0.62	0	0	0
NSP9-Nt	geneid:2073;refseq:NP_000114;uniprot:P28715	ERCC5	8|5	13	6.50	2	0|0|4|9|7|0|0|0|2|6|12|10	0.00	0.00	0.00	0.00	0.00	-31.41	0.63	0.50	2.33	1.43	3.08
NSP9-Nt	geneid:2271;refseq:NP_000134;uniprot:P07954	FH	5|6	11	5.50	2	4|3|3|0|0|0|0|0|0|0|0|0	0.01	0.02	0.01	0.02	0.01	-5.46	1.65	0.24	4.67	6.66	2.01
NSP9-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	5|11	16	8.00	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-27.54	0.86	0.45	3.25	3.37	1.12
NSP9-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	6|6	12	6.00	2	0|0|5|9|8|0|0|0|6|6|0|6	0.00	0.00	0.00	0.00	0.00	-19.39	0.78	0.45	2.67	1.43	1.38
NSP9-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	5|3	8	4.00	2	0|0|2|0|0|0|0|0|0|0|0|0	0.78	0.90	0.78	0.90	0.78	0.64	6.00	0.01	3.83	3.65	0.62
NSP9-Nt	geneid:4233;refseq:NP_000236;uniprot:P08581	MET	2|3	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.14	25.00	0.00	2.5	1.31	0.79
NSP9-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	14|15	29	14.50	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-31.20	1.01	0.51	6.25	3.59	0.96
NSP9-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	20|15	35	17.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-68.00	0.71	0.57	0.75	0.61	0.08
NSP9-Nt	geneid:5830;refseq:NP_000310;uniprot:P50542	PEX5	13|7	20	10.00	2	6|10|5|5|10|0|0|0|11|8|8|5	0.00	0.00	0.00	0.00	0.00	-27.63	0.97	0.45	4.33	4.99	3.16
NSP9-Nt	geneid:6310;refseq:NP_000323;uniprot:P54253	ATXN1	5|4	9	4.50	2	0|0|6|2|4|0|0|0|2|2|0|0	0.00	0.00	0.00	0.00	0.00	-9.26	1.12	0.31	3.17	2.83	6.33
NSP9-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	94|115	209	104.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-456.57	0.64	0.62	0	0	0
NSP9-Nt	geneid:190;refseq:NP_000466;uniprot:P51843	NR0B1	4|2	6	3.00	2	0|0|3|2|0|0|0|0|0|0|0|0	0.13	0.25	0.13	0.23	0.13	-3.88	1.80	0.19	2.58	3.99	5.2
NSP9-Nt	geneid:7486;refseq:NP_000544;uniprot:Q14191	WRN	3|0	3	1.50	2	0|0|0|5|0|0|0|0|0|0|0|0	0.08	0.15	0.07	0.14	0.08	-6.98	0.90	0.21	1.08	0.55	12.54
NSP9-Nt	geneid:2936;refseq:NP_000628;uniprot:P00390	GSR	6|2	8	4.00	2	4|2|4|3|2|0|0|0|4|3|0|0	0.00	0.00	0.00	0.00	0.00	-12.43	1.00	0.29	2.17	3.02	0.37
NSP9-Nt	geneid:211;refseq:NP_000679;uniprot:P13196	ALAS1	4|4	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.70	40.00	0.00	4	4.54	2.06
NSP9-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	55|66	121	60.50	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-237.91	0.69	0.62	2.17	4.56	0.29
NSP9-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	6|5	11	5.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-21.04	0.72	0.46	1	2.65	0.16
NSP9-Nt	geneid:5034;refseq:NP_000909;uniprot:P07237	P4HB	10|9	19	9.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	14.76	95.00	0.00	9.5	13.6	1.01
NSP9-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	330|357	687	343.50	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.36	0.62	0	0	0
NSP9-Nt	geneid:5430;refseq:NP_000928;uniprot:P24928	POLR2A	8|4	12	6.00	2	3|2|6|10|7|0|0|0|4|4|5|3	0.00	0.00	0.00	0.00	0.00	-22.86	0.78	0.43	2.33	0.86	1.42
NSP9-Nt	geneid:5431;refseq:NP_000929;uniprot:P30876	POLR2B	10|4	14	7.00	2	8|6|4|5|9|0|0|0|5|4|0|2	0.00	0.00	0.00	0.00	0.00	-22.91	0.91	0.40	3.42	2.12	1.47
NSP9-Nt	geneid:5558;refseq:NP_000938;uniprot:P49643	PRIM2	2|2	4	2.00	2	0|0|8|4|4|0|0|0|2|0|3|4	0.00	0.00	0.00	0.00	0.00	-17.75	0.38	0.62	0	0	0
NSP9-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	5|2	7	3.50	2	0|0|4|5|4|0|6|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-16.33	0.70	0.37	1.33	2.26	0.41
NSP9-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	13|14	27	13.50	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-70.54	0.55	0.58	2.17	5.31	0.09
NSP9-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	14|16	30	15.00	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-41.96	0.87	0.54	3.92	9.9	0.21
NSP9-Nt	geneid:6152;refseq:NP_000977;uniprot:P83731	RPL24	4|5	9	4.50	2	5|3|6|3|3|0|3|0|3|3|0|3	0.00	0.00	0.00	0.00	0.00	-11.63	0.96	0.35	1.83	8.47	2.04
NSP9-Nt	geneid:6175;refseq:NP_000993;uniprot:P05388	RPLP0	8|14	22	11.00	2	7|8|13|9|11|0|0|0|7|4|7|8	0.00	0.00	0.00	0.00	0.00	-28.40	1.00	0.46	4.83	11.08	3.07
NSP9-Nt	geneid:84632;refseq:NP_001001936;uniprot:Q8N4X5	AFAP1L2	11|11	22	11.00	2	6|6|5|11|6|0|0|0|13|12|12|8	0.00	0.00	0.00	0.00	0.00	-28.52	0.89	0.51	4.42	3.93	7.91
NSP9-Nt	geneid:10600;refseq:NP_001001992;uniprot:Q9Y5T5	USP16	8|2	10	5.00	2	7|9|0|0|2|0|0|0|4|5|4|4	0.00	0.00	0.00	0.00	0.00	-24.51	0.71	0.41	2.08	1.84	1.88
NSP9-Nt	geneid:54812;refseq:NP_001002243;uniprot:Q6ULP2	AFTPH	15|17	32	16.00	2	14|23|13|13|14|0|0|0|20|21|18|26	0.00	0.00	0.00	0.00	0.00	-62.86	0.69	0.57	2.5	2	2.55
NSP9-Nt	geneid:302;refseq:NP_001002857;uniprot:P07355	ANXA2	54|62	116	58.00	2	74|88|75|62|60|0|7|0|89|75|69|82	0.00	0.00	0.00	0.00	0.00	-233.34	0.67	0.62	1.25	2.68	0.12
NSP9-Nt	geneid:6202;refseq:NP_001003;uniprot:P62241	RPS8	6|6	12	6.00	2	3|5|0|0|0|0|7|2|8|7|5|4	0.00	0.00	0.00	0.00	0.00	-18.11	0.82	0.44	2.58	9.02	0.29
NSP9-Nt	geneid:636;refseq:NP_001003398;uniprot:Q96G01	BICD1	7|2	9	4.50	2	3|4|7|7|9|0|0|0|5|3|4|2	0.00	0.00	0.00	0.00	0.00	-27.35	0.59	0.45	0.83	0.72	0.95
NSP9-Nt	geneid:3983;refseq:NP_001003407;uniprot:O14639	ABLIM1	9|6	15	7.50	2	12|9|9|5|6|0|0|0|0|5|5|10	0.00	0.00	0.00	0.00	0.00	-29.45	0.73	0.49	2.42	2.45	3.04
NSP9-Nt	geneid:2733;refseq:NP_001003722;uniprot:Q53GS7	GLE1	3|4	7	3.50	2	3|0|4|5|2|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-10.72	0.88	0.33	2.33	2.43	1.29
NSP9-Nt	geneid:51586;refseq:NP_001003891;uniprot:Q96RN5	MED15	15|17	32	16.00	2	5|8|10|12|10|0|0|0|20|17|19|19	0.00	0.00	0.00	0.00	0.00	-47.71	0.83	0.55	6	5.54	2.2
NSP9-Nt	geneid:445815;refseq:NP_001004065;uniprot:-	PALM2AKAP2	6|0	6	3.00	2	0|0|2|6|3|0|0|0|0|2|5|0	0.00	0.00	0.00	0.00	0.00	-20.30	0.64	0.33	1.5	1.15	15.6
NSP9-Nt	geneid:4591;refseq:NP_001005207;uniprot:O94972	TRIM37	4|0	4	2.00	2	2|0|0|0|0|0|0|0|0|0|0|0	0.41	0.81	0.40	0.81	0.41	-3.58	3.00	0.16	1.83	1.38	1.86
NSP9-Nt	geneid:9500;refseq:NP_001005332;uniprot:Q9Y5V3	MAGED1	5|6	11	5.50	2	6|7|0|3|5|0|0|0|4|0|5|0	0.00	0.00	0.00	0.00	0.00	-14.81	0.92	0.40	3	2.8	1.03
NSP9-Nt	geneid:3191;refseq:NP_001005335;uniprot:P14866	HNRNPL	4|5	9	4.50	2	0|0|5|4|5|0|0|0|5|6|2|0	0.00	0.00	0.00	0.00	0.00	-13.99	0.84	0.38	2.25	3.59	1.06
NSP9-Nt	geneid:8650;refseq:NP_001005743;uniprot:P49757	NUMB	12|8	20	10.00	2	9|8|8|5|8|0|0|0|9|6|3|4	0.00	0.00	0.00	0.00	0.00	-19.93	1.15	0.41	5	5.58	0.94
NSP9-Nt	geneid:55114;refseq:NP_001006635;uniprot:Q68EM7	ARHGAP17	6|4	10	5.00	2	8|7|10|7|10|0|0|0|5|9|3|8	0.00	0.00	0.00	0.00	0.00	-30.88	0.52	0.50	0	0	0
