Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
M-Nt	geneid:415;refseq:NP_000038;uniprot:P51690	ARSL	4|2	6	3.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.11	30.00	0.00	3	2.66	1.02
M-Nt	geneid:1201;refseq:NP_000077;uniprot:Q13286	CLN3	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.49	0.98	0.49	-0.84	10.00	0.10	1	1.19	Infinity
M-Nt	geneid:1535;refseq:NP_000092;uniprot:P13498	CYBA	6|6	12	6.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.05	60.00	0.00	6	16.06	7.61
M-Nt	geneid:1545;refseq:NP_000095;uniprot:Q16678	CYP1B1	7|7	14	7.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.62	70.00	0.00	7	6.73	5.52
M-Nt	geneid:1643;refseq:NP_000098;uniprot:Q92466	DDB2	7|7	14	7.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.70	70.00	0.00	7	8.56	6.07
M-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	10|8	18	9.00	2	4|5|0|0|0|0|0|0|0|0|0|0	0.48	0.67	0.51	0.70	0.51	-0.75	3.00	0.10	8.25	8.46	1.39
M-Nt	geneid:1836;refseq:NP_000103;uniprot:P50443	SLC26A2	8|6	14	7.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.02	70.00	0.00	7	4.94	5.52
M-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	58|62	120	60.00	2	7|9|13|7|8|0|0|0|6|7|8|14	1.00	1.00	1.00	1.00	1.00	30.83	5.00	0.00	53.42	109.78	3.8
M-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	28|30	58	29.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	43.11	290.00	0.00	29	33.27	5.22
M-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	3|0	3	1.50	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-40.90	0.16	0.62	0	0	0
M-Nt	geneid:2908;refseq:NP_000167;uniprot:P04150	NR3C1	3|5	8	4.00	2	31|32|30|32|30|0|0|0|39|38|33|38	0.00	0.00	0.00	0.00	0.00	-157.00	0.10	0.62	0	0	0
M-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	19|17	36	18.00	2	0|0|2|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.07	27.00	0.00	17.83	12.2	3.47
M-Nt	geneid:3032;refseq:NP_000174;uniprot:P55084	HADHB	5|0	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.34	25.00	0.05	2.5	2.75	13
M-Nt	geneid:4860;refseq:NP_000261;uniprot:P00491	PNP	10|4	14	7.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.71	70.00	0.00	7	12.64	7.91
M-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	12|11	23	11.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-75.90	0.47	0.62	0	0	0
M-Nt	geneid:5213;refseq:NP_000280;uniprot:P08237	PFKM	17|10	27	13.50	2	6|0|5|2|6|0|0|0|5|0|0|3	0.46	0.92	0.46	0.92	0.46	-6.56	2.38	0.16	11.25	7.53	3.32
M-Nt	geneid:5224;refseq:NP_000281;uniprot:P15259	PGAM2	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	2.06	13
M-Nt	geneid:5311;refseq:NP_000288;uniprot:Q13563	PKD2	5|5	10	5.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.42	50.00	0.00	5	2.7	4.06
