Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
NSP2-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	7|15	22	11.00	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-106.51	0.37	0.59	0	0	0
NSP2-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	5|5	10	5.00	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-38.08	0.42	0.62	0	0	0
NSP2-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	8|5	13	6.50	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-27.54	0.70	0.48	1.75	1.79	0.56
NSP2-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	2|2	4	2.00	2	0|0|5|9|8|0|0|0|6|6|0|6	0.00	0.00	0.00	0.00	0.00	-27.35	0.26	0.62	0	0	0
NSP2-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	13|14	27	13.50	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-32.66	0.94	0.52	5.25	2.98	0.76
NSP2-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	15|15	30	15.00	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-68.00	0.61	0.62	0	0	0
NSP2-Nt	geneid:5830;refseq:NP_000310;uniprot:P50542	PEX5	6|9	15	7.50	2	6|10|5|5|10|0|0|0|11|8|8|5	0.00	0.00	0.00	0.00	0.00	-29.43	0.73	0.49	1.83	2.09	1.25
NSP2-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	125|108	233	116.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-429.88	0.71	0.62	11.58	15.28	0.79
NSP2-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	3|4	7	3.50	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-15.75	0.66	0.41	1.75	1.73	0.38
NSP2-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	57|61	118	59.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-234.14	0.67	0.62	0.67	1.39	0.11
NSP2-Nt	geneid:1591;refseq:NP_000773;uniprot:Q07973	CYP24A1	3|3	6	3.00	2	15|15|2|0|0|0|0|0|2|0|0|0	0.00	0.00	0.00	0.00	0.00	-36.65	0.28	0.53	0.17	0.24	0.02
NSP2-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	4|7	11	5.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-22.92	0.72	0.45	1	2.62	0.16
NSP2-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	710|460	1170	585.00	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.60	0.62	0	0	0
NSP2-Nt	geneid:5431;refseq:NP_000929;uniprot:P30876	POLR2B	2|9	11	5.50	2	8|6|4|5|9|0|0|0|5|4|0|2	0.00	0.00	0.00	0.00	0.00	-27.35	0.72	0.42	1.92	1.18	0.76
NSP2-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	6|3	9	4.50	2	0|0|4|5|4|0|6|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-14.37	0.90	0.34	2.33	3.92	0.73
NSP2-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	15|12	27	13.50	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-72.59	0.55	0.58	2.17	5.25	0.09
NSP2-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	16|9	25	12.50	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-50.95	0.72	0.54	1.42	3.55	0.08
NSP2-Nt	geneid:6129;refseq:NP_000962;uniprot:P18124	RPL7	3|2	5	2.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.38	0.50	0.38	0.50	0.38	-1.04	2.50	0.16	2.25	6.52	0.33
NSP2-Nt	geneid:6152;refseq:NP_000977;uniprot:P83731	RPL24	6|6	12	6.00	2	5|3|6|3|3|0|3|0|3|3|0|3	0.00	0.00	0.00	0.00	0.00	-8.66	1.29	0.31	3.33	15.25	5.48
NSP2-Nt	geneid:6157;refseq:NP_000981;uniprot:P46776	RPL27A	2|0	2	1.00	2	0|0|0|0|0|0|2|0|2|0|0|0	0.03	0.06	0.03	0.06	0.03	-5.96	0.75	0.22	0.67	3.25	0.16
NSP2-Nt	geneid:6159;refseq:NP_000983;uniprot:P47914	RPL29	3|0	3	1.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.50	0.99	0.50	0.99	0.50	-1.41	15.00	0.07	1.5	6.78	2.52
NSP2-Nt	geneid:6175;refseq:NP_000993;uniprot:P05388	RPLP0	12|13	25	12.50	2	7|8|13|9|11|0|0|0|7|4|7|8	0.00	0.00	0.00	0.00	0.00	-22.29	1.14	0.47	6.33	14.36	4.17
NSP2-Nt	geneid:6181;refseq:NP_000995;uniprot:P05387	RPLP2	2|3	5	2.50	2	4|2|10|8|3|0|0|0|4|4|0|2	0.00	0.00	0.00	0.00	0.00	-25.89	0.34	0.62	0	0	0
NSP2-Nt	geneid:84632;refseq:NP_001001936;uniprot:Q8N4X5	AFAP1L2	6|9	15	7.50	2	6|6|5|11|6|0|0|0|13|12|12|8	0.00	0.00	0.00	0.00	0.00	-37.32	0.61	0.52	0.92	0.81	1.49
NSP2-Nt	geneid:10600;refseq:NP_001001992;uniprot:Q9Y5T5	USP16	8|11	19	9.50	2	7|9|0|0|2|0|0|0|4|5|4|4	0.00	0.00	0.00	0.00	0.00	-14.05	1.36	0.34	6.58	5.76	7.04
NSP2-Nt	geneid:5394;refseq:NP_001001998;uniprot:Q01780	EXOSC10	8|12	20	10.00	2	3|3|54|53|61|0|0|0|66|65|53|57	0.00	0.00	0.00	0.00	0.00	-252.04	0.16	0.62	0	0	0
NSP2-Nt	geneid:54812;refseq:NP_001002243;uniprot:Q6ULP2	AFTPH	15|20	35	17.50	2	14|23|13|13|14|0|0|0|20|21|18|26	0.00	0.00	0.00	0.00	0.00	-62.86	0.75	0.56	4	3.17	4.62
NSP2-Nt	geneid:302;refseq:NP_001002857;uniprot:P07355	ANXA2	56|60	116	58.00	2	74|88|75|62|60|0|7|0|89|75|69|82	0.00	0.00	0.00	0.00	0.00	-229.59	0.67	0.62	1.25	2.65	0.13
NSP2-Nt	geneid:6202;refseq:NP_001003;uniprot:P62241	RPS8	4|5	9	4.50	2	3|5|0|0|0|0|7|2|8|7|5|4	0.00	0.00	0.00	0.00	0.00	-21.55	0.61	0.46	1.08	3.73	0.12
NSP2-Nt	geneid:3983;refseq:NP_001003407;uniprot:O14639	ABLIM1	3|5	8	4.00	2	12|9|9|5|6|0|0|0|0|5|5|10	0.00	0.00	0.00	0.00	0.00	-35.94	0.39	0.62	0	0	0
NSP2-Nt	geneid:79096;refseq:NP_001003676;uniprot:Q9H6J7	C11orf49	4|4	8	4.00	2	8|11|5|3|4|0|0|0|6|6|5|7	0.00	0.00	0.00	0.00	0.00	-26.87	0.46	0.62	0	0	0
NSP2-Nt	geneid:23299;refseq:NP_001003800;uniprot:Q8TD16	BICD2	2|4	6	3.00	2	0|0|5|11|7|0|0|0|0|4|0|2	0.00	0.00	0.00	0.00	0.00	-27.35	0.39	0.48	0.58	0.49	0.78
NSP2-Nt	geneid:51586;refseq:NP_001003891;uniprot:Q96RN5	MED15	4|6	10	5.00	2	5|8|10|12|10|0|0|0|20|17|19|19	0.00	0.00	0.00	0.00	0.00	-71.27	0.26	0.62	0	0	0
NSP2-Nt	geneid:27101;refseq:NP_001007215;uniprot:Q9HB71	CACYBP	3|0	3	1.50	2	0|3|7|4|4|0|0|0|2|2|0|0	0.00	0.00	0.00	0.00	0.00	-21.72	0.30	0.41	0	0	0
NSP2-Nt	geneid:7812;refseq:NP_001007554;uniprot:O75534	CSDE1	28|27	55	27.50	2	27|21|24|23|24|0|0|0|23|20|19|20	0.00	0.00	0.00	0.00	0.00	-49.93	1.10	0.56	10.75	9.69	3.86
NSP2-Nt	geneid:10814;refseq:NP_001008221;uniprot:Q6PUV4	CPLX2	11|15	26	13.00	2	17|12|12|7|8|0|0|0|13|14|15|17	0.00	0.00	0.00	0.00	0.00	-43.33	0.80	0.53	3.42	18.35	0.67
NSP2-Nt	geneid:493856;refseq:NP_001008389;uniprot:Q8N5K1	CISD2	3|4	7	3.50	2	5|4|4|4|3|0|0|0|4|3|4|4	0.00	0.00	0.00	0.00	0.00	-11.98	0.81	0.35	0.58	3.09	0.05
NSP2-Nt	geneid:4735;refseq:NP_001008491;uniprot:Q15019	SEPTIN2	5|5	10	5.00	2	5|3|12|7|7|0|0|0|5|5|4|7	0.00	0.00	0.00	0.00	0.00	-24.90	0.58	0.49	0.42	0.84	0.71
NSP2-Nt	geneid:7203;refseq:NP_005989;uniprot:P49368	CCT3	7|9	16	8.00	2	6|8|13|15|15|0|0|0|7|5|9|20	0.00	0.00	0.00	0.00	0.00	-52.58	0.48	0.56	0	0	0
NSP2-Nt	geneid:1832;refseq:NP_004406;uniprot:P15924	DSP	20|8	28	14.00	2	23|19|8|8|103|0|21|3|10|9|13|16	0.00	0.00	0.00	0.00	0.00	-185.01	0.29	0.61	0	0	0
NSP2-Nt	geneid:8451;refseq:NP_001008895;uniprot:Q13619	CUL4A	2|4	6	3.00	2	0|0|7|5|6|0|0|0|7|0|0|0	0.00	0.00	0.00	0.00	0.00	-23.20	0.45	0.46	0.92	0.87	2.24
NSP2-Nt	geneid:9793;refseq:NP_001008938;uniprot:Q14008	CKAP5	40|40	80	40.00	2	36|37|20|25|26|0|0|0|29|24|26|27	0.00	0.00	0.00	0.00	0.00	-62.87	1.18	0.57	19.17	6.78	7.38
NSP2-Nt	geneid:7791;refseq:NP_001010972;uniprot:Q15942	ZYX	28|23	51	25.50	2	21|42|25|27|24|0|0|0|31|34|27|21	0.00	0.00	0.00	0.00	0.00	-95.52	0.71	0.59	4.5	5.66	1.03
NSP2-Nt	geneid:3921;refseq:NP_001012321;uniprot:P08865	RPSA	2|2	4	2.00	2	0|0|5|2|3|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-9.85	0.60	0.33	1.17	2.85	2.94
NSP2-Nt	geneid:6520;refseq:NP_001012680;uniprot:P08195	SLC3A2	13|15	28	14.00	2	22|17|24|19|18|0|0|0|14|17|12|11	0.00	0.00	0.00	0.00	0.00	-60.15	0.65	0.57	1.17	1.33	0.12
NSP2-Nt	geneid:23265;refseq:NP_001013861;uniprot:Q9UPT5	EXOC7	11|16	27	13.50	2	16|11|18|17|19|0|0|0|16|15|14|11	0.00	0.00	0.00	0.00	0.00	-49.72	0.75	0.54	2.08	2.19	1.42
NSP2-Nt	geneid:388698;refseq:NP_001014364;uniprot:Q5D862	FLG2	3|0	3	1.50	2	0|0|0|0|5|0|5|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-14.14	0.45	0.31	0.67	0.2	0.29
NSP2-Nt	geneid:28988;refseq:NP_001014436;uniprot:Q9UJU6	DBNL	11|13	24	12.00	2	18|25|18|15|11|0|0|0|16|20|21|17	0.00	0.00	0.00	0.00	0.00	-65.44	0.55	0.62	0	0	0
NSP2-Nt	geneid:833;refseq:NP_001014437;uniprot:P49589	CARS1	3|3	6	3.00	2	0|0|5|4|5|0|0|0|2|0|0|0	0.00	0.00	0.00	0.00	0.00	-13.23	0.64	0.39	1.67	1.44	28.75
NSP2-Nt	geneid:10147;refseq:NP_001017392;uniprot:Q8IX01	SUGP2	22|23	45	22.50	2	20|12|44|59|53|0|0|0|91|82|91|91	0.00	0.00	0.00	0.00	0.00	-325.52	0.25	0.62	0	0	0
