Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
NSP10-Nt	geneid:641;refseq:NP_000048;uniprot:P54132	BLM	3|2	5	2.50	2	0|0|5|9|4|0|0|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-20.44	0.42	0.45	0.42	0.21	0.3
NSP10-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	14|14	28	14.00	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-89.49	0.47	0.59	1.92	0.4	0.06
NSP10-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	5|4	9	4.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.01	0.02	0.01	0.02	0.01	-5.41	1.50	0.24	3.75	5.21	0.58
NSP10-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	8|5	13	6.50	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-38.08	0.54	0.52	0	0	0
NSP10-Nt	geneid:2073;refseq:NP_000114;uniprot:P28715	ERCC5	8|4	12	6.00	2	0|0|4|9|7|0|0|0|2|6|12|10	0.00	0.00	0.00	0.00	0.00	-33.58	0.58	0.50	1.83	1.09	2.36
NSP10-Nt	geneid:2271;refseq:NP_000134;uniprot:P07954	FH	3|3	6	3.00	2	4|3|3|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-8.37	0.90	0.31	2.17	3.01	0.89
NSP10-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	8|6	14	7.00	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-25.67	0.75	0.48	2.25	2.27	0.73
NSP10-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	5|5	10	5.00	2	0|0|5|9|8|0|0|0|6|6|0|6	0.00	0.00	0.00	0.00	0.00	-21.07	0.65	0.47	1.67	0.87	0.89
NSP10-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	6|7	13	6.50	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-45.35	0.45	0.62	0	0	0
NSP10-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	23|19	42	21.00	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-60.88	0.85	0.57	4.25	3.34	0.43
NSP10-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	148|171	319	159.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-362.59	0.98	0.62	54.58	70.85	3.62
NSP10-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	81|81	162	81.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-193.84	0.92	0.61	22.67	46.36	3.34
NSP10-Nt	geneid:2950;refseq:NP_000843;uniprot:P09211	GSTP1	3|0	3	1.50	2	0|0|2|2|2|0|0|0|0|0|0|0	0.01	0.03	0.01	0.02	0.01	-8.64	0.75	0.24	1	3.37	2.48
NSP10-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	5|6	11	5.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-21.07	0.72	0.46	1	2.58	0.16
NSP10-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	630|669	1299	649.50	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.67	0.62	23.25	13.96	0.05
