Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
NSP6-Nt	geneid:415;refseq:NP_000038;uniprot:P51690	ARSL	11|9	20	10.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	14.76	100.00	0.00	10	8.59	3.74
NSP6-Nt	geneid:538;refseq:NP_000043;uniprot:Q04656	ATP7A	5|7	12	6.00	2	0|0|0|0|2|0|0|0|0|0|0|0	0.94	0.97	0.93	0.97	0.94	2.16	9.00	0.01	5.83	1.97	0.91
NSP6-Nt	geneid:1535;refseq:NP_000092;uniprot:P13498	CYBA	4|3	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	4.99	35.00	0.00	3.5	9.08	3.5
NSP6-Nt	geneid:1643;refseq:NP_000098;uniprot:Q92466	DDB2	7|8	15	7.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.71	75.00	0.00	7.5	8.89	5.65
NSP6-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	10|9	19	9.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.58	0.67	0.60	0.69	0.60	0.06	3.17	0.02	8.75	8.7	1.41
NSP6-Nt	geneid:1836;refseq:NP_000103;uniprot:P50443	SLC26A2	3|2	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.13	25.00	0.00	2.5	1.71	1.55
NSP6-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	54|36	90	45.00	2	7|9|13|7|8|0|0|0|6|7|8|14	1.00	1.00	1.00	1.00	1.00	6.27	3.75	0.00	38.42	76.54	2.63
NSP6-Nt	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	30|30	60	30.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	45.98	300.00	0.00	30	33.36	5.31
NSP6-Nt	geneid:2821;refseq:NP_000166;uniprot:P06744	GPI	3|5	8	4.00	2	2|4|4|3|4|0|0|0|4|5|2|2	0.00	0.00	0.00	0.00	0.00	-11.87	0.92	0.33	1.5	1.36	1.22
NSP6-Nt	geneid:3030;refseq:NP_000173;uniprot:P40939	HADHA	17|23	40	20.00	2	0|0|2|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.11	30.00	0.00	19.83	13.15	3.76
NSP6-Nt	geneid:3032;refseq:NP_000174;uniprot:P55084	HADHB	2|2	4	2.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.23	20.00	0.00	2	2.14	6.12
NSP6-Nt	geneid:4860;refseq:NP_000261;uniprot:P00491	PNP	5|6	11	5.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.38	55.00	0.00	5.5	9.63	5.3
NSP6-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	8|13	21	10.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-82.87	0.43	0.62	0	0	0
NSP6-Nt	geneid:5311;refseq:NP_000288;uniprot:Q13563	PKD2	4|3	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.02	35.00	0.00	3.5	1.83	2.8
NSP6-Nt	geneid:5830;refseq:NP_000310;uniprot:P50542	PEX5	5|6	11	5.50	2	6|10|5|5|10|0|0|0|11|8|8|5	0.00	0.00	0.00	0.00	0.00	-31.25	0.53	0.51	0	0	0
NSP6-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	112|108	220	110.00	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-429.77	0.67	0.62	5.08	4.72	0.34
NSP6-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	6|6	12	6.00	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-11.08	1.12	0.35	4.25	2.96	0.94
NSP6-Nt	geneid:5189;refseq:NP_000457;uniprot:O43933	PEX1	4|10	14	7.00	2	6|2|0|0|0|0|0|0|0|0|0|0	0.38	0.74	0.37	0.73	0.38	-4.07	2.62	0.16	6.33	2.5	5.55
NSP6-Nt	geneid:6133;refseq:NP_000652;uniprot:P32969	RPL9	3|5	8	4.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.66	40.00	0.00	4	10.54	1.2
NSP6-Nt	geneid:128;refseq:NP_000662;uniprot:P11766	ADH5	7|8	15	7.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.62	75.00	0.00	7.5	10.15	6.72
NSP6-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	47|44	91	45.50	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-259.76	0.52	0.62	0	0	0
NSP6-Nt	geneid:644;refseq:NP_000703;uniprot:P53004	BLVRA	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	1.71	17.33
NSP6-Nt	geneid:2677;refseq:NP_000812;uniprot:P38435	GGCX	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.43	10.00	0.10	1	0.67	0.78
NSP6-Nt	geneid:3482;refseq:NP_000867;uniprot:P11717	IGF2R	27|27	54	27.00	2	6|6|2|0|0|0|0|0|4|2|0|0	1.00	1.00	1.00	1.00	1.00	14.46	5.06	0.00	25.33	5.15	0.92
NSP6-Nt	geneid:4048;refseq:NP_000886;uniprot:P09960	LTA4H	4|5	9	4.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	6.70	45.00	0.00	4.5	3.73	3.77
NSP6-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	15|16	31	15.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-6.62	2.02	0.26	11	20.31	1.98
NSP6-Nt	geneid:5034;refseq:NP_000909;uniprot:P07237	P4HB	7|9	16	8.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.85	80.00	0.00	8	7.97	0.84
NSP6-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	581|430	1011	505.50	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.52	0.62	0	0	0
NSP6-Nt	geneid:5447;refseq:NP_000932;uniprot:P16435	POR	58|59	117	58.50	2	0|0|0|0|3|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.61	58.50	0.00	58.25	43.34	5.07
NSP6-Nt	geneid:5479;refseq:NP_000933;uniprot:P23284	PPIB	16|14	30	15.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	22.48	150.00	0.00	15	35.14	4.56
NSP6-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	14|9	23	11.50	2	0|0|4|5|4|0|6|0|3|4|0|0	0.35	0.69	0.46	0.90	0.46	-4.23	2.30	0.16	9.33	11.06	3.22
NSP6-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	56|44	100	50.00	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-22.36	2.05	0.32	38.67	65.88	1.73
NSP6-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	53|45	98	49.00	2	19|17|12|4|12|7|4|0|16|15|14|13	0.79	1.00	0.93	1.00	0.93	1.86	2.83	0.01	37.92	66.62	2.29
NSP6-Nt	geneid:6129;refseq:NP_000962;uniprot:P18124	RPL7	13|14	27	13.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.99	0.99	1.00	1.00	1.00	5.59	13.50	0.00	13.25	27.03	2.14
NSP6-Nt	geneid:6130;refseq:NP_000963;uniprot:P62424	RPL7A	17|17	34	17.00	2	0|0|3|0|0|0|3|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.84	8.50	0.00	16.5	31.39	2.04
NSP6-Nt	geneid:6132;refseq:NP_000964;uniprot:P62917	RPL8	8|4	12	6.00	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.19	60.00	0.00	6	11.81	2.44
NSP6-Nt	geneid:6135;refseq:NP_000966;uniprot:P62913	RPL11	4|6	10	5.00	2	0|0|0|0|0|0|3|0|0|0|0|0	0.76	0.85	0.82	0.89	0.82	1.13	5.00	0.01	4.75	13.5	4.26
NSP6-Nt	geneid:6136;refseq:NP_000967;uniprot:P30050	RPL12	6|7	13	6.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.41	65.00	0.00	6.5	19.93	4.39
NSP6-Nt	geneid:9349;refseq:NP_000969;uniprot:P62829	RPL23	8|7	15	7.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.33	75.00	0.00	7.5	27.11	2.64
NSP6-Nt	geneid:6142;refseq:NP_000971;uniprot:Q02543	RPL18A	10|13	23	11.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	17.24	115.00	0.00	11.5	33.06	2.04
NSP6-Nt	geneid:6144;refseq:NP_000973;uniprot:P46778	RPL21	10|11	21	10.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	17.05	105.00	0.00	10.5	33.21	2.21
NSP6-Nt	geneid:6146;refseq:NP_000974;uniprot:P35268	RPL22	4|4	8	4.00	2	0|0|0|0|0|0|2|0|0|0|0|0	0.81	0.81	0.89	0.89	0.89	2.09	6.00	0.01	3.83	15.14	2.84
NSP6-Nt	geneid:6147;refseq:NP_000975;uniprot:P62750	RPL23A	3|2	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	1.00	0.98	3.52	25.00	0.00	2.5	8.11	13
