Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
NSP15-Nt	geneid:367;refseq:NP_000035;uniprot:P10275	AR	3|4	7	3.50	2	2|0|2|0|0|0|0|0|3|5|3|4	0.00	0.00	0.00	0.00	0.00	-10.64	0.88	0.33	1.92	1.48	3.83
NSP15-Nt	geneid:641;refseq:NP_000048;uniprot:P54132	BLM	4|5	9	4.50	2	0|0|5|9|4|0|0|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-16.51	0.75	0.41	2.42	1.21	1.82
NSP15-Nt	geneid:675;refseq:NP_000050;uniprot:P51587	BRCA2	21|24	45	22.50	2	4|0|6|15|12|0|0|0|37|31|21|19	0.00	0.00	0.00	0.00	0.00	-75.96	0.76	0.58	10.42	2.16	0.36
NSP15-Nt	geneid:1738;refseq:NP_000099;uniprot:P09622	DLD	6|5	11	5.50	2	4|5|0|0|0|0|0|0|0|0|0|0	0.04	0.05	0.03	0.05	0.04	-4.09	1.83	0.22	4.75	6.62	0.74
NSP15-Nt	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	9|9	18	9.00	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-30.42	0.75	0.51	2.42	6.76	0.15
NSP15-Nt	geneid:2073;refseq:NP_000114;uniprot:P28715	ERCC5	3|4	7	3.50	2	0|0|4|9|7|0|0|0|2|6|12|10	0.00	0.00	0.00	0.00	0.00	-35.94	0.34	0.62	0	0	0
NSP15-Nt	geneid:2108;refseq:NP_000117;uniprot:P13804	ETFA	3|3	6	3.00	2	4|3|0|0|0|0|0|0|0|0|0|0	0.01	0.01	0.01	0.01	0.01	-4.61	1.29	0.24	2.42	5.15	0.62
NSP15-Nt	geneid:2271;refseq:NP_000134;uniprot:P07954	FH	3|6	9	4.50	2	4|3|3|0|0|0|0|0|0|0|0|0	0.01	0.02	0.01	0.02	0.01	-8.39	1.35	0.25	3.67	5.1	1.55
NSP15-Nt	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	8|5	13	6.50	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-27.54	0.70	0.48	1.75	1.77	0.56
NSP15-Nt	geneid:2956;refseq:NP_000170;uniprot:P52701	MSH6	9|7	16	8.00	2	0|0|5|9|8|0|0|0|6|6|0|6	0.00	0.00	0.00	0.00	0.00	-17.86	1.04	0.42	4.67	2.43	2.48
NSP15-Nt	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	11|5	16	8.00	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-47.64	0.56	0.53	0	0	0
NSP15-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	26|19	45	22.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-60.88	0.91	0.56	5.75	4.52	0.59
NSP15-Nt	geneid:5213;refseq:NP_000280;uniprot:P08237	PFKM	4|6	10	5.00	2	6|0|5|2|6|0|0|0|5|0|0|3	0.00	0.00	0.00	0.00	0.00	-15.28	0.88	0.38	2.75	2.5	0.65
NSP15-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	131|136	267	133.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-389.72	0.82	0.62	28.58	37.18	1.78
NSP15-Nt	geneid:6928;refseq:NP_000449;uniprot:P35680	HNF1B	2|0	2	1.00	2	0|0|4|3|5|0|0|0|3|2|0|2	0.00	0.00	0.00	0.00	0.00	-17.33	0.25	0.38	0	0	0
NSP15-Nt	geneid:2778;refseq:NP_000507;uniprot:O95467	GNAS	3|0	3	1.50	2	0|0|0|0|0|0|0|0|0|2|0|0	0.33	0.67	0.33	0.65	0.33	-3.60	2.25	0.17	1.33	2.39	0.87
NSP15-Nt	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	3|0	3	1.50	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-31.56	0.20	0.49	0	0	0
NSP15-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	80|97	177	88.50	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-195.38	1.01	0.61	30.17	61.82	4.65
NSP15-Nt	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	5|6	11	5.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-21.07	0.72	0.46	1	2.59	0.17
