Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
NSP12-Nt	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	5|6	11	5.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-91.17	0.22	0.62	0	0	0
NSP12-Nt	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	63|52	115	57.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-550.50	0.35	0.62	0	0	0
NSP12-Nt	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	8|10	18	9.00	2	3|0|0|2|0|0|7|6|3|0|0|0	0.00	0.00	0.00	0.00	0.00	-8.24	1.69	0.27	7.25	6.55	1.64
NSP12-Nt	geneid:5339;refseq:NP_000436;uniprot:Q15149	PLEC	10|16	26	13.00	2	133|121|25|49|46|0|0|0|55|55|86|85	0.00	0.00	0.00	0.00	0.00	-460.68	0.11	0.62	0	0	0
NSP12-Nt	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	9|8	17	8.50	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-14.69	1.16	0.39	6.67	8.11	1.36
NSP12-Nt	geneid:191;refseq:NP_000678;uniprot:P23526	AHCY	7|9	16	8.00	2	25|31|13|30|17|0|3|0|30|32|29|25	0.00	0.00	0.00	0.00	0.00	-112.45	0.26	0.62	0	0	0
NSP12-Nt	geneid:216;refseq:NP_000680;uniprot:P00352	ALDH1A1	18|20	38	19.00	2	33|40|24|24|25|9|26|3|37|31|34|34	0.00	0.00	0.00	0.00	0.00	-110.68	0.51	0.62	0	0	0
NSP12-Nt	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	33|41	74	37.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-284.51	0.42	0.62	0	0	0
NSP12-Nt	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	1612|1583	3195	1597.50	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	1.65	0.62	971.25	540.45	2.09
NSP12-Nt	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	3|6	9	4.50	2	0|0|4|5|4|0|6|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-14.39	0.90	0.34	2.33	3.58	0.73
NSP12-Nt	geneid:6125;refseq:NP_000960;uniprot:P46777	RPL5	9|6	15	7.50	2	27|23|4|0|3|0|3|0|21|23|17|15	0.00	0.00	0.00	0.00	0.00	-86.87	0.31	0.62	0	0	0
NSP12-Nt	geneid:6128;refseq:NP_000961;uniprot:Q02878	RPL6	11|12	23	11.50	2	19|17|12|4|12|7|4|0|16|15|14|13	0.00	0.00	0.00	0.00	0.00	-47.10	0.66	0.55	0.42	0.96	0.02
NSP12-Nt	geneid:6142;refseq:NP_000971;uniprot:Q02543	RPL18A	2|3	5	2.50	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.14	25.00	0.00	2.5	9.31	0.4
