Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
N-Ct	geneid:226;refseq:NP_000025;uniprot:P04075	ALDOA	3|0	3	1.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.25	0.50	0.25	0.50	0.25	-3.97	1.50	0.17	1.25	2.36	0.27
N-Ct	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	4|4	8	4.00	2	7|9|13|7|8|0|0|0|6|7|8|14	0.00	0.00	0.00	0.00	0.00	-40.35	0.33	0.62	0	0	0
N-Ct	geneid:2632;refseq:NP_000149;uniprot:Q04446	GBE1	3|4	7	3.50	2	7|13|8|4|7|0|0|0|6|4|3|5	0.00	0.00	0.00	0.00	0.00	-31.85	0.38	0.62	0	0	0
N-Ct	geneid:2821;refseq:NP_000166;uniprot:P06744	GPI	3|6	9	4.50	2	2|4|4|3|4|0|0|0|4|5|2|2	0.00	0.00	0.00	0.00	0.00	-11.98	1.04	0.31	2	2.47	1.53
N-Ct	geneid:4548;refseq:NP_000245;uniprot:Q99707	MTR	23|21	44	22.00	2	18|13|9|12|11|0|0|0|10|9|9|8	0.00	0.00	0.00	0.00	0.00	-21.24	1.53	0.45	13.75	7.48	2.08
N-Ct	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	17|18	35	17.50	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-64.35	0.71	0.57	0.75	0.57	0.08
N-Ct	geneid:5213;refseq:NP_000280;uniprot:P08237	PFKM	5|2	7	3.50	2	6|0|5|2|6|0|0|0|5|0|0|3	0.00	0.00	0.00	0.00	0.00	-19.11	0.62	0.40	1.25	1.1	0.29
N-Ct	geneid:5830;refseq:NP_000310;uniprot:P50542	PEX5	3|3	6	3.00	2	6|10|5|5|10|0|0|0|11|8|8|5	0.00	0.00	0.00	0.00	0.00	-35.93	0.29	0.62	0	0	0
N-Ct	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	121|123	244	122.00	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-406.66	0.75	0.62	17.08	21.56	1.09
N-Ct	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	67|70	137	68.50	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-216.36	0.78	0.62	10.17	20.22	1.48
N-Ct	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	6|3	9	4.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-24.95	0.59	0.46	0	0	0
