Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity
S-Ct	geneid:226;refseq:NP_000025;uniprot:P04075	ALDOA	3|6	9	4.50	2	0|0|0|0|0|0|3|0|0|0|0|0	0.68	0.85	0.67	0.84	0.68	-0.04	4.50	0.02	4.25	6.12	0.95
S-Ct	geneid:538;refseq:NP_000043;uniprot:Q04656	ATP7A	7|11	18	9.00	2	0|0|0|0|2|0|0|0|0|0|0|0	0.99	1.00	0.99	1.00	0.99	3.58	13.50	0.00	8.83	3.08	1.39
S-Ct	geneid:1836;refseq:NP_000103;uniprot:P50443	SLC26A2	2|2	4	2.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.11	20.00	0.00	2	1.42	1.16
S-Ct	geneid:2010;refseq:NP_000108;uniprot:P50402	EMD	28|31	59	29.50	2	7|9|13|7|8|0|0|0|6|7|8|14	0.23	0.45	0.24	0.46	0.24	-3.97	2.46	0.18	22.92	47.28	1.5
S-Ct	geneid:2052;refseq:NP_000111;uniprot:P07099	EPHX1	9|8	17	8.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	13.28	85.00	0.00	8.5	9.79	1.3
S-Ct	geneid:4952;refseq:NP_000267;uniprot:Q01968	OCRL	9|7	16	8.00	2	27|23|20|21|22|0|0|0|22|24|19|23	0.00	0.00	0.00	0.00	0.00	-85.49	0.32	0.62	0	0	0
S-Ct	geneid:2539;refseq:NP_000393;uniprot:P11413	G6PD	59|62	121	60.50	2	168|166|141|96|108|0|2|0|148|145|129|156	0.00	0.00	0.00	0.00	0.00	-533.04	0.37	0.62	0	0	0
S-Ct	geneid:3141;refseq:NP_000402;uniprot:P50747	HLCS	10|15	25	12.50	2	3|0|0|2|0|0|7|6|3|0|0|0	0.37	0.73	0.36	0.71	0.37	-5.51	2.34	0.16	10.75	7.76	2.51
S-Ct	geneid:5048;refseq:NP_000421;uniprot:P43034	PAFAH1B1	7|7	14	7.00	2	0|0|2|0|0|0|0|0|2|3|0|3	0.37	0.37	0.36	0.36	0.37	-0.57	2.62	0.16	6.17	7.89	0.66
S-Ct	geneid:5096;refseq:NP_000523;uniprot:P05166	PCCB	11|13	24	12.00	2	0|0|0|0|0|2|8|12|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-10.73	1.64	0.32	10.17	9.89	2.13
S-Ct	geneid:2936;refseq:NP_000628;uniprot:P00390	GSR	5|7	12	6.00	2	4|2|4|3|2|0|0|0|4|3|0|0	0.00	0.01	0.00	0.01	0.00	-7.80	1.50	0.26	4.17	4.19	0.71
S-Ct	geneid:301;refseq:NP_000691;uniprot:P04083	ANXA1	36|32	68	34.00	2	65|84|96|67|70|0|0|0|84|78|79|77	0.00	0.00	0.00	0.00	0.00	-286.86	0.39	0.62	0	0	0
S-Ct	geneid:1728;refseq:NP_000894;uniprot:P15559	NQO1	7|8	15	7.50	2	6|9|6|5|3|0|3|0|7|7|4|4	0.00	0.00	0.00	0.00	0.00	-17.86	0.98	0.43	3	5.74	0.49
S-Ct	geneid:5034;refseq:NP_000909;uniprot:P07237	P4HB	2|0	2	1.00	2	0|0|0|0|0|0|0|0|0|0|0|0	0.48	0.96	0.48	0.96	0.48	-1.28	10.00	0.10	1	1.03	0.1
S-Ct	geneid:5091;refseq:NP_000911;uniprot:P11498	PC	630|744	1374	687.00	2	868|884|226|225|242|1091|926|506|838|792|401|516	0.00	0.00	0.00	0.00	0.00	-inf	0.71	0.62	60.75	27.02	0.12
S-Ct	geneid:5447;refseq:NP_000932;uniprot:P16435	POR	21|22	43	21.50	2	0|0|0|0|3|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.59	21.50	0.00	21.25	16.38	1.64
S-Ct	geneid:5479;refseq:NP_000933;uniprot:P23284	PPIB	3|4	7	3.50	2	0|0|0|0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.08	35.00	0.00	3.5	8.49	0.94
S-Ct	geneid:6124;refseq:NP_000959;uniprot:P36578	RPL4	3|4	7	3.50	2	0|0|4|5|4|0|6|0|3|4|0|0	0.00	0.00	0.00	0.00	0.00	-14.04	0.70	0.39	1.33	1.63	0.41
